	GSM3942312	GSM3942313	GSM3942314	GSM3942315	GSM3942316	GSM3942317	GSM3942318	GSM3942319	GSM3942320	GSM3942321	GSM3942322	GSM3942323
0610005C13Rik	984	544	130	155	230	398	466	150	471	609	1542	1112
0610006L08Rik	66	31	8	8	4	20	38	4	27	38	129	106
0610009B22Rik	556	269	201	236	472	474	470	240	249	521	531	590
0610009E02Rik	92	54	95	147	142	174	278	86	67	95	113	154
0610009L18Rik	140	60	85	92	178	130	194	76	78	167	165	160
0610010K14Rik	502	163	197	206	518	520	610	251	220	502	337	392
0610012D04Rik	2	1	4	0	4	4	4	5	1	12	0	8
0610012G03Rik	1408	849	711	837	1212	1470	1318	719	743	1439	1561	1548
0610025J13Rik	12	4	2	2	8	6	2	3	1	3	10	0
0610030E20Rik	1278	515	531	568	1442	1208	1264	727	608	1320	1188	1188
0610031O16Rik	16	9	3	8	0	4	8	5	18	13	36	18
0610033M10Rik	50	70	12	19	24	30	34	11	47	50	96	74
0610038B21Rik	16	6	4	6	10	16	22	9	12	15	32	16
0610039K10Rik	32	11	10	8	20	16	14	7	7	17	22	24
0610040B10Rik	24	16	20	12	66	38	22	28	22	30	36	42
0610040F04Rik	22	6	10	11	12	22	10	7	12	19	37	28
0610040J01Rik	1036	705	282	373	352	654	632	342	451	809	1303	970
0610043K17Rik	4	12	3	7	4	12	14	2	12	9	17	8
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1010001B22Rik	36	37	20	21	44	52	44	7	21	51	44	80
1100001I12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	4	2	1	0	2	6	0	4	4	4	3	4
1110002J07Rik	14	15	6	7	8	20	30	7	7	8	11	12
1110002L01Rik	318	207	93	128	278	158	290	175	190	379	308	306
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110004F10Rik	1800	771	868	921	1972	1966	1890	965	897	1661	1470	1796
1110006O24Rik	42	20	15	24	44	42	36	18	16	26	44	50
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110013H19Rik	20	6	3	10	14	22	16	12	6	7	15	18
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	8	3	6	6	4	10	14	5	5	7	6	10
1110018N20Rik	16	8	4	3	20	20	16	4	17	28	15	18
1110019B22Rik	178	127	45	88	56	110	134	79	103	206	164	190
1110019D14Rik	118	79	42	68	124	126	128	62	90	169	156	100
1110020A21Rik	32	30	16	12	32	28	32	22	17	38	38	32
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	1	0	0	0	0	0	1	0	2	0	0
1110028F18Rik	0	0	2	0	0	0	2	0	0	0	0	0
1110032A03Rik	1030	542	538	534	1162	1016	1160	502	519	1033	1001	1152
1110032F04Rik	4	1	0	3	0	4	0	0	0	2	4	4
1110035H17Rik	26	9	16	3	34	2	40	11	12	17	19	28
1110038B12Rik	230	113	120	158	242	260	236	119	90	186	213	226
1110038F14Rik	744	295	511	540	1026	852	932	462	361	704	552	700
1110046J04Rik	60	8	34	37	60	106	100	45	29	76	56	46
1110051M20Rik	600	272	323	344	758	588	738	303	340	638	628	662
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	472	224	300	261	740	702	638	355	300	592	474	540
1110059G10Rik	468	203	244	226	566	612	512	261	232	473	406	528
1110065P20Rik	784	394	534	549	1010	928	988	452	384	760	829	808
1190001M18Rik	0	0	2	1	4	2	4	1	0	0	3	0
1190005I06Rik	18	21	3	4	2	18	10	8	3	41	14	18
1190007I07Rik	196	93	74	98	138	184	190	84	99	173	212	216
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	4	1	2	5	4	2	8	2	1	8	6	0
1300002E11Rik	496	297	223	246	566	468	582	272	285	548	540	574
1300014J16Rik	74	39	28	19	62	64	62	34	36	74	61	94
1500002C15Rik	102	53	43	45	100	54	114	59	50	71	63	60
1500002F19Rik	12	5	1	3	2	6	4	5	4	10	7	6
1500004A13Rik	570	164	256	299	596	534	536	279	189	479	411	378
1500009L16Rik	116	12	47	16	64	50	86	30	37	81	40	30
1500011B03Rik	262	159	164	210	358	412	348	175	166	299	260	322
1500012K07Rik	2	0	0	1	0	0	2	3	2	1	3	0
1500015A07Rik	80	49	62	63	126	96	128	77	47	102	101	80
1500015L24Rik	0	0	0	0	6	0	0	0	0	0	0	0
1500026H17Rik	110	91	51	59	44	80	98	54	55	109	136	138
1500032F14Rik	4	2	6	5	2	10	2	0	0	3	9	8
1500035N22Rik	4	0	0	0	2	0	0	4	0	1	0	2
1520401A03Rik	0	0	0	0	0	6	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0	1	2
1600010M07Rik	32	4	24	16	40	26	56	17	22	23	18	42
1600012H06Rik	1422	592	792	826	1926	1660	1724	864	788	1610	1293	1720
1600012P17Rik	0	0	2	0	0	0	0	0	0	0	1	0
1600014C10Rik	814	434	386	422	940	916	920	413	421	783	1102	904
1600014C23Rik	0	0	0	0	0	4	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	382	135	293	283	604	450	580	234	211	444	393	344
1600022D10Rik	26	2	14	15	20	20	36	16	10	30	14	18
1600025M17Rik	0	1	0	0	2	2	0	0	0	2	1	0
1600027J07Rik	0	0	0	0	0	4	0	0	0	0	0	0
1600029O15Rik	12	2	0	1	8	4	0	2	2	6	4	2
1700001C19Rik	4	8	7	4	28	22	24	12	15	15	12	14
1700001D01Rik	0	0	0	0	4	0	0	0	0	0	1	4
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	4	5	1	1	0	6	4	3	4	7	3	8
1700001J03Rik	22	9	8	4	4	12	10	6	4	13	17	8
1700001J04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	4	0	0	0	0	0	0	0	0	3	0	0
1700001K19Rik	14	4	15	6	24	14	24	8	9	19	8	10
1700001K23Rik	4	2	0	0	0	2	4	2	0	1	2	4
1700001L05Rik	144	120	78	104	146	140	204	102	109	219	163	194
1700001L19Rik	2	5	0	2	8	4	4	2	1	5	4	6
1700001N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	30	24	11	13	18	14	26	25	8	21	16	18
1700001P01Rik	2	0	0	1	4	2	0	0	0	2	4	0
1700003C15Rik	0	0	0	0	2	0	2	2	2	0	0	0
1700003D09Rik	12	13	3	0	0	10	10	7	8	13	8	14
1700003E16Rik	90	81	37	31	50	66	44	31	47	69	109	64
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0
