	GSM4948156	GSM4948157	GSM4948158	GSM4948159	GSM4948160	GSM4948161
A1BG	5	26	13	18	1	2
A1BG-AS1	5	32	22	30	2	6
A1CF	0	4	0	0	0	1
A2M	24	1348	508	1538	73	94
A2M-AS1	0	10	3	4	1	0
A2ML1	2	1	2	1	0	1
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0
A2MP1	0	1	0	0	0	0
A3GALT2	0	0	1	0	0	0
A4GALT	0	2	4	0	1	1
A4GNT	0	0	0	0	0	0
AAAS	80	749	876	1021	108	102
AACS	8	59	100	97	11	12
AACSP1	0	0	0	2	0	0
AADAC	0	0	0	0	0	0
AADACL2	0	1	0	1	0	1
AADACL2-AS1	0	0	0	1	0	0
AADACL3	0	0	1	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	2	15	19	7	3	2
AAGAB	53	935	956	973	97	98
AAK1	19	244	326	324	32	30
AAMDC	41	171	282	261	35	40
AAMP	39	344	150	183	40	126
AANAT	1	0	0	0	0	0
AAR2	32	571	428	437	53	114
AARD	0	2	3	4	0	0
AARS1	38	1851	1479	1858	179	255
AARS1P1	0	0	0	0	0	0
AARS2	9	12	6	5	1	5
AARSD1	58	414	427	494	59	74
AARSD1P1	0	4	3	7	1	0
AASDH	9	154	153	195	16	17
AASDHPPT	29	1607	1642	1919	135	136
AASS	5	108	90	172	10	20
AATBC	0	0	0	0	0	0
AATF	20	239	176	270	39	44
AATK	4	0	3	3	0	0
ABALON	2	0	5	0	0	0
ABAT	3	43	59	54	5	6
ABCA1	9	173	114	124	16	36
ABCA10	4	5	3	2	0	1
ABCA11P	1	27	33	33	5	4
ABCA12	6	3	0	2	1	3
ABCA13	16	7	5	5	0	3
ABCA17P	0	1	1	1	0	1
ABCA2	5	2	4	7	0	3
ABCA3	6	3	3	4	0	0
ABCA3P1	0	0	0	0	0	0
ABCA4	3	23	13	50	1	0
ABCA5	3	3	9	17	0	4
ABCA6	4	4	4	4	0	4
ABCA7	5	3	4	5	1	9
ABCA8	7	16	12	15	0	6
ABCA9	3	5	4	3	0	4
ABCA9-AS1	0	0	0	0	0	0
ABCB1	5	2	3	2	0	3
ABCB10	2	44	40	41	6	1
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	3	3	0	0	2	5
ABCB4	7	5	4	9	3	5
ABCB5	0	0	1	4	0	5
ABCB6	4	53	23	48	6	11
ABCB7	18	400	382	399	32	32
ABCB8	7	10	15	11	1	6
ABCB9	1	4	7	6	0	2
ABCC1	12	216	189	126	12	17
ABCC10	5	14	3	6	2	5
ABCC11	3	4	3	2	0	2
ABCC12	4	0	1	0	0	3
ABCC13	0	0	0	0	0	0
ABCC2	4	2	4	1	1	1
ABCC3	22	42	37	20	2	10
ABCC4	11	80	168	68	7	9
ABCC5	17	200	157	188	22	16
ABCC5-AS1	0	1	1	0	0	0
ABCC6	6	8	8	8	0	0
ABCC6P1	0	0	0	1	0	1
ABCC6P2	0	1	0	0	0	0
ABCC8	4	5	3	7	0	1
ABCC9	4	71	41	111	16	24
ABCD1	0	0	0	2	0	3
