	GSM4743729	GSM4743730	GSM4743731	GSM4743732	GSM4743733	GSM4743734	GSM4743735
0610007P14Rik	925	887	723	914	856	908	793
0610009B22Rik	1151	1317	849	1252	1166	1053	1246
0610009L18Rik	232	219	140	214	270	193	217
0610009O20Rik	2512	2437	1966	2337	2344	2472	2338
0610010F05Rik	1704	1671	1506	1921	1753	1699	1701
0610010K14Rik	750	727	568	735	716	641	745
0610011F06Rik	3106	3091	2135	2925	3158	2790	2984
0610012G03Rik	720	768	538	678	704	685	658
0610030E20Rik	962	1048	1022	1176	1000	1282	870
0610037L13Rik	1357	1395	999	1279	1206	1488	1223
0610040J01Rik	5424	4659	4255	4698	5280	4921	5107
1110001J03Rik	353	330	236	328	292	270	273
1110002E22Rik	94	118	64	135	130	120	116
1110004E09Rik	993	973	689	984	1013	884	935
1110004F10Rik	3512	4198	3061	4088	3862	3101	3864
1110008F13Rik	1070	1002	872	1123	982	1142	954
1110008L16Rik	699	765	568	771	688	627	736
1110008P14Rik	1119	1049	852	1050	1082	1075	1014
1110012L19Rik	435	371	243	388	371	295	368
1110017D15Rik	30	52	35	47	35	36	43
1110025L11Rik	0	0	0	0	0	0	0
1110032A03Rik	1748	2131	1416	1860	1871	1479	1838
1110032F04Rik	0	0	0	3	0	1	0
1110034G24Rik	600	460	376	484	518	493	473
1110037F02Rik	3374	3364	3246	4016	3365	3513	3186
1110038F14Rik	897	876	643	867	852	792	857
1110051M20Rik	1222	1328	1005	1272	1266	1118	1179
1110057P08Rik	0	0	0	0	0	0	0
1110059E24Rik	1155	1256	940	1286	1215	855	1111
1110059G10Rik	532	579	512	577	592	538	582
1110065P20Rik	1127	1093	907	1144	1143	1092	1060
1190002N15Rik	2017	1667	1883	1991	1897	1730	1643
1190003K10Rik	0	0	0	0	0	0	0
1190005I06Rik	19	21	18	14	27	8	19
1190007I07Rik	308	319	274	361	385	307	311
1300017J02Rik	2	9	4	9	1	4	5
1500009C09Rik	2	1	1	1	4	0	1
1500009L16Rik	749	784	538	892	838	617	736
1500011B03Rik	1941	2282	1791	2415	2287	1591	2214
1500011K16Rik	625	624	438	528	603	431	487
1500015O10Rik	1	1	1	2	1	1	0
1520401A03Rik	19	35	17	21	15	38	16
1600002H07Rik	232	228	170	285	245	219	249
1600002K03Rik	256	228	174	252	259	312	205
