	GSM5396612	GSM5396613	GSM5396614	GSM5396615	GSM5396616	GSM5396617	GSM5396618	GSM5396619	GSM5396620
0610005C13Rik	1453	1435	913	1656	1181	1677	1364	977	1065
0610006L08Rik	0	0	0	0	0	0	0	0	0
0610009B22Rik	279	188	150	275	216	194	243	197	220
0610009E02Rik	6	7	4	10	6	7	3	7	5
0610009L18Rik	6	3	3	6	2	5	4	4	8
0610010K14Rik	142	152	108	138	140	127	118	152	132
0610012D04Rik	5	1	2	1	1	1	0	1	0
0610012G03Rik	313	271	215	271	299	280	347	353	245
0610025J13Rik	1	0	1	0	1	0	0	0	0
0610030E20Rik	833	732	598	521	818	694	694	568	584
0610031O16Rik	485	312	320	503	308	277	354	235	323
0610033M10Rik	2	0	0	0	0	0	0	0	0
0610038B21Rik	5	2	4	4	1	3	2	3	3
0610039K10Rik	12	9	8	8	10	7	9	17	3
0610040B10Rik	33	26	21	52	20	19	27	21	14
0610040F04Rik	2	1	1	0	2	2	1	2	0
0610040J01Rik	635	534	404	375	557	378	574	619	466
0610043K17Rik	11	6	5	15	11	9	4	4	6
0710001A04Rik	0	0	0	0	0	0	0	0	0
1010001B22Rik	1	3	2	6	2	1	0	2	6
1100001I12Rik	1	0	0	0	0	0	0	0	0
1110002E22Rik	8	4	5	3	4	5	6	2	0
1110002J07Rik	13	11	18	20	13	15	3	9	13
1110002L01Rik	80	72	58	70	70	112	148	136	98
1110002O04Rik	0	0	0	0	0	0	0	0	0
1110004F10Rik	561	512	380	550	506	484	533	595	505
1110006O24Rik	4	6	2	3	2	3	2	5	4
1110008E08Rik	0	0	0	0	0	0	0	0	0
1110013H19Rik	6	3	3	5	8	3	0	2	7
1110015O18Rik	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	1	0	0	0	0	0
1110018N20Rik	0	5	5	0	4	3	11	4	2
1110019B22Rik	4	2	3	2	1	1	0	0	2
1110019D14Rik	47	30	16	54	25	24	29	38	28
1110020A21Rik	12	17	13	32	25	21	16	17	28
1110025L11Rik	0	0	0	0	0	0	0	0	0
1110028F11Rik	22	13	11	25	10	5	20	29	14
1110028F18Rik	1	0	2	0	0	0	1	0	0
1110032A03Rik	341	334	217	271	279	268	238	185	219
1110032F04Rik	0	0	1	0	1	0	0	0	0
1110035H17Rik	1	2	2	2	1	2	3	3	0
1110038B12Rik	143	93	84	185	115	190	271	313	175
1110038F14Rik	100	74	51	83	92	103	94	110	79
1110046J04Rik	68	55	52	20	51	42	38	30	33
1110051M20Rik	34	28	21	35	36	38	41	83	52
1110057P08Rik	0	0	0	0	0	0	0	0	0
1110059E24Rik	293	208	169	401	203	162	247	256	228
1110059G10Rik	163	116	81	146	102	129	105	88	148
1110065P20Rik	187	153	113	289	159	187	217	167	156
1190001M18Rik	1	1	0	0	0	1	0	0	1
1190005I06Rik	80	58	39	57	46	48	83	65	74
1190007I07Rik	111	86	45	164	100	88	120	106	90
1190028D05Rik	0	0	0	0	0	0	0	0	0
1200007C13Rik	8	4	5	10	4	7	5	14	6
1300002E11Rik	197	118	118	138	126	114	135	112	104
1300014J16Rik	20	15	7	20	13	11	9	15	10
1500002C15Rik	5	10	3	7	1	5	3	3	8
1500002F19Rik	1	3	1	3	1	1	0	0	0
1500004A13Rik	105	74	62	68	43	76	92	85	37
1500009L16Rik	5	1	6	0	2	1	3	5	1
1500011B03Rik	21	23	23	46	29	31	71	52	34
1500012K07Rik	7	2	1	2	1	2	5	3	0
1500015A07Rik	14	10	4	3	6	8	83	86	47
