	GSM3690825	GSM3690826	GSM3690827	GSM3690828	GSM3690829	GSM3690830
0610007P14Rik	140	220	135	189	231	260
0610009B22Rik	401	538	290	501	385	288
0610009L18Rik	12	16	9	15	8	8
0610009O20Rik	290	223	243	183	266	221
0610010F05Rik	598	378	278	181	158	77
0610010K14Rik	144	161	87	194	203	138
0610011F06Rik	235	273	134	238	196	195
0610012G03Rik	564	694	392	675	792	885
0610030E20Rik	334	194	244	146	210	146
0610037L13Rik	389	426	260	409	422	400
0610040J01Rik	1	4	0	1	1	1
1110001J03Rik	556	721	274	858	668	659
1110002E22Rik	2	2	21	0	1	1
1110004E09Rik	239	232	120	191	157	131
1110004F10Rik	822	1020	580	906	770	579
1110008F13Rik	2469	3060	1548	2835	2837	3152
1110008L16Rik	157	136	159	102	154	138
1110008P14Rik	453	546	195	499	422	431
1110012L19Rik	217	267	101	254	200	179
1110017D15Rik	2	1	1	0	0	2
1110025L11Rik	0	0	0	0	0	0
1110032A03Rik	908	1067	1365	706	1416	1936
1110032F04Rik	0	1	0	0	1	0
1110034G24Rik	53	59	28	86	38	31
1110037F02Rik	535	315	367	150	188	168
1110038F14Rik	151	197	77	152	178	120
1110051M20Rik	53	39	50	33	64	76
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	406	511	252	490	317	249
1110059G10Rik	208	261	173	183	185	136
1110065P20Rik	203	248	80	274	189	128
1190002N15Rik	409	345	285	161	167	42
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	214	242	75	216	131	71
1190007I07Rik	153	193	86	211	158	132
1300017J02Rik	1	2	0	0	0	1
1500009C09Rik	0	0	0	0	0	0
1500009L16Rik	13	19	2	27	9	19
1500011B03Rik	20	28	17	32	20	21
1500011K16Rik	388	460	264	425	345	343
1500015O10Rik	2	0	1	0	0	0
1520401A03Rik	0	0	0	0	0	0
1600002H07Rik	15	21	14	12	19	13
1600002K03Rik	30	37	12	49	17	13
1600012H06Rik	416	416	275	264	300	212
1600014C10Rik	947	1123	813	902	973	802
1600014C23Rik	1	2	1	1	0	1
1600015I10Rik	2	2	1	4	3	0
1600029O15Rik	1	2	2	5	4	8
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	2	0	1	0	2	3
1700001F09Rik	0	0	0	0	0	0
1700001J03Rik	0	1	0	0	2	0
1700001J11Rik	1	1	1	0	0	1
1700001K19Rik	0	0	1	0	0	0
1700001L19Rik	0	0	0	1	2	2
1700001O22Rik	1	2	4	1	1	1
1700001P01Rik	0	0	0	1	0	0
1700003E16Rik	6	11	3	5	5	7
1700003F12Rik	1	0	0	1	0	1
1700003H04Rik	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700007B14Rik	1	5	0	0	1	0
1700007E05Rik	2	2	0	1	1	0
1700007G11Rik	1	0	0	0	0	0
1700007K09Rik	0	0	0	0	0	0
1700007K13Rik	0	3	3	2	14	1
1700008O03Rik	0	0	2	1	0	0
1700008P02Rik	0	0	0	0	0	0
1700009N14Rik	1	0	0	1	0	0
1700010B08Rik	0	0	0	0	0	0
1700010I14Rik	0	5	2	0	1	2
1700010N08Rik	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0
1700011H14Rik	0	1	0	0	0	0
1700011I03Rik	0	0	0	0	0	0
1700011L22Rik	0	0	0	1	0	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	1	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	1	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	1	0
1700015G11Rik	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0
1700016D06Rik	0	0	0	1	0	0
1700016H13Rik	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0
1700017B05Rik	47	32	39	22	44	31
1700017D01Rik	0	0	0	1	0	0
1700017N19Rik	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0
1700018F24Rik	0	0	1	0	0	0
1700018M17Rik	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0
1700019B03Rik	1	0	0	0	0	0
1700019D03Rik	16	16	16	5	10	5
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0
1700020L24Rik	14	10	3	8	14	2
1700020N01Rik	0	1	0	0	0	0
1700020N15Rik	0	0	0	0	0	0
1700021F05Rik	791	831	759	403	809	698
1700021F07Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0
1700024J04Rik	4	5	3	1	3	2
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	0	0	1	0	0	0
1700025B11Rik	0	1	0	1	0	0
1700025C18Rik	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0
1700025G04Rik	166	112	99	100	107	107
1700028B04Rik	4	3	0	2	3	7
1700028J19Rik	3	1	1	2	4	2
1700028K03Rik	1	1	1	0	0	1
1700028P14Rik	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	1	0
1700029H14Rik	0	0	0	0	0	0
1700029I15Rik	4	4	15	3	8	7
1700029J07Rik	11	8	3	4	11	7
1700029P11Rik	0	0	0	0	0	0
