	GSM4718405	GSM4718406	GSM4718407	GSM4718408	GSM4718409	GSM4718410	GSM4718411	GSM4718412	GSM4718413	GSM4718414	GSM4718415	GSM4718416
0610007P14Rik	2739	5903	4977	3940	2947	3098	3930	4037	3249	4848	5481	3706
0610009B22Rik	743	719	690	704	937	839	918	909	786	708	557	723
0610009L18Rik	24	26	24	17	22	31	20	20	25	38	10	53
0610009O20Rik	2049	2444	1796	2140	2523	2547	3333	2962	2585	2322	2336	2881
0610010F05Rik	549	526	440	603	760	729	559	717	612	426	684	642
0610010K14Rik	583	652	652	389	515	548	725	731	600	841	716	623
0610011F06Rik	7474	7798	10680	9318	6256	6366	7001	6734	7147	7962	3839	5425
0610012G03Rik	1665	2163	2134	2276	1703	1588	1899	1941	1686	2033	1962	1504
0610030E20Rik	1830	1656	1422	1480	1782	1916	1316	1706	1558	1322	1312	1664
0610037L13Rik	842	1011	1096	941	849	861	1026	972	1048	1187	772	818
0610040J01Rik	1960	2060	2088	2534	1676	1748	2149	1977	1723	1918	2023	1613
1110001J03Rik	1190	1379	1259	1453	984	1095	1173	1027	1165	1208	440	1002
1110002E22Rik	8	5	1	5	2	10	4	0	0	4	4	2
1110004E09Rik	768	683	895	766	640	721	659	700	946	779	505	560
1110004F10Rik	1733	1998	2076	1907	1704	1812	2086	2003	2122	1789	1772	2059
1110008F13Rik	5014	5946	4208	7085	4400	4306	5061	4755	5591	4507	3289	4386
1110008L16Rik	556	559	497	602	584	609	616	632	693	563	432	507
1110008P14Rik	1467	1214	1348	1345	1378	1301	2043	1900	1329	1956	1670	1777
1110012L19Rik	481	485	608	689	515	537	651	549	529	579	436	587
1110017D15Rik	0	0	1	0	0	0	0	0	0	0	2	6
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	1505	1643	1917	1439	1636	1586	1688	1783	1841	1922	933	1912
1110032F04Rik	0	0	2	1	0	0	0	0	0	10	0	0
1110034G24Rik	155	297	234	220	213	170	213	193	207	250	81	217
1110037F02Rik	731	817	765	913	1226	1092	1156	1237	1115	776	1272	1386
1110038F14Rik	293	302	390	329	299	394	480	479	319	387	369	515
1110051M20Rik	358	318	574	377	370	294	326	324	281	473	447	418
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	496	851	716	729	696	625	762	803	621	682	672	760
1110059G10Rik	358	520	459	314	412	415	435	593	406	412	295	427
1110065P20Rik	828	911	899	1260	675	650	965	937	738	879	892	771
1190002N15Rik	2014	1929	1711	3091	2943	2827	2875	4081	2295	1554	2488	2540
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	303	531	680	586	323	274	516	452	238	404	93	285
1190007I07Rik	507	718	726	706	470	546	485	456	635	590	435	463
1300017J02Rik	25952	26960	23501	23513	25158	25207	23335	22306	28002	28898	24830	26745
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	0	0	1	0	8	0	0	0	0	0	26	0
1500011B03Rik	31	42	79	39	47	54	77	96	25	49	77	154
1500011K16Rik	328	635	487	396	525	354	561	503	446	667	456	405
1500015O10Rik	1	0	0	2	0	0	2	3	0	0	2	0
1520401A03Rik	0	0	2	0	0	0	2	4	0	0	0	4
1600002H07Rik	4119	2151	3243	4107	2506	2467	2442	2272	4309	3571	640	1710
1600002K03Rik	158	115	190	154	133	99	97	148	168	169	137	86
1600012H06Rik	1320	1683	1263	1644	1773	1759	2109	2492	1571	1279	1856	1821
1600014C10Rik	7924	8406	8197	9174	9443	9684	9860	9683	9720	9273	5377	17564
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	2	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	2
1600029O15Rik	5	5	2	12	5	2	1	3	0	2	4	8
1700001C02Rik	0	0	0	2	0	0	0	0	0	0	0	0
1700001C19Rik	777	1122	1054	871	803	673	767	660	703	740	309	1036
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	2	2	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	3	1	2	0	3	3	2	7	8	2
1700001K19Rik	0	1	2	0	0	0	0	0	0	0	3	0
1700001L19Rik	0	0	0	0	2	0	3	0	0	2	16	2
