	GSM4564587	GSM4564588	GSM4564589	GSM4564590	GSM4564591	GSM4564592	GSM4564593	GSM4564594
0610007P14Rik	316	312	249	295	304	372	323	311
0610009B22Rik	176	194	183	219	218	168	232	165
0610009L18Rik	64	56	47	57	95	63	86	65
0610009O20Rik	691	771	628	709	816	745	763	734
0610010F05Rik	1390	1256	1054	1345	1361	1173	1386	1073
0610010K14Rik	390	324	252	324	313	382	330	417
0610011F06Rik	155	186	171	146	190	218	228	229
0610012G03Rik	659	752	580	701	856	763	767	723
0610030E20Rik	1094	1192	914	1074	1342	1258	1084	996
0610037L13Rik	603	637	455	500	542	624	607	615
0610040J01Rik	41	85	49	67	89	40	36	57
1110001J03Rik	87	81	73	68	84	82	124	68
1110002E22Rik	3	5	1	2	4	8	3	4
1110004E09Rik	77	77	86	87	84	83	110	78
1110004F10Rik	960	1056	662	860	906	922	1040	894
1110008F13Rik	1007	1090	885	1044	1115	1113	1202	1028
1110008L16Rik	223	304	196	253	217	236	269	249
1110008P14Rik	559	501	562	699	645	589	690	733
1110012L19Rik	124	119	90	127	127	111	145	123
1110017D15Rik	3	5	3	4	7	9	11	7
1110025L11Rik	0	0	0	0	0	0	0	0
1110032A03Rik	535	466	423	555	534	434	591	473
1110032F04Rik	8	2	4	2	6	7	7	2
1110034G24Rik	176	232	140	166	209	222	189	172
1110037F02Rik	2981	2969	2378	2754	2875	2967	2995	2665
1110038F14Rik	169	179	165	185	191	196	208	183
1110051M20Rik	486	408	312	438	537	425	465	445
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	477	495	366	358	464	483	438	382
1110059G10Rik	157	160	104	178	150	174	197	172
1110065P20Rik	109	80	86	94	107	89	156	103
1190002N15Rik	1288	1363	1013	1240	1403	1353	1419	1041
1190003K10Rik	0	0	0	0	0	0	0	0
1190005I06Rik	65	47	67	56	87	70	86	55
1190007I07Rik	99	131	88	100	105	105	119	98
1300017J02Rik	21	17	5	23	17	19	15	14
1500009C09Rik	1	0	0	0	0	0	0	0
1500009L16Rik	21	16	15	13	31	22	15	22
1500011B03Rik	184	125	118	126	178	126	149	147
1500011K16Rik	247	255	227	262	312	194	312	245
1500015O10Rik	15	11	6	7	4	17	12	15
1520401A03Rik	5	2	1	8	8	3	2	2
1600002H07Rik	176	158	151	182	168	171	154	147
1600002K03Rik	41	58	43	51	57	59	74	58
1600012H06Rik	1056	1164	816	1002	1032	979	1007	876
1600014C10Rik	2958	2494	2835	2964	3543	2788	3218	2623
1600014C23Rik	2	0	1	0	0	0	0	0
1600015I10Rik	1	0	1	2	0	1	1	5
1600029O15Rik	36	54	39	53	40	48	46	44
1700001C02Rik	0	0	2	0	0	0	1	1
1700001C19Rik	22	15	9	22	15	33	10	10
1700001F09Rik	0	0	0	0	0	0	0	0
1700001J03Rik	8	3	2	7	10	4	11	8
1700001J11Rik	16	36	16	19	19	16	17	19
1700001K19Rik	38	35	24	34	46	36	22	29
1700001L19Rik	0	0	0	0	0	0	3	1
1700001O22Rik	3	10	11	5	6	8	5	8
1700001P01Rik	2	0	1	6	1	4	5	2
1700003E16Rik	8	11	9	7	7	11	9	9
1700003F12Rik	4	5	5	3	5	9	1	4
1700003H04Rik	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	1	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	6	6	5	6	8	7	9	15
1700007B14Rik	6	0	0	3	8	1	4	9
1700007E05Rik	55	57	29	42	64	55	53	55
1700007G11Rik	1	0	5	5	1	1	0	1
1700007K09Rik	3	3	1	3	2	1	1	1
1700007K13Rik	1	0	0	1	0	0	0	0
1700008O03Rik	7	5	3	10	4	9	3	14
1700008P02Rik	0	0	0	0	0	0	0	0
1700009N14Rik	0	4	0	1	0	0	2	0
1700010B08Rik	3	2	0	0	3	1	1	0
1700010I14Rik	28	36	28	33	33	25	35	44
1700010N08Rik	0	0	0	0	0	2	0	0
1700011E24Rik	3	1	2	2	2	2	1	2
1700011H14Rik	3	5	5	3	3	4	1	3
1700011I03Rik	0	0	0	0	0	0	0	2
1700011L22Rik	7	7	2	0	9	6	5	4
1700011M02Rik	0	0	0	1	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	1	0	0	0	0	0	0	0
1700013F07Rik	2	0	0	0	2	0	1	0
1700013G24Rik	0	0	0	0	1	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700014D04Rik	1	4	0	0	2	1	1	1
1700015E13Rik	12	19	15	21	16	21	8	15
1700015F17Rik	0	0	0	0	0	0	1	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	0	3	0	2	0	1	5	6
1700016D06Rik	151	195	102	123	141	166	126	150
