	GSM2705880	GSM2705881	GSM2705882	GSM2705883	GSM2705884	GSM2705885	GSM2705886	GSM2705887	GSM2705888	GSM2705889	GSM2705890	GSM2705891	GSM2705892	GSM2705893	GSM2705894
0610007P14Rik	616	622	434	543	531	489	1738	663	491	467	372	465	367	459	481
0610009B22Rik	837	815	530	700	540	538	1312	670	774	758	507	405	540	561	527
0610009L18Rik	45	41	35	39	32	31	86	29	20	21	21	11	23	22	39
0610009O20Rik	924	1114	798	993	1454	1442	2604	737	500	501	403	489	482	658	892
0610010F05Rik	1236	1146	896	963	943	939	2608	928	1168	1107	1074	1025	771	1027	807
0610010K14Rik	510	500	334	402	414	471	1040	374	382	406	308	305	328	311	305
0610011F06Rik	1357	1282	888	1008	929	953	2056	858	919	1031	625	431	736	755	814
0610012G03Rik	293	380	181	218	261	295	1375	644	297	305	232	290	260	330	392
0610030E20Rik	604	710	448	632	816	818	1554	430	416	394	300	452	334	556	418
0610037L13Rik	1348	1148	791	990	941	999	1805	596	790	893	655	595	751	734	690
0610040J01Rik	2552	2454	2021	2808	2760	2392	4574	1215	1451	1856	1244	894	1527	1684	1863
1110001J03Rik	195	212	151	183	163	152	409	178	81	86	53	70	79	78	106
1110002E22Rik	20	35	23	29	51	40	60	18	18	43	20	34	44	32	64
1110004E09Rik	536	516	391	448	478	426	1286	459	720	651	529	625	508	651	362
1110004F10Rik	1948	2112	1411	1743	1692	1659	6208	2216	2660	2540	2269	2896	2289	2480	1518
1110008F13Rik	681	576	409	520	483	517	1901	748	476	474	393	465	397	364	491
1110008L16Rik	347	304	216	276	285	275	791	207	251	279	195	241	267	248	236
1110008P14Rik	367	436	259	317	401	488	1265	748	271	265	210	215	196	295	363
1110012L19Rik	450	380	296	323	316	308	561	232	276	254	191	207	193	179	121
1110017D15Rik	16	12	10	21	22	13	32	12	6	11	11	11	9	20	9
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	969	1010	663	826	799	786	2606	600	749	713	604	574	610	670	560
1110032F04Rik	4	2	2	2	1	1	23	0	0	0	1	21	0	0	0
1110034G24Rik	363	336	238	341	270	336	470	182	170	167	123	125	150	139	152
1110037F02Rik	1886	2017	1707	2070	2509	1834	6186	1695	1873	2260	1643	1887	1686	2117	2002
1110038F14Rik	309	423	206	282	411	450	1354	371	481	433	405	440	326	478	321
1110051M20Rik	682	839	496	612	775	756	2221	714	473	504	439	468	342	526	448
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	779	715	510	624	494	476	1523	545	545	582	422	436	480	439	446
1110059G10Rik	381	385	207	269	251	274	1206	351	395	341	327	315	293	304	264
1110065P20Rik	317	442	296	354	423	456	883	480	271	281	190	180	207	212	362
1190002N15Rik	737	746	677	893	629	556	1667	385	714	1000	615	445	760	745	1072
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	5	16	2	3	7	5	25	2	9	0	4	7	3	11	6
1190007I07Rik	157	171	89	105	107	126	558	241	213	195	129	108	115	157	148
1300017J02Rik	5	4	2	4	7	8	13	1	2	8	10	8	3	8	4
1500009C09Rik	0	0	1	0	2	2	11	1	1	1	1	3	0	0	0
1500009L16Rik	300	314	243	351	288	284	743	164	317	382	287	263	325	310	238
1500011B03Rik	775	913	470	819	711	792	2550	871	858	811	551	627	649	755	671
1500011K16Rik	210	235	159	176	135	137	792	343	551	538	360	328	403	371	228
1500015O10Rik	9	15	12	14	15	13	30	4	1	1	4	7	0	5	1
1520401A03Rik	10	9	8	9	5	29	15	4	1	3	5	3	4	2	2
1600002H07Rik	111	119	87	91	138	150	309	112	97	91	85	92	80	107	99
1600002K03Rik	259	200	150	162	166	200	210	124	123	124	116	71	99	95	89
1600012H06Rik	964	1024	684	837	781	828	2573	709	821	846	637	757	659	719	660
1600014C10Rik	542	606	368	588	580	591	1658	518	455	563	413	441	396	539	408
1600014C23Rik	0	0	1	0	3	2	2	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	12	6	10	11	16	11	25	13	6	8	5	8	4	15	16
1700001C02Rik	30	15	15	8	14	12	13	0	13	23	7	4	17	8	4
1700001C19Rik	71	52	51	53	46	43	90	28	26	23	27	14	21	37	30
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	22	26	14	12	12	25	32	10	6	10	3	5	7	5	10
1700001J11Rik	9	5	11	8	15	7	29	13	8	16	14	10	6	18	5
1700001K19Rik	14	15	8	8	19	19	53	45	7	7	6	13	1	19	5
