	GSM3456189	GSM3456190	GSM3456191	GSM3456192	GSM3456193	GSM3456194
A1BG	16	12	29	15	33	17
A1BG-AS1	5	7	4	1	0	7
A1CF	931	705	1461	847	1578	1514
A2M	24460	16961	29541	21628	36917	39794
A2M-AS1	22	10	13	12	15	28
A2ML1	1	2	2	1	5	1
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0
A2MP1	1	2	1	2	5	3
A3GALT2	0	0	0	0	2	0
A4GALT	102	42	100	76	128	166
A4GNT	0	1	3	1	1	3
AAAS	341	179	428	233	373	507
AACS	309	160	346	292	476	533
AACSP1	6	4	2	3	4	6
AADAC	1342	853	1723	1343	2294	2512
AADACL2	0	0	0	0	0	0
AADACL2-AS1	1	0	0	0	0	0
AADACL3	0	0	0	1	1	0
AADACL4	0	0	0	0	0	0
AADACP1	7	3	17	12	19	24
AADAT	111	73	115	74	120	202
AAGAB	386	279	520	417	769	812
AAK1	721	581	910	826	1598	1437
AAMDC	63	46	49	42	70	77
AAMP	892	515	1035	707	1239	1368
AANAT	2	2	1	1	8	6
AAR2	267	175	285	229	378	431
AARD	4	1	1	3	3	4
AARS1	1345	915	1712	1662	2971	2995
AARS1P1	0	0	0	0	0	0
AARS2	209	91	218	151	268	309
AARSD1	144	96	183	142	238	291
AARSD1P1	0	0	1	1	0	4
AASDH	159	117	226	167	264	270
AASDHPPT	408	338	578	503	827	856
AASS	1009	847	1696	716	1193	1451
AATBC	5	2	4	2	5	2
AATF	518	372	635	534	914	938
AATK	14	14	6	7	7	10
ABALON	0	3	2	6	5	7
ABAT	1398	968	1861	623	1140	1286
ABCA1	1436	1142	2019	1230	2267	1995
ABCA10	10	4	19	9	10	17
ABCA11P	15	9	9	12	3	14
ABCA12	503	414	755	866	1449	1307
ABCA13	4	0	3	4	4	11
ABCA17P	11	10	9	14	11	8
ABCA2	2286	1342	2438	1553	2362	2903
ABCA3	139	85	162	106	184	191
ABCA3P1	0	0	0	0	0	0
ABCA4	58	54	91	73	106	115
ABCA5	219	165	305	176	320	317
ABCA6	283	223	384	236	345	420
ABCA7	366	156	297	196	300	419
ABCA8	51	45	74	39	55	65
ABCA9	21	7	33	8	20	15
ABCA9-AS1	0	0	0	2	0	0
ABCB1	842	607	1200	690	1224	1264
ABCB10	198	146	271	203	377	394
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	28	26	74	27	53	36
ABCB4	731	493	961	720	1270	1270
ABCB5	5	9	14	5	15	9
ABCB6	926	497	909	591	954	1172
ABCB7	229	156	284	254	434	487
ABCB8	488	259	556	358	529	726
ABCB9	74	32	61	61	79	89
ABCC1	1069	768	1275	1117	1837	1825
ABCC10	196	106	193	126	235	288
ABCC11	117	80	131	44	69	79
ABCC12	3	5	2	1	4	1
ABCC13	0	3	1	0	0	1
ABCC2	1710	1171	2225	1570	2645	2744
ABCC3	5543	3408	6744	4153	6454	7723
ABCC4	186	152	282	303	534	504
ABCC5	282	206	342	254	404	445
ABCC5-AS1	0	1	2	1	1	0
ABCC6	414	247	512	218	346	423
ABCC6P1	193	132	255	120	224	238
ABCC6P2	23	14	16	13	30	20
ABCC8	10	13	21	22	31	26
ABCC9	279	231	415	307	487	521
ABCD1	226	137	226	146	221	298
ABCD1P2	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	231	170	328	323	513	557
ABCD3	933	664	1291	944	1615	1796
ABCD4	308	184	363	215	410	465
ABCE1	723	540	1101	960	1500	1645
ABCF1	981	611	1064	816	1552	1590
ABCF2	694	433	797	710	990	1091
ABCF2-H2BK1	384	272	480	372	790	829
ABCF2P1	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	604	402	785	471	799	949
ABCG1	11	3	10	4	7	2
ABCG2	58	52	107	64	123	116
ABCG4	5	0	5	7	5	9
ABCG5	55	20	66	14	24	27
ABCG8	324	130	327	122	211	234
ABHD1	5	3	6	5	5	4
ABHD10	249	194	374	293	522	531
ABHD11	118	61	120	90	163	173
ABHD11-AS1	11	1	3	5	2	8
ABHD12	519	311	671	459	801	862
ABHD12B	15	9	21	10	21	23
ABHD13	193	110	197	156	303	335
ABHD14A	208	96	154	113	164	181
ABHD14A-ACY1	43	30	45	24	31	37
ABHD14B	825	506	935	607	988	1205
ABHD15	361	204	431	253	455	489
ABHD15-AS1	4	0	0	1	0	0
ABHD16A	253	149	275	221	348	413
ABHD16B	0	0	0	0	0	0
ABHD17A	526	287	526	326	559	676
ABHD17AP1	0	0	0	0	0	0
ABHD17AP3	0	0	1	0	0	0
ABHD17AP4	1	0	0	0	0	0
ABHD17AP5	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0
ABHD17B	133	80	151	103	232	226
ABHD17C	179	114	236	181	342	332
ABHD18	115	82	148	130	174	223
ABHD2	4433	3228	5637	3743	6661	6737
ABHD3	98	61	120	84	128	191
ABHD4	1331	816	1499	1187	1884	2118
ABHD5	151	125	212	187	281	359
ABHD6	210	137	262	168	322	347
ABHD8	192	109	202	195	337	358
ABI1	374	272	458	378	653	774
ABI1P1	0	0	0	0	0	0
ABI2	415	325	597	492	766	884
ABI3	0	0	0	0	0	1
ABI3BP	352	354	698	253	452	476
ABITRAM	171	115	208	172	300	353
ABITRAMP1	0	0	0	0	0	0
ABL1	877	557	977	823	1404	1408
ABL2	310	231	401	377	657	613
ABLIM1	2333	1751	3141	2420	4117	4309
ABLIM2	878	602	1109	852	1425	1563
ABLIM3	3003	2077	3767	2972	5191	5837
ABO	10	8	12	14	20	20
ABR	174	115	198	140	235	273
ABR-AS1	0	0	0	0	0	0
ABRA	0	1	1	0	3	0
ABRACL	265	192	332	260	403	444
ABRAXAS1	152	140	206	193	355	362
ABRAXAS2	194	155	307	245	388	482
ABT1	213	148	263	185	334	333
ABT1P1	0	0	1	0	0	0
ABTB1	212	110	251	104	177	254
ABTB2	290	179	335	257	347	478
ACAA1	1267	737	1648	796	1519	1766
ACAA2	3493	2322	4329	2965	5472	5799
ACAA2P1	3	4	5	2	4	2
ACACA	756	533	1031	723	1192	1126
ACACB	1029	685	1197	1030	1854	1841
ACAD10	552	323	615	380	630	736
ACAD11	1150	827	1635	843	1521	1769
ACAD8	216	131	288	161	294	323
ACAD9	364	244	434	349	595	555
ACAD9-DT	15	11	43	14	45	35
ACADL	531	344	780	500	895	988
ACADM	1193	900	1849	1164	2230	2270
ACADS	162	61	148	91	154	174
ACADSB	783	574	978	664	1164	1156
ACADVL	9718	5623	11165	8091	11910	16680
ACAN	15	9	18	5	17	12
ACAP1	48	30	46	28	78	58
ACAP2	584	392	738	702	1196	1197
ACAP2-IT1	0	1	3	3	6	2
ACAP3	752	352	799	399	517	871
ACAT1	1278	964	1725	1294	2260	2246
ACAT2	521	363	655	628	967	1086
ACBD3	534	382	788	683	1127	1289
ACBD3-AS1	0	1	0	0	2	1
ACBD4	245	111	287	102	193	256
ACBD5	385	268	599	411	709	835
ACBD6	204	126	219	220	346	403
ACBD7	45	24	64	39	52	62
ACCS	267	147	312	178	160	311
ACCSL	0	1	0	1	0	0
ACD	161	85	154	92	176	201
ACE	1	4	8	1	9	9
ACE2	0	4	3	1	9	7
ACE3P	0	0	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	88	50	108	98	180	160
ACER2P1	0	0	0	0	0	0
ACER3	293	245	349	334	498	579
ACHE	92	31	80	48	81	96
ACIN1	1281	883	1733	1141	1711	2192
ACKR1	9	7	9	6	8	7
ACKR2	111	53	112	58	91	96
ACKR3	579	360	606	471	793	871
ACKR4	4	2	3	4	7	6
ACKR4P1	0	0	0	0	0	0
ACLY	1954	1232	2328	1907	3135	3444
ACMSD	212	167	264	119	219	230
ACNATP	2	0	2	0	0	0
ACO1	1498	982	1843	1813	2941	3090
ACO2	3009	1883	3385	2366	4191	4520
ACOD1	0	0	0	0	0	0
ACOT1	129	67	153	85	139	196
ACOT11	6	6	5	6	14	3
ACOT12	47	41	62	47	91	110
ACOT13	385	305	571	427	698	833
ACOT2	578	361	666	484	807	918
ACOT4	21	11	11	5	19	8
ACOT6	6	2	4	1	4	3
ACOT7	339	210	352	244	388	478
ACOT8	174	92	204	117	195	258
ACOT9	355	202	368	313	533	536
ACOX1	1071	752	1364	995	1815	1669
ACOX2	42	9	22	4	14	23
ACOX3	171	103	195	154	254	248
ACOXL	42	28	66	26	65	57
ACOXL-AS1	7	12	17	8	9	11
ACP1	716	490	927	645	1167	1233
ACP2	437	250	396	270	457	502
ACP3	51	39	59	41	91	96
ACP4	0	0	0	0	0	1
ACP5	3	5	5	1	7	4
ACP6	129	93	186	119	187	242
ACP7	5	2	0	3	6	3
ACR	2	0	0	0	0	2
ACRBP	12	3	8	6	7	4
ACRP1	0	0	0	0	0	1
ACRV1	3	0	2	0	3	0
ACSBG1	8	6	10	6	22	18
ACSBG2	1	1	5	1	3	1
ACSF2	328	175	409	224	351	419
ACSF3	189	84	176	134	191	273
ACSL1	11012	7636	14941	18336	31896	33666
ACSL3	1057	747	1373	1598	2797	3081
ACSL3-AS1	0	0	0	0	0	0
ACSL4	2405	1942	3930	4149	6871	7176
ACSL5	2241	1654	3116	2811	4862	5126
ACSL6	8	2	4	2	2	0
ACSL6-AS1	0	0	0	0	0	0
ACSM1	23	17	38	12	15	21
ACSM2A	1541	937	1991	547	1033	1069
ACSM2B	950	556	1180	394	698	801
ACSM3	650	490	992	504	947	868
ACSM4	5	5	8	6	6	10
ACSM5	392	329	553	284	461	507
ACSM5P1	6	1	3	4	3	2
ACSM6	3	1	0	1	3	0
ACSS1	32	15	37	24	41	56
ACSS2	1457	966	1770	997	1789	2105
ACSS3	768	577	1066	805	1454	1505
ACTA1	1	3	0	0	1	3
ACTA2	564	415	717	592	922	1110
ACTA2-AS1	4	3	3	4	2	5
ACTB	57256	36579	62829	49736	83748	91797
ACTBL2	39	23	38	36	72	44
ACTBP1	3	0	0	0	0	0
ACTBP11	0	0	1	0	2	2
ACTBP12	0	0	0	0	0	0
ACTBP14	0	0	0	0	0	0
ACTBP15	3	0	1	0	0	1
ACTBP2	0	0	2	0	3	6
ACTBP4	0	0	0	0	1	0
ACTBP6	0	0	1	0	1	0
ACTBP7	0	1	0	0	2	3
ACTBP8	1	3	4	0	3	1
ACTBP9	0	1	2	1	3	4
ACTC1	0	0	0	0	1	0
ACTE1P	1	5	4	1	2	2
ACTG1	15491	10411	16719	14509	24632	25898
ACTG1P1	0	2	9	4	7	1
ACTG1P10	0	2	2	1	8	0
ACTG1P11	0	0	0	0	0	0
ACTG1P12	0	0	0	0	2	1
ACTG1P13	0	0	0	0	0	0
ACTG1P14	2	2	1	2	5	3
ACTG1P15	1	1	1	0	0	0
ACTG1P16	0	0	0	0	0	0
ACTG1P17	4	6	18	8	6	10
ACTG1P18	0	0	0	0	0	0
ACTG1P19	0	0	0	0	0	0
ACTG1P2	0	0	0	0	0	0
ACTG1P20	3	2	5	4	6	4
ACTG1P21	3	0	1	1	1	0
ACTG1P22	1	0	2	0	1	0
ACTG1P23	0	0	0	1	0	0
ACTG1P24	1	1	0	0	0	1
ACTG1P25	6	5	8	10	11	6
ACTG1P3	1	1	1	1	5	2
ACTG1P4	0	2	0	3	1	0
ACTG1P9	3	2	5	1	4	4
ACTG2	0	1	0	0	1	2
ACTL10	5	1	4	2	4	3
ACTL11P	0	0	1	0	1	0
ACTL6A	262	182	334	246	447	485
ACTL6B	2	0	0	0	1	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	1	0
ACTL8	1059	588	1040	882	1457	1622
ACTL9	0	0	0	0	0	0
ACTN1	2557	1702	2959	2543	4144	4605
ACTN1-DT	10	1	2	2	5	5
ACTN2	4	1	2	0	1	2
ACTN3	3	3	1	3	0	1
ACTN4	6205	3982	7352	5544	9499	10222
ACTN4P1	0	0	1	0	1	0
ACTN4P2	2	0	0	0	0	0
ACTP1	0	0	0	0	0	0
ACTR10	302	240	445	366	614	648
ACTR1A	922	558	1033	811	1317	1505
ACTR1AP1	0	0	0	0	0	0
ACTR1B	622	320	714	423	708	942
ACTR2	1966	1488	2834	2411	4151	4519
ACTR3	1416	1074	1940	1611	2901	3023
ACTR3-AS1	3	1	1	2	4	7
ACTR3B	150	136	198	155	287	280
ACTR3BP1	0	0	0	0	0	0
ACTR3BP2	0	0	0	0	0	0
ACTR3BP3	0	0	0	0	0	0
ACTR3BP4	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3BP6	0	0	0	0	0	0
ACTR3BP7	0	0	0	0	0	0
ACTR3C	23	11	28	26	77	66
ACTR3P2	0	0	0	0	0	0
ACTR3P3	0	0	0	0	0	0
ACTR5	114	70	136	63	133	155
ACTR6	89	63	117	102	149	175
ACTR6P1	0	0	0	0	0	0
ACTR8	234	163	270	233	365	453
ACTRT1	0	0	0	0	0	0
ACTRT1P1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	7	4	11	13	15	12
ACVR1	368	255	476	388	734	760
ACVR1B	604	412	746	623	1017	1143
ACVR1C	15	20	39	35	44	61
ACVR2A	92	70	132	95	200	172
ACVR2B	149	95	141	146	213	201
ACVR2B-AS1	31	11	25	18	27	42
ACVRL1	3	1	2	0	0	0
ACY1	1963	1178	2140	1164	1964	2265
ACY3	73	43	88	44	63	112
ACYP1	27	18	54	42	47	64
ACYP2	243	182	290	167	361	366
ADA	170	130	175	152	255	285
ADA2	67	39	65	33	44	56
ADAD1	0	0	0	0	0	0
ADAD1P2	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	194	117	290	210	315	390
