	GSM4391955	GSM4391956	GSM4391957	GSM4391958	GSM4391959	GSM4391961	GSM4391962
0610007P14Rik	194	354	255	284	230	491	331
0610009B22Rik	274	211	111	175	305	294	136
0610009L18Rik	76	117	73	13	44	103	47
0610009O20Rik	39	57	13	49	21	32	38
0610010F05Rik	135	70	62	94	55	72	63
0610010K14Rik	386	210	253	381	364	185	229
0610011F06Rik	817	683	521	815	927	870	761
0610012G03Rik	813	589	362	454	579	562	622
0610030E20Rik	38	42	30	22	12	24	32
0610037L13Rik	271	357	239	278	340	257	342
0610040J01Rik	0	3	15	15	17	6	25
1110001J03Rik	1223	1010	740	721	963	939	882
1110002E22Rik	4	0	0	0	0	0	0
1110004E09Rik	192	185	72	184	134	124	76
1110004F10Rik	1076	807	404	342	607	676	485
1110008F13Rik	352	388	325	311	327	274	286
1110008L16Rik	21	27	29	15	14	19	31
1110008P14Rik	891	718	531	513	802	864	582
1110012L19Rik	100	88	153	117	65	60	86
1110017D15Rik	130	119	50	47	159	42	154
1110025L11Rik	0	0	0	0	0	0	0
1110032A03Rik	500	283	296	368	345	450	206
1110032F04Rik	6	9	0	16	0	1	0
1110034G24Rik	46	71	67	56	100	122	60
1110037F02Rik	120	38	18	17	41	68	11
1110038F14Rik	137	197	89	120	110	124	111
1110051M20Rik	522	477	315	419	400	520	413
1110057P08Rik	0	0	0	0	0	0	0
1110059E24Rik	164	145	49	118	150	65	123
1110059G10Rik	210	121	91	79	75	142	81
1110065P20Rik	497	551	277	358	350	315	340
1190002N15Rik	46	19	17	31	10	40	50
1190003K10Rik	0	0	0	0	0	0	0
1190005I06Rik	137	67	55	97	0	76	58
1190007I07Rik	165	73	41	88	89	100	95
1300017J02Rik	1	0	0	1	0	0	0
1500009C09Rik	167	171	97	203	129	211	160
1500009L16Rik	294	180	89	124	169	121	149
1500011B03Rik	1189	984	613	922	781	773	951
1500011K16Rik	479	427	219	195	376	276	288
1500015O10Rik	24	62	4	56	48	40	44
1520401A03Rik	0	0	0	0	0	0	0
1600002H07Rik	13	0	6	5	0	4	0
1600002K03Rik	33	33	24	47	3	21	25
1600012H06Rik	13	11	8	7	6	17	8
1600014C10Rik	21	23	37	24	11	25	33
1600014C23Rik	10	12	18	28	0	0	0
1600015I10Rik	0	0	0	0	0	0	0
1600029O15Rik	13	9	12	9	30	4	35
1700001C02Rik	15	51	42	22	44	30	45
1700001C19Rik	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0
1700001J03Rik	8	0	0	0	0	0	17
1700001J11Rik	0	0	0	0	0	0	1
1700001K19Rik	0	0	0	0	1	1	0
1700001L19Rik	167	129	130	112	92	117	147
1700001O22Rik	0	0	14	0	0	0	14
1700001P01Rik	0	0	0	0	0	0	0
1700003E16Rik	65	23	64	73	46	41	86
1700003F12Rik	10	80	2	16	22	2	7
1700003H04Rik	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	7	0	0	0
1700007B14Rik	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	0	0	0
1700007G11Rik	16	9	1	25	36	41	11
1700007K09Rik	0	0	0	0	0	0	0
1700007K13Rik	62	91	14	26	38	68	78
1700008O03Rik	45	61	19	42	40	24	13
1700008P02Rik	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0
1700010I14Rik	7	0	2	0	28	8	28
1700010N08Rik	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0	0
1700011H14Rik	0	0	0	0	0	0	0
1700011I03Rik	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0
1700012B09Rik	41	10	30	36	37	42	32
1700012L04Rik	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0
1700013F07Rik	16	14	3	1	17	14	0
1700013G24Rik	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0
1700016D06Rik	9	0	13	7	12	1	8
1700016H13Rik	0	0	0	0	0	0	0
1700016K19Rik	5	35	26	0	28	22	31
1700017B05Rik	38	1	0	45	11	36	58
1700017D01Rik	3	0	0	2	0	0	0
1700017N19Rik	0	0	0	0	1	0	0
1700018B08Rik	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0
1700018M17Rik	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0
1700019B03Rik	3	0	0	0	0	0	0
1700019D03Rik	27	27	34	7	11	22	25
1700019M22Rik	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0	0
1700020L24Rik	5	0	3	0	9	2	0
1700020N01Rik	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0
1700021F05Rik	153	179	48	101	154	163	47
1700021F07Rik	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0
1700023F06Rik	31	28	3	20	21	36	43
1700024B05Rik	0	0	0	0	0	0	0
1700024G13Rik	15	0	0	2	0	5	0
1700024J04Rik	3	3	0	2	3	16	0
1700024P04Rik	0	0	0	0	0	0	0
1700024P16Rik	0	0	0	1	0	0	0
1700025B11Rik	0	0	0	6	0	0	0
1700025C18Rik	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0
1700025G04Rik	172	104	72	81	27	107	106
1700028B04Rik	1	1	0	4	2	0	0
1700028J19Rik	16	8	9	20	2	0	4
1700028K03Rik	8	0	8	0	5	0	2
1700028P14Rik	6	11	2	36	11	25	2
1700029F12Rik	0	9	0	0	0	0	0
1700029H14Rik	0	7	0	0	0	0	0
1700029I15Rik	0	14	0	0	0	0	0
1700029J07Rik	1	17	32	9	0	16	4
1700029P11Rik	0	0	0	0	0	0	0
1700030C10Rik	0	0	0	0	0	0	0
1700030J22Rik	9	16	7	2	0	26	9
1700030K09Rik	35	108	36	34	8	0	44
1700031F05Rik	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0
1700034I23Rik	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0
1700037C18Rik	45	17	26	12	7	58	25
1700037H04Rik	739	498	648	708	768	613	570
1700039E15Rik	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0
1700040L02Rik	1	6	7	14	5	16	5
1700042G07Rik	0	0	0	0	0	0	0
1700047I17Rik2	108	79	55	70	68	51	43
1700048O20Rik	80	87	42	36	82	82	93
1700049E17Rik1	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0
1700049G17Rik	38	18	7	11	10	2	17
1700049L16Rik	0	0	0	0	0	0	0
1700056E22Rik	0	0	0	3	7	0	4
1700057G04Rik	0	0	0	0	0	0	0
1700061G19Rik	0	0	0	0	0	0	5
1700063K16Rik	0	0	0	0	0	0	0
1700064H15Rik	0	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0
1700066B19Rik	27	0	10	0	0	0	9
1700066M21Rik	17	22	23	28	1	14	13
1700067K01Rik	0	0	0	24	1	0	3
1700067P10Rik	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0
1700071K01Rik	0	0	1	4	0	0	0
1700073E17Rik	3	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0
1700084J12Rik	1	3	0	0	0	1	0
1700084M14Rik	0	0	0	0	0	0	1
1700086D15Rik	0	0	0	0	0	0	0
1700086L19Rik	305	129	160	180	182	214	155
1700088E04Rik	144	152	92	93	265	120	108
1700091H14Rik	0	0	0	0	0	0	0
1700092M07Rik	0	0	0	0	0	0	0
1700093K21Rik	0	0	0	0	0	0	0
1700102P08Rik	0	0	0	0	0	0	0
1700109H08Rik	2	0	0	14	11	0	8
1700110I07Rik	0	0	0	0	0	0	0
1700112E06Rik	3	21	0	15	5	0	18
1700113H08Rik	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0	0
1700123O20Rik	136	107	92	73	154	104	76
1700125H20Rik	0	0	0	0	0	0	0
1700128F08Rik	14	0	5	2	5	0	1
1700129C05Rik	0	0	0	0	0	0	0
1810009A15Rik	257	255	169	358	264	148	269
1810009J06Rik	0	0	0	0	0	0	0
1810010H24Rik	9	24	6	20	30	10	3
1810011H11Rik	1	0	1	6	0	1	0
1810011O10Rik	0	10	0	0	0	0	6
1810013L24Rik	22	17	12	33	14	22	31
1810018F18Rik	0	0	0	0	0	0	0
1810022K09Rik	628	424	287	184	526	419	251
1810024B03Rik	54	25	20	4	43	4	34
1810026J23Rik	100	25	59	52	40	60	81
1810030O07Rik	138	61	49	92	52	69	55
1810032O08Rik	5	22	1	1	15	5	7
1810037I17Rik	1465	1332	859	815	1247	908	799
1810041L15Rik	183	207	119	132	86	108	102
1810043G02Rik	243	193	182	238	218	224	195
1810043H04Rik	701	717	590	515	592	710	701
1810046K07Rik	0	0	0	0	0	0	0
1810049J17Rik	0	0	0	11	10	0	0
1810055G02Rik	54	9	19	92	13	8	36
1810062G17Rik	12	15	3	1	11	0	0
1810065E05Rik	0	0	0	0	0	0	0
2010001K21Rik	0	0	0	0	0	0	0
2010003K11Rik	0	0	0	0	0	0	0
2010005H15Rik	17	8	37	27	20	32	24
2010010A06Rik	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0
2010107E04Rik	2534	2524	1448	1222	1886	2248	1383
2010107G12Rik	1	1	0	0	0	0	0
2010107G23Rik	47	99	99	59	37	121	198
2010109A12Rik	0	0	0	0	1	0	6
2010109I03Rik	2	1	8	1	0	0	6
2010111I01Rik	87	5	0	50	35	7	41
2010300C02Rik	37	23	46	28	15	47	28
2010315B03Rik	6	17	4	11	7	7	3
2200002D01Rik	5	0	0	2	21	0	0
2200002J24Rik	0	0	0	0	0	0	0
2210010C04Rik	0	0	0	0	0	0	0
2210011C24Rik	0	0	13	0	4	0	0
2210013O21Rik	1060	666	530	593	844	633	738
2210016F16Rik	146	123	98	151	143	136	101
2210016L21Rik	2562	2828	2156	3067	3611	2972	3928
2210017I01Rik	3	38	7	7	35	11	8
2210404O09Rik	33	15	4	6	2	14	11
2210407C18Rik	0	0	0	0	0	0	0
2210408I21Rik	45	11	50	27	28	19	15
2210409E12Rik	0	0	0	0	0	0	0
2210418O10Rik	8	10	6	13	5	13	5
2300002M23Rik	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0
2300009A05Rik	123	157	105	67	94	121	72
2310002L09Rik	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0
2310007B03Rik	0	1	5	0	0	0	0
2310009B15Rik	126	132	120	43	143	167	95
2310011J03Rik	21	41	18	130	47	70	48
2310022A10Rik	336	395	341	156	324	665	318
2310022B05Rik	126	160	102	300	97	391	141
2310030G06Rik	25	2	21	19	26	63	23
2310033P09Rik	157	221	111	171	196	87	146
2310034C09Rik	0	0	0	0	0	0	0
2310034G01Rik	39	15	13	3	1	18	10
2310035C23Rik	144	84	15	26	37	37	37
2310036O22Rik	649	355	156	309	528	351	282
2310039H08Rik	116	120	55	116	177	133	72
2310046K23Rik	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0
2310057M21Rik	42	65	22	121	38	81	29
2310057N15Rik	0	0	0	0	0	0	0
2310061I04Rik	254	284	205	225	361	210	226
2310061N02Rik	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0
2410002F23Rik	76	76	71	56	117	83	99
2410004B18Rik	117	102	52	83	70	101	79
2410004P03Rik	28	51	38	28	61	53	70
2410015M20Rik	1847	1564	1022	830	1393	1134	1177
2410016O06Rik	37	0	1	4	20	29	3
2410024N13Rik	7	0	0	0	0	0	7
2410089E03Rik	1179	33	62	70	44	27	82
2410131K14Rik	103	108	62	48	29	171	123
2410137M14Rik	0	0	0	0	0	0	0
2410141K09Rik	0	0	0	1	0	0	0
2510002D24Rik	239	126	222	188	272	198	209
2510009E07Rik	33	92	43	56	29	46	29
2510039O18Rik	25	19	9	62	31	21	53
2610001J05Rik	128	162	175	255	175	146	166
2610002M06Rik	85	43	45	58	61	76	64
2610005L07Rik	182	77	34	135	65	82	80
2610008E11Rik	33	18	25	14	20	18	21
2610020H08Rik	12	21	13	11	1	15	0
2610021A01Rik	18	37	0	11	37	22	6
2610024D14Rik	0	0	0	0	0	0	0
2610028H24Rik	0	0	0	0	0	0	0
2610042L04Rik	0	6	9	0	3	14	0
2610044O15Rik8	81	66	51	21	102	82	47
2610301B20Rik	637	219	203	198	367	261	172
2610305D13Rik	0	0	0	0	1	0	0
2610318N02Rik	6	0	6	0	3	9	4
2610507B11Rik	168	184	118	294	118	137	235
2610524H06Rik	111	110	74	147	120	104	171
2610528A11Rik	0	0	0	10	12	1	12
2610528J11Rik	0	0	0	0	6	0	0
2700029M09Rik	263	340	174	209	139	302	214
2700049A03Rik	10	7	1	54	24	19	15
2700060E02Rik	608	432	241	380	435	654	261
2700062C07Rik	112	100	29	83	127	33	76
2700081O15Rik	15	35	6	9	5	11	2
2700094K13Rik	443	318	257	238	406	356	269
2700097O09Rik	59	37	43	50	41	88	36
2700099C18Rik	2	0	0	23	2	11	3
2810004N23Rik	169	124	89	136	103	174	130
2810006K23Rik	28	77	9	86	58	49	98
2810021J22Rik	27	24	1	10	14	8	3
2810025M15Rik	89	66	45	121	92	118	103
2810039B14Rik	19	79	21	11	94	52	17
2810047C21Rik1	0	0	0	0	3	0	0
2810403A07Rik	33	35	7	41	26	44	33
2810408A11Rik	12	1	0	0	10	5	0
2810417H13Rik	0	2	13	6	0	13	19
2810428I15Rik	611	345	393	517	637	509	267
2810459M11Rik	17	9	0	4	3	0	22
2810474O19Rik	38	47	22	57	38	33	40
2900011O08Rik	1259	600	481	705	874	625	652
2900026A02Rik	15	16	9	5	0	64	19
2900055J20Rik	40	9	16	32	1	28	43
2900092C05Rik	0	0	0	0	0	0	0
3000002C10Rik	31	0	13	5	12	21	13
3010026O09Rik	158	122	79	120	197	62	149
3100002H09Rik	0	0	0	0	0	0	0
3110001I22Rik	12	0	2	9	1	1	5
3110002H16Rik	133	186	76	39	197	200	128
3110009E18Rik	22	16	7	16	12	13	10
3110018I06Rik	0	0	0	0	0	0	0
3110021N24Rik	20	33	24	21	18	5	15
