	GSM4119264	GSM4119265	GSM4119266	GSM4119267	GSM4119268	GSM4119269	GSM4119270
1700029H14Rik	0	0	0	1	0	0	0
1700029I15Rik	27	9	28	21	31	43	40
1700029J07Rik	101	62	88	63	66	38	56
1700029P11Rik	0	0	0	0	0	0	0
1700030C10Rik	6	0	2	3	7	13	4
1700030J22Rik	15	4	15	9	4	17	6
1700030K09Rik	165	119	292	138	193	150	131
1700031F05Rik	0	0	0	0	0	0	0
1700031M16Rik	0	1	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0
1700034I23Rik	13	0	3	4	4	6	5
1700034J05Rik	8	0	1	7	2	2	0
1700034O15Rik	0	0	0	0	0	0	0
1700037C18Rik	30	36	67	51	47	60	44
1700037H04Rik	3683	2193	6410	5205	5026	8953	5825
1700039E15Rik	0	1	3	0	3	7	1
1700040F15Rik	0	0	0	0	0	0	0
1700040L02Rik	66	47	91	89	90	65	94
1700042G07Rik	0	0	0	0	0	0	0
1700047I17Rik2	276	227	432	331	288	370	322
1700048O20Rik	16	31	23	26	48	32	26
1700049E17Rik1	0	0	0	0	0	0	0
1700049E17Rik2	2	7	8	0	0	1	17
1700049G17Rik	311	187	443	288	238	245	375
1700049L16Rik	0	0	0	0	1	0	1
1700056E22Rik	34	45	58	35	43	93	62
1700057G04Rik	20	10	35	17	7	14	12
1700061G19Rik	4	4	6	1	1	4	0
1700063K16Rik	0	0	0	0	0	0	0
1700064H15Rik	3	1	3	0	0	1	0
1700065I16Rik	0	0	0	0	0	0	0
1700066B19Rik	45	7	6	24	15	14	15
1700066M21Rik	211	128	285	156	167	150	157
1700067K01Rik	4	2	35	31	10	13	11
1700067P10Rik	0	0	0	0	0	0	0
1700069L16Rik	1	0	0	0	0	0	0
1700071K01Rik	0	1	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0
1700084J12Rik	0	1	0	1	0	2	1
1700084M14Rik	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0
1700086L19Rik	0	0	1	0	0	0	0
1700088E04Rik	41	32	92	77	28	68	64
1700091H14Rik	0	0	0	0	0	0	0
1700092M07Rik	5	0	6	3	3	3	3
1700093K21Rik	23	0	1	8	1	2	6
1700102P08Rik	5	1	6	12	5	4	4
1700109H08Rik	75	35	88	85	34	46	74
1700110I07Rik	0	0	0	0	0	0	0
1700112E06Rik	172	61	162	101	129	97	140
1700113H08Rik	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0
1700123I01Rik	4	0	0	2	0	4	4
1700123K08Rik	0	0	2	0	0	2	1
1700123L14Rik	0	1	0	2	1	3	1
1700123O20Rik	453	388	840	536	489	406	443
1700125H20Rik	0	0	0	0	0	0	0
1700128F08Rik	20	26	44	34	12	9	20
1700129C05Rik	0	3	0	0	0	0	1
1810009A15Rik	212	389	299	202	204	186	247
1810009J06Rik	0	0	0	0	0	0	0
1810010H24Rik	42	4	47	18	21	33	37
1810011H11Rik	28	3	21	8	8	16	8
1810011O10Rik	4549	3136	5924	3222	3812	2154	3079
1810013L24Rik	1070	541	1752	921	900	835	938
1810018F18Rik	1	1	8	3	0	1	0
1810022K09Rik	1044	992	1138	808	736	430	956
1810024B03Rik	65	34	86	41	43	44	34
1810026J23Rik	1065	702	1723	948	1140	1060	794
1810030O07Rik	593	329	788	475	530	425	436
1810032O08Rik	139	141	182	115	83	86	83
1810037I17Rik	1229	1180	1581	1148	1016	776	1276
1810041L15Rik	1	3	6	5	0	0	6
1810043G02Rik	447	345	723	449	439	555	529
1810043H04Rik	240	280	367	375	259	296	313
1810046K07Rik	7	0	3	0	6	1	11
1810049J17Rik	8	15	24	16	23	78	16
1810055G02Rik	120	113	228	93	106	82	78
1810062G17Rik	84	12	44	21	15	37	63
1810065E05Rik	0	0	0	0	0	0	0
2010001K21Rik	0	0	0	0	0	0	0
2010003K11Rik	140	63	267	147	213	333	299
2010005H15Rik	0	3	2	4	0	0	1
2010010A06Rik	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	1	0	0	0
2010107E04Rik	4971	3868	6271	5846	4455	3864	6065
2010107G12Rik	5	1	6	3	9	6	8
2010107G23Rik	51	30	44	38	32	37	39
2010109A12Rik	19	9	4	13	9	19	12
2010109I03Rik	66	31	89	36	50	22	19
2010111I01Rik	241	236	460	378	256	209	312
2010300C02Rik	2	6	6	3	5	5	0
2010315B03Rik	248	120	282	212	236	163	330
2200002D01Rik	13	13	21	21	16	12	20
2200002J24Rik	0	0	0	0	0	0	0
2210010C04Rik	14	1	0	5	1	3	8
2210011C24Rik	0	0	4	0	1	2	0
2210013O21Rik	192	164	316	179	217	142	179
2210016F16Rik	713	428	1130	776	803	897	719
2210016L21Rik	214	183	260	230	188	232	252
2210017I01Rik	4	4	3	1	0	1	5
2210404O09Rik	62	26	40	41	18	51	57
2210407C18Rik	0	0	0	0	0	0	0
2210408I21Rik	155	85	129	51	103	59	69
2210409E12Rik	0	0	0	0	0	0	0
2210418O10Rik	309	308	406	295	249	182	294
2300002M23Rik	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0
2300009A05Rik	544	265	759	572	581	559	603
2310002L09Rik	0	0	1	0	1	0	96
2310003L06Rik	0	0	0	0	0	0	0
2310007B03Rik	0	0	0	0	0	0	0
2310009B15Rik	218	123	229	208	199	160	165
2310011J03Rik	244	231	519	349	450	432	282
2310022A10Rik	247	124	390	211	228	204	210
2310022B05Rik	406	157	396	336	350	417	320
2310030G06Rik	50	57	41	33	39	32	70
2310033P09Rik	142	227	281	162	140	144	130
2310034C09Rik	0	0	0	0	0	0	0
2310034G01Rik	1	1	4	0	6	0	8
2310035C23Rik	433	155	574	292	548	397	366
2310036O22Rik	753	827	1211	860	750	890	786
2310039H08Rik	353	232	545	410	486	606	547
2310046K23Rik	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0
2310057M21Rik	274	177	280	186	206	129	178
2310057N15Rik	9	5	2	4	3	1	6
2310061I04Rik	1748	678	2551	1935	1745	2001	1541
2310061N02Rik	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	1
2410002F23Rik	455	279	550	377	343	317	280
2410004B18Rik	278	259	404	285	293	239	278
2410004P03Rik	42	11	57	30	25	10	21
2410015M20Rik	2531	3567	4038	3184	2631	2120	3237
2410016O06Rik	64	51	99	49	71	59	56
2410024N13Rik	25	13	39	26	12	8	36
2410089E03Rik	326	96	417	261	293	274	239
2410131K14Rik	715	542	906	584	591	997	690
2410137M14Rik	0	0	0	0	0	0	0
2410141K09Rik	7	2	13	3	5	3	2
2510002D24Rik	406	350	470	368	300	292	329
2510009E07Rik	354	159	430	258	258	346	293
2510039O18Rik	642	302	984	524	602	723	532
2610001J05Rik	476	346	608	423	413	340	503
2610002M06Rik	281	196	309	215	319	192	211
2610005L07Rik	1045	587	1187	974	960	655	804
2610008E11Rik	505	337	683	408	480	250	380
2610020H08Rik	323	202	476	239	333	174	221
2610021A01Rik	162	134	371	190	266	117	179
2610024D14Rik	0	0	0	0	0	0	1
2610028H24Rik	0	0	0	0	0	0	3
2610042L04Rik	9	2	0	0	4	1	0
2610044O15Rik8	507	318	688	411	385	309	463
2610301B20Rik	256	167	249	168	221	161	187
2610305D13Rik	323	250	346	212	151	71	168
2610318N02Rik	0	1	0	0	2	1	0
2610507B11Rik	9039	5639	14943	9763	10485	8994	8743
2610524H06Rik	28	9	40	23	24	25	52
2610528A11Rik	4	4	8	6	10	6	10
2610528J11Rik	0	0	0	2	1	0	1
2700029M09Rik	424	330	581	403	381	281	417
2700049A03Rik	99	47	104	83	62	100	73
2700060E02Rik	1967	1622	2179	1678	1389	1050	1489
2700062C07Rik	261	152	423	215	218	146	230
2700081O15Rik	656	331	979	855	881	1058	730
2700094K13Rik	353	226	352	273	225	201	261
2700097O09Rik	669	297	952	624	585	295	387
2700099C18Rik	5	5	6	4	16	1	15
2810004N23Rik	248	197	428	231	321	244	260
2810006K23Rik	415	262	489	268	275	284	315
2810021J22Rik	164	136	278	121	131	122	135
2810025M15Rik	219	171	291	228	271	154	178
2810039B14Rik	131	35	144	118	102	104	83
2810047C21Rik1	11	21	7	0	3	0	16
2810403A07Rik	1415	712	2306	1373	1326	908	1070
2810408A11Rik	14	11	24	20	32	32	27
2810417H13Rik	39	30	24	30	28	14	37
2810428I15Rik	1353	1019	1991	1662	1494	1611	1820
2810459M11Rik	9	0	8	8	17	16	7
2810474O19Rik	1299	2624	6654	1426	1128	1391	2229
2900011O08Rik	1	0	0	0	0	1	0
2900026A02Rik	630	240	793	403	579	682	398
2900055J20Rik	0	1	0	0	0	0	0
2900092C05Rik	0	0	0	0	0	0	0
3000002C10Rik	40	40	47	57	42	25	25
3010026O09Rik	30	10	9	25	21	30	40
3100002H09Rik	0	0	0	0	0	0	0
3110001I22Rik	67	88	199	61	99	82	86
3110002H16Rik	899	409	1145	703	785	765	668
3110009E18Rik	37	48	84	43	32	28	28
3110018I06Rik	0	0	0	0	0	2	0
3110021N24Rik	24	8	26	29	30	7	10
3110035E14Rik	5	2	5	5	6	0	6
3110040N11Rik	267	216	283	240	206	156	220
3110043O21Rik	639	315	791	373	651	320	429
3110052M02Rik	52	36	91	64	70	56	64
3110053B16Rik	44	23	76	29	19	18	27
3110062M04Rik	250	74	296	201	221	256	130
3110067C02Rik	1	2	5	5	2	8	8
3110070M22Rik	35	47	42	19	27	24	10
3110079O15Rik	0	0	0	0	0	0	0
3110082I17Rik	43	37	67	37	40	67	61
3110082J24Rik	0	0	0	0	0	0	0
3300002I08Rik	3	5	15	3	11	3	7
3425401B19Rik	0	3	11	0	5	1	213
3632451O06Rik	14	4	19	7	24	11	19
3830403N18Rik	33	21	35	24	2	1	6
3830406C13Rik	759	534	891	702	607	449	682
3830408C21Rik	17	10	5	5	5	8	30
3830417A13Rik	3	1	4	0	0	3	4
4430402I18Rik	363	187	525	332	316	188	348
4833418N17Rik	0	0	0	0	0	0	0
4833420G17Rik	610	232	625	408	372	357	443
4833423E24Rik	0	0	0	1	0	0	0
4833427G06Rik	0	0	0	0	0	0	0
4833439L19Rik	4068	3277	5655	4344	3882	3705	4091
4921501E09Rik	0	0	0	0	0	0	0
4921504E06Rik	0	0	0	0	0	0	0
4921507P07Rik	114	48	81	54	51	46	56
4921508M14Rik	0	0	0	0	0	0	0
4921509C19Rik	0	3	2	0	0	0	0
4921511C20Rik	0	0	0	0	0	0	0
4921511H03Rik	0	0	0	0	0	0	0
4921511M17Rik	0	0	0	0	0	0	0
4921513D11Rik	4	0	2	0	5	3	10
4921513I03Rik	3	2	9	10	3	3	2
4921517D22Rik	0	0	0	0	0	0	0
4921524J17Rik	260	179	277	207	153	105	157
4921524L21Rik	0	0	0	0	0	0	0
4921528I07Rik	0	0	0	0	0	1	0
4921530L21Rik	0	0	0	0	0	0	0
4921536K21Rik	10	2	34	37	26	21	21
4921539E11Rik	0	0	0	0	1	0	3
4922502D21Rik	0	0	0	0	0	0	0
4930402F06Rik	0	0	0	0	1	0	0
4930402H24Rik	3768	1399	4397	2794	2936	3863	2917
4930402K13Rik	0	0	0	0	0	0	0
4930404H24Rik	0	0	0	0	4	0	0
4930404N11Rik	2	4	1	7	0	1	3
4930407I10Rik	0	0	0	0	0	0	0
4930408O17Rik	0	0	0	0	0	0	0
4930412O13Rik	0	0	0	0	0	0	0
4930415F15Rik	2	4	14	5	8	7	5
4930415H17Rik	0	0	0	0	0	0	0
4930415L06Rik	0	0	0	0	0	0	0
4930415O20Rik	22	17	27	19	18	15	14
4930421P07Rik	0	0	0	0	0	0	0
4930426L09Rik	1	0	2	0	7	2	1
4930427A07Rik	5	7	8	7	1	5	2
4930430A15Rik	3	0	6	2	6	1	10
4930430F08Rik	370	264	458	282	210	180	215
4930431P19Rik	43	26	43	40	62	42	42
4930432E11Rik	0	3	0	0	0	1	1
4930432K21Rik	19	1	10	10	3	35	16
4930432M17Rik	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0
4930435E12Rik	0	0	0	0	0	0	0
4930438A08Rik	0	0	0	0	0	0	0
4930442H23Rik	0	1	0	0	1	0	1
4930444G20Rik	1	3	0	0	0	0	0
4930444P10Rik	4	12	20	11	7	4	9
4930447A16Rik	0	0	0	0	0	0	0
4930447C04Rik	21	36	41	33	44	8	18
4930447F04Rik	0	0	0	0	0	0	0
4930448K20Rik	0	0	0	0	0	0	0
4930449A18Rik	0	0	0	0	0	0	0
4930449I24Rik	0	0	0	0	0	0	0
4930451G09Rik	37	12	36	39	32	40	10
4930451I11Rik	0	0	0	0	0	0	0
4930452B06Rik	12	8	19	5	10	3	5
4930453N24Rik	1368	954	1922	1217	1122	910	1301
4930455H04Rik	4	9	6	1	2	0	1
4930465K10Rik	9	3	6	5	10	10	4
4930467E23Rik	2	0	0	0	3	22	0
4930469B13Rik	0	0	0	0	0	2	5
4930470P17Rik	0	0	0	0	0	0	0
4930474N05Rik	0	5	4	4	8	3	0
4930480E11Rik	0	0	0	0	0	0	0
4930486L24Rik	27	51	49	29	22	15	12
4930488N24Rik	0	0	0	0	0	0	0
4930502E18Rik	0	0	0	0	0	0	1
4930503B20Rik	0	0	0	0	0	0	0
4930503E14Rik	0	0	0	0	0	0	0
4930503H13Rik	0	0	0	0	0	0	0
4930503L19Rik	135	123	229	141	138	98	131
4930504O13Rik	0	0	0	0	0	0	0
4930505A04Rik	1	1	0	2	2	0	0
4930507D05Rik	4	5	20	0	13	6	1
4930512M02Rik	11	2	8	9	2	1	3
4930513O06Rik	0	0	0	0	0	0	0
4930515G13Rik	2	0	3	0	0	1	1
4930515G16Rik	0	0	0	0	0	0	0
4930516K23Rik	0	0	0	0	0	0	0
4930518I15Rik	54	39	77	86	32	29	80
4930519F09Rik	0	0	1	0	0	1	0
4930519F16Rik	0	2	0	3	2	0	0
4930519G04Rik	3	0	9	0	1	0	2
4930519P11Rik	1	2	4	6	1	7	1
4930522H14Rik	1	0	0	0	0	0	0
4930522L14Rik	28	29	58	59	49	17	49
4930523C07Rik	652	291	1446	681	695	485	511
4930524B15Rik	0	0	0	0	0	0	0
4930524J08Rik	6	1	9	10	5	7	1
4930524N10Rik	0	0	0	0	0	0	0
4930526A20Rik	8	4	7	5	6	2	5
4930529C04Rik	4	4	5	3	5	0	5
4930533K18Rik	0	0	0	0	0	0	0
4930533O14Rik	486	174	617	399	480	640	425
4930535I16Rik	0	0	0	0	0	1	2
4930538K18Rik	6	0	2	8	1	4	10
4930539E08Rik	62	36	71	57	50	36	29
4930544D05Rik	0	0	0	0	0	0	0
4930544G11Rik	0	0	0	0	0	1	0
4930546C10Rik	0	0	0	0	0	0	0
4930548H24Rik	5	4	12	2	5	3	5
4930549C01Rik	0	0	0	0	0	0	0
4930550C14Rik	26	24	14	6	8	7	5
4930550L24Rik	0	0	0	0	0	0	0
4930553M12Rik	0	0	0	0	0	0	0
4930555G01Rik	0	0	0	0	0	0	0
4930555K19Rik	0	0	0	0	0	0	0
4930556J24Rik	0	0	3	0	1	2	0
4930557A04Rik	0	0	0	0	0	0	0
4930558C23Rik	0	0	0	0	0	0	0
4930558K02Rik	0	0	0	0	2	1	0
4930562C15Rik	12	3	10	4	6	6	5
4930563D23Rik	0	0	0	0	0	0	0
4930563I02Rik	0	4	8	0	1	3	0
4930563M21Rik	8	0	1	0	1	4	2
4930564D02Rik	0	0	0	0	0	0	0
4930567H17Rik	0	0	0	0	0	0	0
4930568D16Rik	0	0	0	0	0	0	0
4930572O03Rik	0	0	0	0	0	0	0
4930578C19Rik	148	60	166	142	156	166	137
4930578G10Rik	59	17	37	32	25	12	14
4930578I06Rik	0	0	1	0	0	0	0
4930579F01Rik	0	0	1	0	0	2	2
4930579G24Rik	68	50	92	27	33	79	53
4930583I09Rik	0	0	0	0	0	0	0
4930590J08Rik	24	0	13	5	7	17	19
4930595D18Rik	0	0	0	0	0	0	0
4930595M18Rik	0	0	0	0	0	0	0
4930596D02Rik	0	0	0	0	0	0	0
4931400O07Rik	0	0	0	0	0	0	0
4931406B18Rik	4	2	6	4	7	7	4
4931406C07Rik	6836	3725	10413	7222	7141	7072	7283
4931406P16Rik	3889	2582	6406	2765	3486	1609	2117
4931408C20Rik	0	0	0	0	0	0	0
4931409K22Rik	0	0	0	0	0	0	2
4931414P19Rik	121	56	207	118	129	111	117
4931417E11Rik	0	0	0	0	0	0	0
4931422A03Rik	18	5	20	39	18	27	16
4931423N10Rik	5	0	2	1	0	0	2
4931428F04Rik	45	53	73	74	82	48	80
4931428L18Rik	19	7	45	16	33	15	22
4931429L15Rik	4	0	2	1	2	2	1
4931431F19Rik	0	0	0	0	0	0	0
4931440F15Rik	0	3	8	5	1	0	7
4931440P22Rik	59	28	42	38	38	44	44
4932411E22Rik	2	0	10	0	0	5	0
4932411N23Rik	3	9	1	10	0	1	6
4932414N04Rik	11	10	12	9	20	11	18
4932415D10Rik	0	0	1	0	0	0	0
4932416K20Rik	1	2	3	0	0	1	0
4932429P05Rik	0	0	0	0	0	0	0
4932431P20Rik	0	0	2	0	0	0	0
4932438A13Rik	1923	608	2239	1035	1215	1350	1149
4932438H23Rik	8	1	3	7	1	4	5
4932443I19Rik	21	0	25	4	12	5	23
4933400A11Rik	0	0	0	0	0	0	0
4933401B06Rik	0	0	0	0	0	0	0
4933402D24Rik	0	0	3	3	5	0	0
4933402E13Rik	0	0	0	0	0	0	0
4933402J07Rik	0	0	0	0	0	0	0
4933402N03Rik	0	0	0	0	0	1	0
4933402N22Rik	0	0	0	0	0	0	0
4933402P03Rik	0	0	0	0	0	0	2
4933403O08Rik	0	0	0	0	0	0	0
4933405L10Rik	1	0	2	2	2	11	3
4933405O20Rik	0	0	0	0	0	0	0
4933406J08Rik	0	0	0	0	0	0	0
4933406M09Rik	4	0	0	0	0	2	4
4933406P04Rik	43	39	45	66	38	47	30
4933407L21Rik	3	1	3	3	6	2	1
4933408B17Rik	6	1	15	10	10	9	3
4933408J17Rik	5	0	0	0	0	0	1
4933409G03Rik	0	0	0	0	0	0	0
4933411G06Rik	0	0	0	0	0	0	0
4933411K16Rik	3	7	4	2	2	7	6
4933412A08Rik	8	14	26	39	4	12	32
4933412E24Rik	0	0	0	0	0	0	0
4933413G19Rik	2	2	7	1	0	1	6
4933414I15Rik	0	0	0	0	0	0	0
4933415A04Rik	12	5	2	6	5	1	4
4933415F23Rik	0	0	0	0	0	0	0
4933416C03Rik	0	0	0	0	0	0	0
4933416E14Rik	0	0	0	0	0	0	0
4933416I08Rik	0	0	0	0	0	0	0
4933417A18Rik	4	5	7	4	1	2	5
4933417G07Rik	0	0	0	0	0	0	0
4933421I07Rik	0	0	2	0	0	0	0
4933424G06Rik	6	1	1	4	2	4	2
4933425L06Rik	0	0	0	0	0	0	0
4933427D14Rik	137	65	148	114	121	115	85
4933427G17Rik	0	1	3	2	4	3	0
4933427G23Rik	4	4	7	0	1	4	12
4933427I04Rik	9	2	7	6	2	5	9
4933428G20Rik	4	4	14	20	9	12	6
4933428M09Rik	0	0	0	0	0	0	0
4933430I17Rik	3	1	1	2	4	2	3
4933434E20Rik	814	583	1310	752	835	653	718
4933436I01Rik	0	0	0	0	0	0	0
5031410I06Rik	0	0	0	0	0	0	0
5031414D18Rik	7	1	7	3	15	4	5
5031439G07Rik	1418	790	2099	1481	1481	1698	1293
5033404E19Rik	0	0	0	0	0	0	0
5033423K11Rik	0	0	0	0	0	0	0
5330417C22Rik	0	3	2	0	1	3	1
5330417H12Rik	0	0	0	0	0	0	0
5330438D12Rik	79	41	80	76	75	31	46
5430401F13Rik	0	0	0	0	0	0	0
5430402E10Rik	0	0	0	0	0	0	0
5430403G16Rik	53	30	41	42	26	35	42
5430416O09Rik	307	250	510	328	322	251	279
5430419D17Rik	0	0	0	0	0	0	0
5430427O19Rik	19	5	14	12	12	12	3
5530400C23Rik	0	0	0	0	0	0	0
5530401A14Rik	0	1	1	2	0	0	0
5730409E04Rik	242	202	342	165	261	252	185
5730416F02Rik	0	0	0	0	0	0	0
5730455P16Rik	771	625	846	674	672	592	681
5730480H06Rik	230	123	294	172	152	129	184
5730507C01Rik	14	2	6	4	6	3	2
5730508B09Rik	324	195	493	396	342	256	492
5730522E02Rik	2	0	0	0	0	1	0
5730559C18Rik	2	0	0	0	0	0	0
5730596B20Rik	59	8	22	61	53	34	63
5830411N06Rik	0	1	0	0	0	0	1
5830417I10Rik	406	189	797	324	414	499	329
5830454E08Rik	33	24	33	34	28	27	30
5830473C10Rik	0	0	4	0	1	0	0
5930422O12Rik	1	1	4	1	2	0	1
6030419C18Rik	39	39	52	53	33	92	49
6030445D17Rik	6	12	7	12	12	7	13
6030452D12Rik	0	0	0	0	0	0	0
6030458C11Rik	463	203	538	348	358	300	328
6030468B19Rik	3	2	7	3	0	2	1
6030469F06Rik	0	3	0	1	0	0	0
6030498E09Rik	0	0	0	0	0	0	0
6330403A02Rik	14	6	16	12	12	12	10
6330408A02Rik	184	155	204	166	121	164	188
6330409D20Rik	18	13	35	11	20	3	21
6330416G13Rik	745	439	967	522	464	822	619
6330549D23Rik	23	5	28	10	13	29	21
6430531B16Rik	4	2	0	0	5	2	3
6430548M08Rik	73	72	218	94	110	129	66
6430550D23Rik	79	69	108	87	71	86	94
