	GSM2670763	GSM2670764	GSM2670765	GSM2670766	GSM2670767	GSM2670768	GSM2670769	GSM2670770	GSM2670771	GSM2670772	GSM2670773	GSM2670774	GSM2670775	GSM2670776	GSM2670777	GSM2670778	GSM2670779	GSM2670780	GSM2670781
0610007P14Rik	351	326	319	492	127	409	327	284	299	347	333	174	179	443	60	372	167	80	133
0610009B22Rik	41	64	41	84	24	105	115	24	29	217	22	66	50	0	0	10	8	0	4
0610009L18Rik	2	5	10	0	3	17	0	6	0	41	24	24	11	50	22	7	13	18	5
0610009O20Rik	175	82	91	160	89	336	190	175	97	267	88	102	35	5	40	118	41	97	147
0610010F05Rik	221	181	168	236	68	310	182	97	101	230	71	40	75	1	0	10	6	8	23
0610010K14Rik	308	216	157	206	104	502	76	78	149	108	83	173	34	227	45	171	168	71	166
0610011F06Rik	98	78	17	71	42	132	69	48	90	394	9	3	75	116	0	62	75	49	106
0610012G03Rik	276	192	210	255	207	862	407	128	195	149	230	228	87	9	253	294	266	243	244
0610030E20Rik	928	584	532	956	398	1440	658	324	298	416	498	494	476	204	294	578	778	500	426
0610037L13Rik	274	274	173	347	122	562	250	93	445	313	449	393	398	155	87	80	107	29	57
0610040J01Rik	102	65	109	86	29	155	38	163	180	451	0	6	5	1	2	15	23	0	11
1110001J03Rik	41	74	29	63	16	27	15	20	75	55	20	24	46	65	0	1	9	1	2
1110002E22Rik	0	0	11	0	3	19	0	1	1	12	1	0	0	0	0	3	10	0	4
1110004E09Rik	65	61	32	74	28	97	49	24	0	81	18	7	15	0	5	51	34	8	23
1110004F10Rik	949	997	814	1274	500	2297	698	217	563	1101	488	394	492	460	41	308	350	202	287
1110008F13Rik	440	535	400	711	164	643	166	353	804	272	337	92	283	62	85	161	208	175	190
1110008L16Rik	162	159	125	198	97	292	189	242	74	84	92	18	92	0	27	49	15	34	31
1110008P14Rik	101	50	67	81	66	123	47	154	30	163	25	30	40	56	404	81	110	73	79
1110012L19Rik	21	37	38	40	6	59	12	0	2	25	0	14	1	0	0	12	6	0	2
1110017D15Rik	1	0	0	0	3	7	4	0	0	3	0	36	1	0	0	0	0	2	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	218	152	149	162	68	405	264	84	219	421	30	105	136	6	52	151	110	104	112
1110032F04Rik	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
1110034G24Rik	83	56	43	55	23	95	56	2	4	131	0	5	18	1	2	32	78	16	9
1110037F02Rik	1013	546	412	719	328	1345	758	328	596	590	388	315	658	388	214	268	281	177	303
1110038F14Rik	62	131	112	141	49	126	60	51	48	99	29	20	55	1	2	44	53	31	11
1110051M20Rik	90	156	99	149	93	279	172	10	72	261	115	86	57	41	2	31	27	3	130
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	171	157	168	206	70	273	79	34	92	179	138	16	101	0	2	26	15	17	48
1110059G10Rik	122	204	122	219	29	103	38	61	82	158	26	49	75	1	5	51	34	44	35
1110065P20Rik	10	13	12	20	1	6	25	1	47	47	0	0	0	27	0	3	3	19	4
1190002N15Rik	189	143	77	196	72	287	166	46	226	224	33	1	75	0	16	40	48	2	7
1190003K10Rik	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	1	0	0	2	0	1	1	0	0	4	0	0	0	0	0	0	1	0	0
1190007I07Rik	13	5	8	11	3	33	11	20	64	43	15	11	24	52	8	12	14	14	11
1300017J02Rik	35	20	14	11	23	110	25	58	42	11	18	1	24	56	14	33	8	9	24
1500009C09Rik	1	0	3	2	5	8	0	0	0	0	0	2	0	0	1	9	2	0	0
