	GSM3671511	GSM3671512	GSM3671513	GSM3671514	GSM3671515	GSM3671516	GSM3671517	GSM3671518	GSM3671519	GSM3671520	GSM3671521	GSM4908643
A1BG	33542	13368	9056	9602	7980	7714	280	299	394	446	421	419
A1BG-AS1	889	593	277	327	326	365	197	237	317	239	293	457
A1CF	10815	5671	495	320	726	1718	3569	2314	4333	270	515	3682
A2M	717	535	327	448	375	390	19	21	16	56	16	62
A2M-AS1	323	179	174	255	144	142	58	85	89	125	256	180
A2ML1	371	204	153	167	159	181	1	6	10	3	14	11
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	13	10	8	10	21	9	0	1	0	0	0	1
A2MP1	124	93	49	58	52	76	1	1	0	1	1	4
A3GALT2	0	0	0	0	0	0	0	1	0	0	1	2
A4GALT	465	179	138	216	211	227	62	117	82	60	71	113
A4GNT	4	0	1	1	0	4	0	2	1	0	2	1
AAAS	1846	745	1136	690	617	1159	503	670	937	738	1240	996
AACS	12551	5329	3297	4122	3963	3816	4684	3857	6877	4772	6471	5728
AACSP1	6	3	0	1	2	2	0	4	2	0	0	5
AADAC	4	0	4	1	0	0	0	0	2	0	2	0
AADACL2	5	1	2	2	0	1	0	1	0	0	0	0
AADACL2-AS1	32	10	9	7	3	11	0	0	0	1	0	1
AADACL3	2	3	0	0	2	0	0	1	0	1	0	0
AADACL4	17	4	2	5	1	3	2	0	4	6	16	1
AADACP1	13	7	10	3	5	11	0	0	2	2	3	1
AADAT	325	191	170	148	170	196	71	175	276	132	424	317
AAGAB	3951	2590	1772	1562	1545	2275	1219	993	1584	1256	1586	1572
AAK1	13725	6239	5252	4657	4893	4773	1427	1552	2524	1616	2949	2974
AAMDC	3373	1727	2299	1569	1484	2757	86	98	90	155	109	125
AAMP	3468	1477	1389	1199	1052	1475	1773	1834	2636	2371	2874	3017
AANAT	210	68	67	50	73	89	1	4	2	5	6	8
AAR2	1314	663	750	621	571	797	808	824	919	995	1195	1107
AARD	3006	2027	1745	1608	1595	1688	65	136	129	137	194	226
AARS1	12853	5346	5259	5183	4988	6159	7247	6806	6907	9936	7299	9825
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	1390	790	540	683	672	731	429	519	370	494	488	672
AARSD1	3507	1609	2126	1735	1845	2101	310	435	745	492	765	737
AARSD1P1	0	0	0	0	0	0	4	14	1	0	3	16
AASDH	2483	1439	1238	1335	1409	1585	189	277	259	235	311	378
AASDHPPT	5085	3329	3335	2847	2970	2825	2948	2298	3997	3516	4854	3250
AASS	3368	1603	1786	1095	1072	2539	66	415	296	185	388	422
AATBC	16	0	7	5	7	1	5	17	11	11	11	23
AATF	2125	1034	1681	886	801	1522	1031	806	1319	1289	1215	1294
AATK	4544	2664	1944	2805	2536	2030	580	668	795	817	1194	1329
ABALON	102	1299	1401	570	774	601	6	0	0	0	10	0
ABAT	1445	613	808	889	798	683	496	638	1637	1259	2697	1890
ABCA1	1172	396	426	180	158	480	509	1046	1163	508	878	940
ABCA10	83	61	36	37	22	25	32	48	98	19	78	105
ABCA11P	287	168	116	130	131	121	121	170	223	220	301	334
ABCA12	43	14	75	12	10	16	13	26	3	20	8	5
ABCA13	984	537	400	366	482	465	6	16	10	11	11	34
ABCA17P	185	138	57	129	129	66	7	18	11	10	21	24
ABCA2	867	269	190	238	281	263	1483	2075	1353	1987	2135	2409
ABCA3	1546	609	362	482	415	670	4517	3165	5193	5087	5752	6904
ABCA3P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	20	11	6	4	4	11	11	30	15	37	10	21
ABCA5	7314	2959	2114	2133	2040	2008	736	1750	2298	791	1829	2619
ABCA6	483	237	159	162	212	233	10	25	35	19	19	33
ABCA7	2762	690	893	803	622	1271	634	1216	2246	1246	3168	2126
ABCA8	1627	822	630	607	749	626	1	10	3	4	9	8
ABCA9	718	350	245	268	282	272	6	15	45	8	32	73
ABCA9-AS1	56	26	25	12	21	37	1	3	1	0	2	0
ABCB1	51	10	80	18	6	54	41	26	327	65	280	54
ABCB10	788	344	125	181	135	211	1548	1512	2557	1484	1874	2743
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	1	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	2	0
ABCB11	883	432	354	425	398	477	5	7	7	13	11	13
ABCB4	37	15	33	21	18	12	11	20	31	21	25	30
ABCB5	687	360	275	266	317	314	1	1	3	1	1	0
ABCB6	1747	670	507	637	564	487	1745	1249	1404	1318	1158	1498
ABCB7	6292	2675	2284	2317	2532	2370	581	570	630	642	563	764
ABCB8	1274	588	829	477	524	845	314	402	549	476	726	811
ABCB9	1822	825	623	848	815	776	199	194	207	224	326	288
ABCC1	3598	1837	819	1142	1265	1152	3314	3556	2967	3328	3732	6331
ABCC10	1832	944	590	616	592	633	720	832	1302	950	1468	1913
ABCC11	229	120	85	85	105	90	17	15	22	25	24	24
ABCC12	7	0	7	0	4	9	0	0	1	0	4	3
ABCC13	169	96	69	104	98	88	0	7	1	2	1	5
ABCC2	503	272	154	203	186	183	16	40	50	7	26	45
ABCC3	893	520	138	124	147	222	141	86	179	8	35	34
ABCC4	556	218	300	185	156	286	344	364	257	534	515	1186
ABCC5	1715	758	788	726	595	764	1320	2120	2816	2209	4134	4084
ABCC5-AS1	21	5	4	14	4	17	0	0	1	0	0	1
ABCC6	2144	1018	599	566	669	707	229	113	321	106	166	285
ABCC6P1	252	108	73	26	27	79	93	48	80	30	23	62
ABCC6P2	129	20	69	29	27	32	16	23	32	16	6	14
ABCC8	16488	6438	3631	3272	3368	3922	9092	12760	17650	8235	14417	22108
ABCC9	3825	1526	1666	1559	1546	1970	77	201	200	364	259	200
ABCD1	377	181	120	164	94	145	506	371	461	679	743	756
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0
