	GSM1399553	GSM1399554	GSM1399555	GSM1399556	GSM1399557	GSM1399558	GSM1399559	GSM1399560	GSM1399561	GSM1399562	GSM1399563	GSM1399564
0610005C13Rik	10	8	14	22	7	10	6	12	7	8	10	15
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	2	0
0610009B22Rik	129	198	170	302	175	128	434	291	128	150	148	197
0610009E02Rik	31	62	62	86	39	19	288	47	25	17	22	27
0610009L18Rik	39	50	52	88	75	51	172	83	35	93	86	66
0610010K14Rik	147	172	190	278	206	130	620	369	200	277	426	271
0610012D04Rik	0	0	0	0	0	0	0	1	0	0	0	0
0610012G03Rik	166	246	176	328	171	128	594	293	140	244	246	218
0610025J13Rik	0	0	0	4	1	1	0	0	0	2	0	0
0610030E20Rik	300	382	264	546	269	152	340	479	220	367	472	387
0610031O16Rik	1	0	0	0	0	0	0	0	1	0	0	0
0610033M10Rik	3	0	4	6	3	5	16	8	4	23	20	8
0610038B21Rik	4	4	8	2	1	3	6	2	5	4	2	4
0610039K10Rik	5	10	2	8	0	2	4	8	0	6	8	2
0610040B10Rik	8	38	36	36	14	25	92	28	30	39	28	17
0610040F04Rik	1	2	0	4	1	2	4	1	0	1	0	1
0610040J01Rik	593	808	612	2770	1441	920	1396	1092	481	481	574	637
0610043K17Rik	3	4	4	18	2	1	0	0	0	5	6	6
0710001A04Rik	1	2	0	0	0	0	2	0	0	0	0	1
1010001B22Rik	8	10	8	8	15	10	18	4	1	3	8	1
1100001I12Rik	0	0	0	0	0	0	0	1	0	0	2	3
1110002E22Rik	11	28	2	10	14	14	26	33	11	16	28	3
1110002J07Rik	6	0	2	4	0	2	4	11	5	15	30	6
1110002L01Rik	76	148	62	304	181	89	148	230	122	139	214	164
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	3
1110004F10Rik	646	814	698	1762	1110	666	2664	1955	966	1216	1442	1364
1110006O24Rik	5	18	4	22	11	8	70	51	12	26	32	27
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110013H19Rik	6	8	0	18	7	5	18	4	5	9	2	9
1110015O18Rik	0	0	0	0	0	0	0	1	0	3	2	3
1110017D15Rik	32	16	4	32	19	18	50	22	21	17	18	23
1110018N20Rik	102	134	94	372	203	130	150	96	41	31	88	64
1110019B22Rik	2	8	4	0	0	5	6	2	4	3	6	4
