	GSM4476798	GSM4476799	GSM4476800	GSM4476801	GSM4476802	GSM4476803
A1BG	184	171	186	157	232	160
A1BG-AS1	110	134	117	78	86	88
A1CF	30	28	41	14	17	29
A2M	166	193	237	133	137	139
A2M-AS1	29	42	46	34	47	50
A2ML1	6	6	16	15	15	8
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	2	0	0	0	0	0
A2MP1	1	0	0	0	0	0
A3GALT2	0	0	0	0	1	1
A4GALT	51	31	52	34	26	31
A4GNT	0	1	0	2	1	1
AAAS	1483	1794	1821	1352	1488	1179
AACS	2071	2442	2454	2041	2040	1863
AACSP1	0	3	2	5	3	3
AADAC	4	11	4	2	2	5
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	1
AADACL4	0	0	0	3	1	0
AADACP1	0	1	2	2	0	4
AADAT	529	672	716	499	492	504
AAGAB	1208	1435	1415	982	1126	984
AAK1	345	513	454	361	338	360
AAMDC	401	499	408	342	370	304
AAMP	2889	3190	3135	2800	2999	2219
AANAT	6	10	5	5	8	6
AAR2	1216	1382	1310	1178	1168	978
AARD	63	65	60	88	54	50
AARS1	2530	2948	2905	2048	2312	1994
AARS1P1	0	0	0	0	0	0
AARS2	664	811	797	662	690	594
AARSD1	602	714	650	535	463	511
AARSD1P1	15	7	5	13	12	11
AASDH	514	597	590	492	532	491
AASDHPPT	1285	1497	1457	1370	1400	1382
AASS	1504	1813	2003	1766	1501	1363
AATBC	4	6	5	3	2	6
AATF	1219	1520	1605	1156	1207	1061
AATK	354	392	391	406	381	308
ABALON	124	93	111	92	69	65
ABAT	1518	1907	1966	1780	1764	1568
ABCA1	1031	1310	1263	1226	1020	974
ABCA10	5	20	8	9	13	10
ABCA11P	82	59	111	69	103	102
ABCA12	76	65	80	30	40	28
ABCA13	21	20	23	17	21	12
ABCA17P	18	11	6	13	14	11
ABCA2	2165	2441	2331	2141	2067	1753
ABCA3	2393	3160	2836	2236	2237	2111
ABCA3P1	1	1	0	0	0	0
ABCA4	10	18	13	12	16	8
ABCA5	309	431	472	343	325	311
ABCA6	8	14	9	10	11	11
ABCA7	915	1011	984	980	875	711
ABCA8	209	271	276	278	259	167
ABCA9	16	16	17	14	16	11
ABCA9-AS1	15	27	18	16	18	11
ABCB1	4	8	3	3	1	3
ABCB10	399	517	513	470	461	487
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	0	1	1	2	1	0
ABCB4	79	98	84	76	76	62
ABCB5	0	1	2	0	1	1
ABCB6	763	804	764	681	581	541
ABCB7	1244	1545	1543	1204	1215	1150
ABCB8	345	384	355	321	310	274
ABCB9	207	273	242	232	212	200
ABCC1	1889	2348	2187	1812	1631	1480
ABCC10	531	625	629	559	518	430
ABCC11	39	36	49	27	19	26
ABCC12	1	5	5	1	2	0
ABCC13	0	5	3	1	2	0
ABCC2	83	59	96	51	44	37
ABCC3	203	282	255	234	232	232
ABCC4	745	1023	1077	902	921	825
ABCC5	2572	2944	2925	2591	2545	2203
ABCC5-AS1	0	1	1	0	0	0
ABCC6	261	346	316	291	324	283
ABCC6P1	270	291	337	326	312	269
ABCC6P2	39	60	58	63	54	47
ABCC8	15	22	24	21	21	23
ABCC9	194	224	238	185	164	176
ABCD1	287	371	346	291	309	261
ABCD1P2	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	1	0	0	0
ABCD2	8	11	8	8	2	9
ABCD3	1224	1585	1664	1255	1327	1270
ABCD4	1659	1784	1894	1613	1607	1380
ABCE1	1584	1953	1908	1583	1751	1622
ABCF1	1964	2513	2369	1728	1869	1596
ABCF2	670	914	810	621	718	522
ABCF2-H2BK1	581	735	748	521	370	466
ABCF2P1	0	0	1	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	1195	1364	1390	1054	1087	955
ABCG1	90	114	111	80	92	68
ABCG2	40	44	14	13	26	16
ABCG4	13	15	11	7	8	7
ABCG5	1	2	4	2	1	3
ABCG8	5	16	9	2	3	4
ABHD1	0	11	6	7	3	1
ABHD10	771	962	963	841	856	769
ABHD11	577	588	475	501	551	428
ABHD11-AS1	11	9	7	8	2	8
ABHD12	1618	1922	1746	1776	1632	1520
ABHD12B	8	8	6	11	2	6
ABHD13	392	531	541	487	479	465
ABHD14A	297	341	313	295	379	304
ABHD14A-ACY1	54	32	27	81	59	50
ABHD14B	900	976	851	830	832	765
ABHD15	194	197	189	182	164	167
ABHD15-AS1	0	0	0	0	0	0
ABHD16A	1249	1351	1344	1112	1286	1085
ABHD16B	0	0	0	0	0	0
ABHD17A	1936	1981	2050	1906	2158	1551
ABHD17AP1	2	5	1	0	1	0
ABHD17AP3	1	1	0	0	0	0
ABHD17AP4	1	1	0	0	1	1
ABHD17AP5	1	0	0	0	0	0
ABHD17AP6	0	0	0	0	1	0
