	GSM3711931	GSM3711932	GSM3711933	GSM3711934	GSM3711935	GSM3711936	GSM3711937	GSM3711938
0610007P14Rik	817	1066	846	740	915	989	754	879
0610009B22Rik	1316	1484	1071	1040	1228	1244	1075	1154
0610009L18Rik	259	243	212	286	184	237	214	165
0610009O20Rik	2232	2266	2059	2028	1952	2312	2402	1962
0610010F05Rik	2433	2951	2385	2262	2197	2452	1910	2289
0610010K14Rik	812	844	863	935	833	999	1010	930
0610011F06Rik	902	705	900	947	875	860	961	894
0610012G03Rik	1559	1785	1653	1792	1725	2069	1584	1847
0610030E20Rik	2124	1544	1938	2016	1850	1940	2618	1834
0610037L13Rik	2034	2343	2072	2032	2166	2217	2114	2309
0610040J01Rik	7	10	67	15	9	175	12	29
1110001J03Rik	717	809	676	906	802	1107	755	702
1110002E22Rik	0	1	7	8	0	1	4	1
1110004E09Rik	922	1263	872	892	897	1340	880	943
1110004F10Rik	3515	4045	3590	3711	3514	3634	3483	3610
1110008F13Rik	4330	5455	4204	4344	5118	5457	4603	5141
1110008L16Rik	819	888	619	747	747	843	900	643
1110008P14Rik	1900	3712	2875	2627	3646	4192	2114	3051
1110012L19Rik	883	993	867	932	938	969	810	812
1110017D15Rik	2	1	34	2	5	330	8	6
1110025L11Rik	0	0	0	0	0	0	0	0
1110032A03Rik	5833	4936	5020	5219	5779	3848	5455	5244
1110032F04Rik	1	1	4	5	1	13	2	0
1110034G24Rik	302	331	250	311	344	349	337	387
1110037F02Rik	4159	3190	3125	3304	3023	2902	3760	2794
1110038F14Rik	989	1074	1191	1123	1183	1136	1068	1216
1110051M20Rik	573	502	643	650	638	477	538	675
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	1005	1097	1118	1263	1162	1086	1121	1071
1110059G10Rik	716	726	783	819	845	800	661	747
1110065P20Rik	690	937	875	1000	937	1160	632	742
1190002N15Rik	4156	3818	1939	2048	2535	1676	2770	1888
1190003K10Rik	0	0	0	0	0	0	0	0
1190005I06Rik	999	1026	695	924	703	1188	939	906
1190007I07Rik	312	304	254	308	269	303	369	276
1300017J02Rik	11	9	9	9	16	25	8	3
1500009C09Rik	2	1	1	1	1	0	0	1
1500009L16Rik	25	22	67	57	43	42	24	48
1500011B03Rik	550	528	786	728	807	698	547	729
1500011K16Rik	2122	2998	2041	1891	2347	2508	1920	2207
1500015O10Rik	41	49	79	53	60	167	7	29
1520401A03Rik	9	8	9	4	2	10	6	5
1600002H07Rik	247	262	285	259	242	317	375	287
1600002K03Rik	510	669	516	462	546	521	455	562
1600012H06Rik	2314	2558	2173	2125	2573	2125	2168	2417
1600014C10Rik	12239	9806	8318	8939	9757	7556	11604	7993
1600014C23Rik	0	0	3	0	3	3	0	0
1600015I10Rik	1	2	22	5	5	4	7	10
1600029O15Rik	2	11	14	11	30	9	15	7
1700001C02Rik	0	0	42	0	0	175	0	1
1700001C19Rik	3	1	8	6	5	159	4	3
1700001F09Rik	0	0	0	0	0	57	0	0
1700001J03Rik	8	31	9	11	14	45	17	27
1700001J11Rik	7	4	6	8	6	197	9	9
1700001K19Rik	12	3	12	16	15	199	18	6
1700001L19Rik	0	0	7	3	1	71	0	0
1700001O22Rik	17	22	23	10	17	212	9	17
1700001P01Rik	1	0	0	0	4	26	1	1
1700003E16Rik	15	24	35	7	37	412	19	22
1700003F12Rik	1	3	9	12	9	147	6	5
1700003H04Rik	0	0	0	0	0	38	1	0
1700003N22Rik	0	0	0	0	1	10	0	0
1700006A11Rik	0	0	0	0	0	13	0	0
1700006E09Rik	0	1	1	1	2	47	3	0
1700007B14Rik	9	0	22	41	0	48	0	2
1700007E05Rik	2	1	0	5	0	11	2	1
1700007G11Rik	2	2	14	3	1	82	1	0
1700007K09Rik	1	0	0	0	1	43	1	1
1700007K13Rik	6	4	44	5	1	120	1	7
1700008O03Rik	3	5	7	6	7	19	3	4
1700008P02Rik	0	0	0	0	0	49	0	0
1700009N14Rik	15	4	3	3	15	394	2	4
1700010B08Rik	0	0	1	1	0	58	0	0
1700010I14Rik	49	53	52	30	36	263	28	51
1700010N08Rik	0	0	0	0	0	11	1	0
1700011E24Rik	0	0	1	0	0	95	2	0
1700011H14Rik	0	1	223	5	1	562	2	4
1700011I03Rik	0	0	3	0	0	99	0	0
1700011L22Rik	2	0	1	1	0	100	1	1
1700011M02Rik	0	0	0	0	0	4	0	0
1700012A03Rik	0	0	0	0	0	172	0	3
1700012B07Rik	0	1	1	0	0	65	0	2
1700012B09Rik	0	0	27	0	0	132	0	0
1700012L04Rik	3	2	0	0	0	10	0	2
1700012P22Rik	7	4	20	7	7	67	13	7
1700013D24Rik	1	0	0	2	0	50	2	5
1700013F07Rik	1	0	14	0	0	153	1	1
1700013G24Rik	0	0	0	0	0	276	0	0
1700013H16Rik	0	0	0	0	0	21	0	0
1700014D04Rik	0	1	1	1	0	30	0	0
1700015E13Rik	1	1	1	1	3	109	1	1
1700015F17Rik	0	0	2	2	0	47	0	1
1700015G11Rik	0	0	0	1	0	79	0	0
1700016C15Rik	0	1	0	0	0	29	0	0
1700016D06Rik	6	3	8	2	5	35	6	3
1700016H13Rik	4	3	3	6	5	150	2	1
1700016K19Rik	0	0	42	0	0	210	1	1
1700017B05Rik	1122	1508	1472	1261	1365	1876	1202	1634
1700017D01Rik	0	1	1	0	0	75	1	2
1700017N19Rik	0	0	0	0	0	45	0	0
1700018B08Rik	1	0	0	3	0	61	0	0
1700018C11Rik	0	0	0	0	0	74	0	0
1700018F24Rik	0	0	0	0	0	21	0	0
1700018M17Rik	1	2	3	3	5	2	2	4
1700019A02Rik	0	0	2	0	0	60	0	0
1700019B03Rik	2	0	1	3	2	20	0	0
1700019D03Rik	103	115	209	181	254	343	120	165
1700019M22Rik	0	0	1	0	0	79	0	0
1700019N19Rik	0	0	2	0	0	140	1	3
1700019O17Rik	0	0	1	0	0	55	0	0
1700020A23Rik	0	0	3	0	0	43	2	0
1700020D05Rik	10	8	11	5	3	127	9	11
1700020L24Rik	1263	1421	1154	973	938	1329	1184	1380
1700020N01Rik	1	4	0	1	2	26	0	3
1700020N15Rik	0	0	0	0	0	21	0	0
1700021F05Rik	1163	1485	1249	1442	1451	1904	1086	1360
1700021F07Rik	0	0	0	0	0	42	0	0
1700022A21Rik	0	0	0	0	0	115	0	0
1700022I11Rik	2	3	5	7	6	9	1	3
1700023F06Rik	9	13	16	1	24	81	9	16
1700024B05Rik	0	0	0	0	0	3	0	0
1700024G13Rik	0	0	5	0	0	43	0	0
1700024J04Rik	9	6	17	11	9	17	14	7
1700024P04Rik	0	0	0	0	0	60	0	0
1700024P16Rik	7	4	124	144	24	112	21	19
1700025B11Rik	6	2	0	2	1	20	1	0
1700025C18Rik	1	4	1	0	0	3	2	0
1700025F22Rik	0	0	0	0	0	31	0	0
1700025G04Rik	535	593	614	543	734	567	528	619
1700028B04Rik	0	1	0	3	0	2	2	0
1700028J19Rik	12	14	20	15	9	160	15	11
1700028K03Rik	3	6	10	3	4	4	6	7
1700028P14Rik	1	0	11	1	0	107	0	0
1700029F12Rik	0	0	2	0	0	209	1	2
1700029H14Rik	1	0	1	1	0	311	0	3
1700029I15Rik	218	317	269	162	264	257	245	319
1700029J07Rik	209	95	105	107	96	149	230	204
1700029P11Rik	0	0	0	0	0	44	0	0
1700030C10Rik	8	9	8	12	10	19	10	2
1700030J22Rik	24	43	30	21	41	201	23	24
1700030K09Rik	604	576	490	550	528	594	705	626
1700031F05Rik	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	2	0	135	0	0
1700034E13Rik	1	0	0	0	0	125	0	1
1700034I23Rik	3	2	3	10	0	243	1	2
1700034J05Rik	0	1	2	1	0	106	1	1
1700034O15Rik	0	0	0	0	0	147	0	0
1700037C18Rik	223	288	242	224	205	376	201	280
1700037H04Rik	8145	12441	4474	5261	6830	10610	9565	7248
1700039E15Rik	0	1	1	1	1	138	1	1
1700040F15Rik	0	0	0	0	0	0	0	0
1700040L02Rik	24	22	45	11	25	140	4	22
1700042G07Rik	0	0	0	0	0	103	0	0
1700047I17Rik2	853	1015	1123	1082	983	705	723	712
1700048O20Rik	50	50	41	42	36	56	36	54
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	1	0	0
1700049G17Rik	412	406	351	363	409	395	463	404
1700049L16Rik	0	0	1	0	0	54	0	0
1700056E22Rik	163	276	226	272	197	269	189	238
1700057G04Rik	0	4	5	4	3	35	5	1
1700061G19Rik	2	7	8	3	31	86	7	16
1700063K16Rik	0	0	0	0	0	0	0	0
1700064H15Rik	0	0	1	3	2	0	5	0
1700065I16Rik	0	0	0	0	0	15	0	0
1700066B19Rik	13	12	10	16	3	7	14	17
1700066M21Rik	494	527	419	378	519	515	402	405
1700067K01Rik	7	5	16	5	7	20	4	9
1700067P10Rik	0	0	0	0	0	44	0	0
1700069L16Rik	1	0	4	4	1	1	0	1
1700071K01Rik	0	0	1	0	0	0	0	1
1700073E17Rik	2	8	3	8	1	49	8	5
1700074P13Rik	0	0	0	0	0	175	0	0
1700080E11Rik	0	0	0	0	0	110	0	0
1700080O16Rik	0	1	1	0	0	26	0	1
1700084J12Rik	0	0	0	0	0	0	1	3
