	GSM4823246	GSM4823247	GSM4823248	GSM4823249	GSM4823250	GSM4823251
A1BG	471	282	1307	2488	2415	13839
A1BG-AS1	50	50	243	67	77	123
A1CF	6879	94	3933	15907	13420	8456
A2M	5591	4686	31238	52730	114294	82556
A2M-AS1	15	318	185	533	658	486
A2ML1	44	71	38	42	53	51
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	0	0	3	2	0	2
A2MP1	13	23	45	108	289	69
A3GALT2	0	4	1	4	2	0
A4GALT	29	146	82	35	52	62
A4GNT	0	0	14	2	18	9
AAAS	461	635	589	378	526	625
AACS	1174	1568	1026	261	246	318
AACSP1	109	353	103	88	124	42
AADAC	338	32	174	1799	2306	2849
AADACL2	7	0	1	9	15	11
AADACL2-AS1	5	59	5	8	26	6
AADACL3	21	0	15	20	19	3
AADACL4	0	0	0	0	0	0
AADACP1	20	0	17	158	343	158
AADAT	298	191	143	564	449	348
AAGAB	564	413	420	187	219	254
AAK1	3944	2970	2189	1604	1738	1468
AAMDC	114	85	147	64	99	53
AAMP	896	1453	749	405	350	820
AANAT	5	60	29	6	10	14
AAR2	460	674	523	265	258	353
AARD	10	7	19	5	6	10
AARS1	5482	4376	1830	1041	961	1677
AARS1P1	0	0	0	0	0	0
AARS2	878	1061	852	257	275	445
AARSD1	265	541	199	93	109	173
AARSD1P1	0	44	43	43	39	20
AASDH	349	106	276	264	267	196
AASDHPPT	655	244	358	366	367	270
AASS	735	430	3668	22720	9591	6436
AATBC	134	297	152	31	31	57
AATF	759	1415	941	343	333	327
AATK	198	700	86	660	695	1069
ABALON	40	156	130	54	68	133
ABAT	1697	1135	4399	12354	9583	13511
ABCA1	7693	13070	10993	9688	9335	13324
ABCA10	290	139	41	1449	1745	1193
ABCA11P	362	114	48	71	64	63
ABCA12	98	35	60	5	5	0
ABCA13	257	82	12	154	149	131
ABCA17P	2	32	44	2	3	3
ABCA2	233	5664	1436	1275	1184	3235
ABCA3	28	4615	248	39	84	99
ABCA3P1	0	0	1	2	0	1
ABCA4	50	50	66	163	118	134
ABCA5	3636	506	2002	2403	1617	1509
ABCA6	686	363	1934	9298	8284	6819
ABCA7	330	2403	653	136	229	382
ABCA8	50	374	637	4022	4770	4358
ABCA9	296	414	243	2502	2665	1555
ABCA9-AS1	16	12	9	149	154	88
ABCB1	31	87	157	1306	1117	1131
ABCB10	883	501	578	319	314	403
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	201	13	2760	6366	5026	7245
ABCB4	673	193	1691	2254	3906	2864
ABCB5	32	6	10	2	3	2
ABCB6	1093	1390	567	291	243	436
ABCB7	653	198	805	421	410	358
ABCB8	481	1459	1013	273	232	542
ABCB9	289	296	181	129	147	134
ABCC1	326	2069	1161	327	590	482
ABCC10	1332	2078	854	247	310	477
ABCC11	71	49	257	193	185	181
ABCC12	166	0	127	67	71	41
ABCC13	83	48	103	84	74	70
ABCC2	1417	267	1774	6943	5204	6711
ABCC3	1939	1111	3187	4041	3223	6644
ABCC4	1284	417	659	105	145	120
ABCC5	749	2705	1354	397	583	545
ABCC5-AS1	2	29	16	2	3	0
ABCC6	1945	303	6040	4841	3955	8455
ABCC6P1	667	21	1441	897	925	696
ABCC6P2	172	0	374	79	71	36
ABCC8	156	92	196	135	155	137
ABCC9	1736	222	2707	5621	3006	3165
ABCD1	518	1080	890	145	178	317
ABCD1P2	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	1	0
ABCD2	2	296	110	15	35	20
ABCD3	3279	384	2478	1838	2714	1668
ABCD4	631	1503	784	691	677	1176
ABCE1	1137	493	525	555	560	384
ABCF1	1649	1817	1237	453	479	607
ABCF2	528	1495	449	173	155	261
ABCF2-H2BK1	168	172	118	36	71	49
ABCF2P1	0	0	0	0	0	0
ABCF2P2	0	4	0	2	2	0
ABCF3	1096	1319	870	586	484	882
ABCG1	2011	1147	221	211	196	190
ABCG2	115	68	188	990	1003	602
ABCG4	7	44	3	3	2	3
ABCG5	14	47	1088	1391	2011	2089
ABCG8	185	157	1599	3423	3650	4698
ABHD1	45	54	126	67	61	55
ABHD10	718	174	584	388	293	395
ABHD11	273	304	191	91	132	186
ABHD11-AS1	10	31	21	9	10	19
ABHD12	776	1259	598	271	341	514
ABHD12B	76	32	172	65	88	24
ABHD13	448	155	460	422	363	210
ABHD14A	123	125	143	44	67	87
ABHD14A-ACY1	113	118	58	85	106	160
