gene_symbol	GSM3408213	GSM3408211	GSM3408209	GSM3408210	GSM3408212	GSM3408208
A1BG	33.34375	35.4375	38.5	53.53125	34.84375	65.0
A1BG-AS1	37.59375	49.0625	51.78125	65.8125	52.09375	72.3125
A1CF	28.11328125	32.00390625	27.640625	33.38671875	30.546875	36.0
A2M	35.1015625	37.8125	32.515625	33.703125	38.640625	33.0703125
A2M-AS1	11.46875	17.171875	12.46875	18.21875	25.90625	15.609375
A2ML1	12.984375	11.01171875	12.40625	11.828125	14.015625	12.22265625
A2MP1	45.0	48.4375	44.1875	47.65625	48.59375	44.28125
A4GALT	57.125	56.4375	54.71875	56.84375	66.6875	56.28125
A4GNT	43.40625	54.1875	46.5625	49.21875	55.9375	47.8125
AA06	33.5625	33.0	27.625	32.25	33.5625	29.09375
AAAS	281.5	273.75	289.75	318.0	297.25	297.0
AACS	901.5	649.5	572.5	629.0	637.0	653.0
AACSP1	9.84375	9.5703125	9.7734375	10.4296875	10.75	9.109375
AADAC	27.625	23.859375	26.234375	25.265625	25.9375	21.25
AADACL2	8.96875	10.703125	9.9140625	8.6171875	10.203125	9.546875
AADACP1	10.953125	10.7265625	9.4453125	9.0625	9.703125	9.3046875
AADAT	168.625	200.375	150.25	128.875	166.875	117.0625
AAED1	882.0	870.0	1030.0	1054.0	803.5	1016.0
AAGAB	166.921875	161.77604166666666	148.80729166666666	164.8828125	156.89583333333334	173.90104166666666
AAK1	318.82142857142856	242.95089285714286	277.26004464285717	260.0357142857143	290.6517857142857	283.96763392857144
AAMDC	286.2421875	175.609375	242.7734375	192.03385416666666	177.66666666666666	178.61197916666666
AAMP	600.0	595.5	512.5	653.0	725.0	784.5
AANAT	15.453125	15.8671875	15.03125	13.984375	14.4765625	13.9609375
AAR2	396.75	494.0	531.0	585.5	563.5	561.5
AARS	1822.0	1304.0	1447.0	1448.0	1339.0	1275.0
AARS2	189.1875	162.4375	148.03125	159.03125	180.90625	164.65625
AASDH	251.6875	274.4375	247.875	222.9375	221.625	194.5
AASDHPPT	1079.3854166666667	883.7760416666666	1209.4895833333333	1252.9114583333333	1069.265625	1194.4947916666667
AASS	94.5625	115.53125	128.75	99.53125	77.4375	105.0625
AATBC	27.71875	25.578125	20.53125	23.765625	22.4375	20.234375
AATF	839.0	1042.0	959.0	869.5	1074.0	831.0
