	GSM1893676	GSM1893686	GSM1893678	GSM1893685	GSM1893680	GSM1893682	GSM1893683	GSM1893684	GSM1893675	GSM1893677	GSM1893681	GSM1893679
0610007P14Rik	108	197	152	214	89	128	37	78	161	205	60	129
0610009B22Rik	157	334	302	383	32	104	124	126	117	256	78	184
0610009L18Rik	1	41	12	6	3	3	27	11	7	1	1	1
0610009O20Rik	62	160	162	129	33	37	22	19	32	115	57	129
0610010F05Rik	149	457	344	339	141	130	134	113	170	272	177	318
0610010K14Rik	3	25	25	40	0	0	21	13	15	47	2	12
0610011F06Rik	101	369	314	298	66	162	84	107	123	167	142	204
0610012G03Rik	104	246	259	197	122	126	142	116	140	83	141	80
0610030E20Rik	30	80	90	82	50	6	24	24	28	62	24	66
0610037L13Rik	145	252	178	231	63	90	77	124	149	192	150	140
0610040J01Rik	1	0	1	30	3	5	0	3	1	2	1	2
1110001J03Rik	65	182	222	267	54	69	78	71	81	103	82	53
1110002E22Rik	0	0	1	8	0	0	0	0	0	2	0	0
1110004E09Rik	67	267	223	174	58	52	41	56	127	162	92	149
1110004F10Rik	242	600	484	651	143	318	177	232	415	408	253	427
1110008F13Rik	44	119	98	120	31	10	46	45	30	86	45	51
1110008L16Rik	21	136	74	119	16	95	62	49	67	130	31	203
1110008P14Rik	129	371	356	347	64	166	127	95	220	246	93	230
1110012L19Rik	37	54	52	38	5	21	10	33	43	42	45	18
1110017D15Rik	15	47	30	14	5	5	7	9	20	29	36	15
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	236	417	239	384	201	163	133	130	144	243	213	354
1110032F04Rik	3	18	7	7	6	8	6	1	0	5	2	1
1110034G24Rik	9	9	14	22	0	6	7	11	7	42	0	5
1110037F02Rik	182	472	458	484	197	208	154	208	150	304	184	294
1110038F14Rik	7	49	33	36	13	41	1	18	11	28	5	12
1110051M20Rik	181	472	428	560	214	211	126	245	287	289	215	327
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	170	246	230	195	133	201	66	170	102	143	132	189
1110059G10Rik	13	64	37	42	28	39	35	53	30	39	34	42
1110065P20Rik	87	123	130	166	114	124	82	148	74	74	107	96
1190002N15Rik	65	212	180	182	113	90	37	158	128	168	77	138
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	3	19	10	17	0	10	6	1	7	7	0	0
1190007I07Rik	13	73	31	26	20	14	19	7	59	17	17	12
1300017J02Rik	0	1	0	2	1	1	0	0	0	2	0	4
1500009C09Rik	194	659	635	704	137	228	181	207	327	531	223	564
1500009L16Rik	91	187	171	236	65	136	75	108	155	130	71	113
1500011B03Rik	230	559	501	575	101	159	195	152	122	439	118	438
1500011K16Rik	98	255	185	200	59	153	106	94	105	137	100	122
1500015O10Rik	1	12	4	9	1	1	1	0	0	10	0	3
1520401A03Rik	0	0	0	1	0	0	0	0	0	0	0	0
1600002H07Rik	11	29	16	57	4	7	24	2	8	19	5	13
1600002K03Rik	12	17	14	16	0	0	9	6	13	9	8	2
1600012H06Rik	23	54	35	52	10	21	22	30	3	36	27	63
1600014C10Rik	75	317	245	316	57	53	55	125	163	314	76	233
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	4	0	0	0	0	6	0	0
1600029O15Rik	3	4	2	4	1	0	2	1	0	1	0	1
1700001C02Rik	0	24	8	0	6	0	0	2	0	3	0	2
1700001C19Rik	0	0	1	1	0	0	0	0	3	1	1	1
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	6	1	4	0	5	3	1	1	3	0	0
1700001K19Rik	0	2	0	8	1	0	0	1	2	7	1	2
1700001L19Rik	85	129	66	97	58	58	41	20	53	59	45	64
1700001O22Rik	0	1	0	5	0	0	0	0	0	0	4	0
1700001P01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	45	32	66	51	3	2	9	7	28	48	27	24
1700003F12Rik	0	10	8	8	0	0	0	0	2	7	0	7
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	3	0	0	0	0	0	0	0	0	0	2	0
1700007E05Rik	1	1	0	2	1	0	0	0	0	18	0	3
1700007G11Rik	0	6	1	2	4	0	0	0	1	0	2	2
1700007K09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	7	41	16	22	25	9	15	7	8	23	4	17
1700008O03Rik	17	6	5	4	2	0	1	0	3	3	1	2
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700010I14Rik	2	21	14	15	9	4	4	11	4	14	3	12
1700010N08Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700011E24Rik	0	0	0	1	1	0	0	0	0	0	0	0
1700011H14Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700011I03Rik	0	1	0	3	2	0	0	1	0	0	0	0
1700011L22Rik	0	0	0	2	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	5	13	9	7	10	6	2	0	28	6	5	8
1700012L04Rik	0	0	0	0	0	0	0	0	0	0	0	4
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	8	9	2	18	1	0	4	1	7	7	9	21
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	1	0	0	0	1
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	1	0	0	0	0	1	0	0	1	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	3	0	0	0	0
1700016D06Rik	1	0	4	19	0	1	0	2	0	7	6	7
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	2	43	26	22	5	0	0	4	2	11	2	15
1700017B05Rik	44	125	80	105	44	39	35	44	14	80	20	95
1700017D01Rik	0	2	0	0	1	0	0	0	1	1	0	1
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018M17Rik	0	1	0	0	0	1	2	2	1	1	0	2
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	11	0	0	0	0	0	0	3	0	0
1700019D03Rik	32	45	42	61	11	20	15	9	66	23	13	45
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	5	16	7	0	0	0	6	0	0	6
1700020L24Rik	0	20	0	1	0	0	0	0	0	0	0	1
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	40	112	82	64	26	63	42	57	27	76	75	79
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	2	0	0	0	0	0	0	0	0	0
1700023F06Rik	15	21	27	18	14	19	14	10	14	10	14	12
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	9
1700024J04Rik	2	7	1	4	0	0	0	0	2	0	1	2
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	0	8	0	2	0	1	0	1	0	1	1	1
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	221	476	551	551	256	264	150	175	247	516	249	456
1700028B04Rik	3	0	6	18	1	3	2	3	3	6	2	3
1700028J19Rik	0	3	1	3	0	2	0	1	0	5	0	1
1700028K03Rik	15	31	21	18	22	5	3	3	41	12	9	30
1700028P14Rik	7	2	14	4	2	0	0	0	1	4	12	15
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	7	0	0	0	0	0	1	0	0
1700029I15Rik	2	5	0	10	0	0	0	2	0	0	0	14
1700029J07Rik	11	5	8	7	0	4	1	0	5	18	2	4
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	0	0	2	8	0	0	0	0	0	0	3	0
1700030J22Rik	26	151	90	29	15	26	12	16	8	95	10	61
1700030K09Rik	7	70	40	49	6	12	13	19	5	13	3	33
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	3	5	3	1	0	11	14	0	0	8	6	6
1700034J05Rik	2	0	0	1	0	0	0	0	0	2	0	1
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	32	39	62	64	13	23	6	18	2	31	7	20
1700037H04Rik	251	798	681	975	163	333	243	260	309	570	173	480
1700039E15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	29	5	18	29	6	0	1	11	0	3	8	8
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	24	75	99	110	66	57	34	15	45	67	106	142
1700048O20Rik	12	41	31	57	3	14	4	29	22	35	2	25
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0	0	0
1700049G17Rik	32	77	62	63	36	32	44	28	11	109	27	136
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	1	3	0	6	0	0	1	0	0	0	0	0
1700057G04Rik	0	2	3	5	0	0	1	0	0	3	0	4
1700061G19Rik	0	7	1	2	0	0	0	0	0	5	3	1
1700063K16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700065I16Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700066B19Rik	0	2	2	1	0	1	15	0	0	6	4	2
1700066M21Rik	33	82	105	108	58	134	72	63	54	90	82	64
1700067K01Rik	0	13	1	0	0	0	1	2	0	8	0	5
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	1	4	3	3	0	18	1	3	0	4	0	4
1700073E17Rik	0	1	1	0	0	0	0	0	0	1	1	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	4	0	0	0	4	0	8
1700086L19Rik	51	196	147	220	69	114	54	48	58	141	94	168
1700088E04Rik	9	55	19	46	4	23	13	9	10	28	15	31
1700091H14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	0	1	0	0	0	0	0	0	0	1	0	15
1700093K21Rik	0	2	1	0	0	0	0	0	0	0	0	0
1700102P08Rik	5	5	0	1	0	0	1	0	0	6	0	4
1700109H08Rik	37	51	16	33	9	1	2	1	31	35	3	9
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700112E06Rik	0	0	9	8	0	0	3	6	0	1	2	5
1700113H08Rik	0	0	1	0	3	0	0	0	0	2	1	2
1700122O11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700123L14Rik	0	2	0	3	0	0	0	0	0	0	0	0
1700123O20Rik	51	57	82	130	10	38	26	59	56	52	52	72
1700125H20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700128F08Rik	11	24	19	29	4	5	2	4	5	42	5	23
1700129C05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	17	48	85	155	34	14	7	29	15	64	7	57
1810009J06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	2	3	14	16	3	1	4	0	4	4	26	14
1810011H11Rik	1	0	1	0	0	0	0	6	0	3	0	5
1810011O10Rik	0	0	0	2	0	0	0	0	0	2	0	5
1810013L24Rik	149	682	548	757	266	235	136	215	272	431	242	435
1810018F18Rik	0	1	0	0	0	0	0	0	0	0	0	0
1810022K09Rik	87	99	86	130	98	65	71	69	65	61	138	34
1810024B03Rik	0	7	6	3	2	1	2	0	4	5	0	2
1810026J23Rik	164	496	384	514	191	124	68	168	159	215	183	262
1810030O07Rik	88	274	249	309	140	122	83	144	108	255	91	283
1810032O08Rik	2	8	1	4	0	13	1	6	10	14	12	9
1810037I17Rik	161	366	329	383	151	144	119	147	175	265	128	244
1810041L15Rik	133	386	547	651	184	174	85	194	243	310	120	445
1810043G02Rik	49	152	195	239	53	65	56	69	83	92	82	121
1810043H04Rik	61	148	77	130	51	65	67	43	58	58	17	83
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1810049J17Rik	0	1	0	8	0	1	0	0	3	0	0	0
1810055G02Rik	37	54	47	37	29	15	20	30	23	29	61	47
1810062G17Rik	0	1	1	0	0	1	0	0	0	0	0	9
1810065E05Rik	0	0	0	0	0	0	0	0	0	0	0	0
2010001K21Rik	0	1	0	0	0	0	0	0	0	3	0	0
2010003K11Rik	0	0	0	0	0	0	0	0	0	0	0	0
2010005H15Rik	1	19	0	2	0	0	0	0	14	0	6	3
2010010A06Rik	0	0	0	0	0	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0	0	0	0	1	0
2010107E04Rik	191	566	400	496	235	240	172	233	239	203	244	206
2010107G12Rik	1	1	0	12	0	1	0	1	0	5	0	1
2010107G23Rik	24	145	100	97	79	67	25	67	70	66	55	59
2010109A12Rik	0	1	0	0	0	0	7	0	3	0	0	1
2010109I03Rik	6	19	12	28	3	0	1	5	6	11	2	23
2010111I01Rik	10	16	30	16	8	4	2	18	2	72	3	15
2010300C02Rik	46	189	125	143	24	44	4	22	19	66	35	112
2010315B03Rik	8	43	26	30	12	25	13	14	11	42	26	34
2200002D01Rik	5	10	8	21	5	1	2	7	3	3	1	10
2200002J24Rik	0	0	0	0	0	0	0	0	0	0	0	0
2210010C04Rik	1	1	1	3	0	0	0	4	0	0	0	2
2210011C24Rik	0	0	0	0	0	0	0	0	0	0	0	0
2210013O21Rik	205	533	445	559	185	236	125	222	250	268	223	280
2210016F16Rik	81	187	202	187	56	56	69	82	141	105	71	105
2210016L21Rik	173	673	655	644	221	207	149	220	253	352	231	425
2210017I01Rik	0	1	0	0	0	0	0	1	1	0	0	0
2210404O09Rik	6	49	7	40	6	13	7	6	26	12	5	22
2210407C18Rik	0	0	0	0	0	0	0	0	0	0	0	0
2210408I21Rik	50	158	180	123	66	82	17	43	21	125	166	172
2210409E12Rik	0	0	0	0	0	0	0	0	0	0	0	0
2210418O10Rik	26	75	56	58	17	22	11	21	19	61	26	52
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	40	52	42	45	27	19	14	14	17	31	14	31
2310002L09Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310007B03Rik	0	3	14	0	2	10	0	0	10	4	1	2
2310009B15Rik	42	106	72	88	34	34	17	19	32	51	19	54
2310011J03Rik	36	65	55	88	24	48	15	41	22	50	19	52
2310022A10Rik	43	136	119	100	27	39	36	73	24	73	16	97
2310022B05Rik	305	849	708	1136	228	361	169	254	153	717	187	674
2310030G06Rik	9	49	14	12	3	4	2	6	2	29	6	26
2310033P09Rik	42	185	147	151	126	30	58	69	67	160	86	154
2310034C09Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310034G01Rik	1	10	7	0	0	0	2	2	0	7	1	0
2310035C23Rik	313	760	665	768	383	393	344	382	404	605	475	620
2310036O22Rik	148	345	259	264	52	118	88	78	123	163	57	160
2310039H08Rik	10	19	22	32	0	43	1	17	7	28	5	5
2310046K23Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310057M21Rik	74	274	184	211	48	132	66	100	58	217	63	170
2310057N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310061I04Rik	58	250	235	208	49	87	56	86	113	153	40	150
2310061N02Rik	0	0	0	0	0	0	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	101	395	392	443	57	131	96	125	194	297	104	449
2410004B18Rik	74	146	82	133	48	62	31	43	53	86	72	93
2410004P03Rik	13	73	68	136	11	11	10	55	15	93	8	84
2410015M20Rik	138	508	299	538	193	242	89	143	133	170	145	239
2410016O06Rik	0	58	78	43	3	43	19	13	46	28	9	29
2410024N13Rik	0	2	1	0	0	0	0	0	0	0	0	1
2410089E03Rik	160	461	429	494	227	193	147	160	134	510	236	532
2410131K14Rik	141	254	255	282	58	106	94	164	167	182	64	143
2410137M14Rik	0	0	0	0	0	0	0	0	0	0	0	0
2410141K09Rik	0	0	1	5	0	0	0	0	0	0	0	0
2510002D24Rik	8	79	44	71	38	38	30	21	19	72	9	48
2510009E07Rik	188	512	457	496	186	205	100	203	174	280	148	401
2510039O18Rik	72	184	191	175	65	42	58	56	68	167	83	107
2610001J05Rik	85	82	102	138	71	86	44	95	68	73	72	77
2610002M06Rik	217	733	519	574	308	295	160	267	354	466	350	452
2610005L07Rik	86	396	282	385	82	69	46	93	7	404	80	386
2610008E11Rik	66	147	148	196	93	78	31	76	200	139	40	134
2610020H08Rik	4	17	23	24	0	0	0	0	0	9	8	20
2610021A01Rik	51	215	115	155	50	72	26	32	78	117	77	112
2610024D14Rik	0	0	0	0	0	0	0	0	0	0	0	0
2610028H24Rik	0	0	0	0	0	0	0	0	0	0	0	0
2610042L04Rik	7	21	12	17	11	9	23	13	26	18	10	7
2610044O15Rik8	34	155	111	114	43	54	21	28	101	91	40	72
2610301B20Rik	164	340	285	303	112	201	132	125	255	369	186	289
2610305D13Rik	4	2	0	6	12	3	7	3	1	20	2	1
2610318N02Rik	6	5	6	16	0	0	0	15	0	8	8	4
2610507B11Rik	693	1840	1735	1998	672	647	501	705	680	1443	695	1385
2610524H06Rik	29	99	60	104	9	19	20	9	56	84	25	98
2610528A11Rik	1	2	0	1	0	0	0	1	0	0	3	0
2610528J11Rik	0	0	0	0	0	0	0	0	0	0	0	0
2700029M09Rik	164	414	412	417	132	159	122	152	187	230	250	205
2700049A03Rik	30	85	32	55	89	43	20	24	28	68	51	53
2700060E02Rik	197	616	449	510	221	269	163	274	199	255	335	267
2700062C07Rik	51	81	80	73	35	50	55	31	58	61	51	44
2700081O15Rik	70	176	212	193	69	39	21	45	94	141	70	187
2700094K13Rik	49	214	146	223	121	43	51	114	84	113	99	103
2700097O09Rik	8	61	19	45	13	19	10	8	6	45	10	44
2700099C18Rik	1	13	3	17	2	1	4	0	0	8	8	8
2810004N23Rik	69	134	120	150	18	39	33	27	91	84	80	149
2810006K23Rik	50	71	78	67	53	22	35	55	17	78	33	43
2810021J22Rik	48	138	110	115	29	66	44	48	53	59	23	91
2810025M15Rik	33	77	81	56	16	26	6	18	37	36	15	19
2810039B14Rik	44	60	42	44	17	49	28	23	18	102	43	23
2810047C21Rik1	0	0	0	0	0	0	0	0	0	0	0	3
2810403A07Rik	104	242	177	231	44	130	29	52	77	171	92	133
2810408A11Rik	0	4	0	4	0	2	0	0	0	0	0	0
2810417H13Rik	5	16	11	9	5	2	3	0	4	10	8	8
2810428I15Rik	165	274	215	173	69	114	58	74	67	131	70	135
2810459M11Rik	11	28	16	25	6	20	2	1	47	34	24	17
2810474O19Rik	159	273	249	375	139	110	65	129	116	208	110	165
2900011O08Rik	556	1733	1278	1881	731	578	452	539	505	1273	738	1389
2900026A02Rik	143	247	345	248	142	110	166	135	180	367	187	341
2900055J20Rik	30	23	46	58	9	27	5	22	0	26	5	36
2900092C05Rik	0	0	0	0	0	0	0	0	0	0	0	0
3000002C10Rik	20	46	16	46	17	13	17	30	16	14	19	14
3010026O09Rik	60	93	24	96	19	58	17	29	17	40	23	44
3100002H09Rik	0	0	0	0	0	0	0	0	0	0	0	0
3110001I22Rik	4	18	4	9	3	0	18	0	5	8	0	4
3110002H16Rik	24	186	96	175	46	52	42	46	77	93	49	98
3110009E18Rik	0	16	4	6	2	0	1	0	1	1	3	5
3110018I06Rik	0	0	0	0	0	0	0	0	0	0	0	0
3110021N24Rik	0	0	0	3	0	8	0	0	2	3	0	13
3110035E14Rik	32	73	107	93	21	57	22	32	11	95	68	73
3110040N11Rik	19	87	79	70	21	13	38	31	32	24	34	43
3110043O21Rik	27	140	90	113	33	66	48	40	71	128	55	150
3110052M02Rik	20	16	36	44	33	13	22	9	15	31	39	38
3110053B16Rik	9	13	7	10	2	2	12	3	0	7	6	9
3110062M04Rik	4	36	0	58	0	4	14	5	0	7	11	7
3110067C02Rik	0	1	0	4	0	0	0	0	0	4	5	4
3110070M22Rik	0	10	23	3	0	6	0	7	7	1	0	0
3110079O15Rik	0	0	3	0	0	0	0	0	0	0	0	5
3110082I17Rik	77	100	108	92	57	72	28	50	51	76	27	66
3110082J24Rik	3	4	18	10	3	4	0	0	1	0	0	4
3300002I08Rik	19	33	19	32	8	5	13	15	1	23	6	19
3425401B19Rik	0	2	0	5	0	0	0	0	1	0	0	0
3632451O06Rik	67	178	107	188	23	52	55	40	99	103	62	111
3830403N18Rik	0	0	0	1	0	0	1	8	0	0	0	0
3830406C13Rik	29	199	113	159	46	71	32	49	81	72	93	79
3830408C21Rik	0	1	1	0	0	0	0	0	0	0	0	6
3830417A13Rik	0	0	0	0	0	0	0	0	0	0	0	0
4430402I18Rik	12	25	23	29	19	3	0	5	12	36	9	15
4833418N17Rik	0	0	0	0	0	0	0	0	0	0	0	0
4833420G17Rik	79	290	188	299	35	42	84	55	112	245	85	160
4833423E24Rik	0	0	2	0	1	0	0	1	0	5	0	0
4833427G06Rik	0	0	7	11	4	3	0	2	0	1	1	8
4833439L19Rik	412	1426	1210	1774	371	528	276	421	546	1135	397	1255
4921501E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
4921504E06Rik	0	0	0	0	0	0	0	0	0	0	0	0
4921507P07Rik	6	21	15	20	3	8	9	4	6	30	1	9
4921508M14Rik	0	1	0	0	0	0	1	0	0	0	0	0
4921509C19Rik	0	0	0	0	0	0	0	0	0	1	0	0
4921511C20Rik	0	0	0	0	0	0	0	0	0	0	0	0
4921511H03Rik	3	7	0	3	0	2	0	0	0	7	0	8
4921511M17Rik	0	0	0	0	0	0	0	0	0	0	0	0
4921513D11Rik	0	3	5	31	0	1	0	0	7	10	0	2
4921513I03Rik	0	1	0	0	0	0	0	0	4	0	0	1
4921517D22Rik	0	0	0	0	0	0	0	0	0	1	0	0
4921524J17Rik	18	54	46	29	15	47	17	8	16	34	8	35
4921524L21Rik	0	0	0	0	0	0	0	0	0	0	0	0
