	GSM1910656	GSM1910659	GSM1910652	GSM1910667	GSM1910657	GSM1910665	GSM1910662	GSM1910655	GSM1910664	GSM1910653	GSM1910658	GSM1910666	GSM1910660	GSM1910661	GSM1910663	GSM1910654
0610007P14Rik	273	223	102	110	108	323	274	102	202	153	327	101	273	138	264	300
0610009B22Rik	337	299	163	148	89	543	419	87	289	190	331	107	363	202	388	267
0610009L18Rik	46	24	20	14	11	37	33	13	26	18	29	18	20	11	41	32
0610009O20Rik	810	558	312	330	277	1075	754	190	662	440	797	188	747	389	684	613
0610010F05Rik	496	448	180	213	150	647	514	152	364	304	488	76	503	259	457	436
0610010K14Rik	271	213	120	119	144	387	216	85	219	142	286	108	231	152	245	240
0610011F06Rik	783	471	286	293	309	772	699	268	497	336	801	273	633	360	555	713
0610012G03Rik	242	189	118	105	107	330	278	96	227	163	301	123	330	142	242	272
0610030E20Rik	244	264	104	138	204	396	320	88	300	162	452	44	260	132	234	250
0610037L13Rik	497	387	198	214	247	624	428	158	407	282	624	144	391	234	393	429
0610040J01Rik	2048	1021	559	690	858	2112	1533	597	1033	762	2002	422	1390	755	1262	1993
1110001J03Rik	112	94	52	64	33	165	138	38	111	71	119	81	124	65	121	111
1110002E22Rik	148	102	27	48	56	111	139	78	71	40	91	14	60	69	99	131
1110004E09Rik	450	267	155	152	226	493	307	229	269	203	468	121	382	173	276	615
1110004F10Rik	1543	755	424	443	575	1375	1043	503	781	615	1580	311	1053	550	927	1430
1110008F13Rik	436	362	165	167	225	626	472	146	344	286	715	232	405	254	378	487
1110008L16Rik	129	120	76	65	50	179	141	28	113	102	179	40	130	56	126	112
1110008P14Rik	370	260	190	157	177	498	375	145	303	231	468	176	398	216	358	358
1110012L19Rik	168	110	67	52	57	220	175	63	134	76	198	55	180	78	132	130
1110017D15Rik	17	6	6	4	8	18	11	16	9	14	26	5	4	7	5	36
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	324	187	111	116	159	328	248	127	245	120	386	82	206	114	232	308
1110032F04Rik	6	0	0	1	1	9	0	3	1	1	4	0	0	0	0	6
1110034G24Rik	121	85	58	57	48	213	149	39	111	83	130	61	134	72	146	109
