	GSM4066398	GSM4066399	GSM4066400	GSM4066401	GSM4066402	GSM4066403
0610005C13Rik	15	23	144	40	30	19
0610006L08Rik	0	0	0	0	0	0
0610009B22Rik	37	36	54	28	31	40
0610009E02Rik	12	14	8	14	14	7
0610009L18Rik	18	19	14	12	11	25
0610010K14Rik	49	39	64	66	60	51
0610012D04Rik	0	4	2	1	2	1
0610012G03Rik	66	104	153	91	77	104
0610025J13Rik	0	0	1	0	0	1
0610030E20Rik	164	219	245	171	215	131
0610031O16Rik	11	5	6	4	5	7
0610033M10Rik	0	1	0	0	0	1
0610038B21Rik	5	3	11	9	5	18
0610039K10Rik	18	28	46	26	27	16
0610040B10Rik	20	7	25	24	21	22
0610040F04Rik	1	0	1	0	2	0
0610040J01Rik	86	122	135	89	78	168
0610043K17Rik	0	4	2	3	5	6
0710001A04Rik	3	2	0	4	2	0
1010001B22Rik	4	1	2	3	2	2
1100001I12Rik	0	0	0	0	0	0
1110002E22Rik	12	13	24	12	9	5
1110002J07Rik	15	17	17	11	10	5
1110002L01Rik	61	67	58	47	44	29
1110002O04Rik	0	0	0	0	0	2
1110004F10Rik	183	261	335	250	301	218
1110006O24Rik	3	2	4	3	12	2
1110008E08Rik	0	0	0	0	0	0
1110013H19Rik	1	5	5	1	1	2
1110015O18Rik	1	0	0	0	0	0
1110017D15Rik	0	2	1	2	2	2
1110018N20Rik	6	9	6	5	5	2
1110019B22Rik	7	1	7	3	2	3
1110019D14Rik	28	27	22	26	23	17
1110020A21Rik	1	6	1	2	4	4
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	5	7	4	6	9	1
1110028F18Rik	5	3	1	1	5	1
1110032A03Rik	51	75	79	83	91	80
1110032F04Rik	1	3	8	4	5	1
1110035H17Rik	0	0	1	4	5	3
1110038B12Rik	107	151	226	143	154	79
1110038F14Rik	52	73	94	65	83	59
1110046J04Rik	38	39	35	33	51	23
1110051M20Rik	94	91	92	76	85	98
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	48	82	132	89	115	65
1110059G10Rik	34	63	70	60	86	51
1110065P20Rik	85	83	51	57	39	67
1190001M18Rik	2	2	3	4	5	3
1190005I06Rik	3	4	4	5	1	2
1190007I07Rik	21	25	39	24	18	19
1190028D05Rik	0	0	0	0	0	0
1200007C13Rik	7	3	10	6	4	7
1300002E11Rik	71	76	92	64	85	49
1300014J16Rik	22	11	21	26	17	13
1500002C15Rik	15	24	28	15	22	18
1500002F19Rik	2	1	1	4	2	6
1500004A13Rik	196	181	182	135	167	112
1500009L16Rik	18	10	15	16	9	16
1500011B03Rik	83	85	85	108	137	86
1500012K07Rik	7	7	2	6	12	9
1500015A07Rik	18	21	17	21	21	25
1500015L24Rik	8	9	5	5	9	7
1500026H17Rik	21	21	18	12	8	11
1500032F14Rik	1	1	0	3	0	0
1500035N22Rik	17	9	8	1	5	3
1520401A03Rik	2	0	1	1	1	3
1600002D24Rik	2	1	1	1	2	4
1600010M07Rik	20	44	30	22	45	14
1600012H06Rik	110	196	196	148	141	152
1600012P17Rik	0	0	0	0	0	0
1600014C10Rik	41	66	305	125	134	55
1600014C23Rik	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	83	93	82	66	82	80
1600022D10Rik	0	0	2	1	2	0
1600025M17Rik	6	2	10	5	3	2
1600027J07Rik	0	0	0	0	0	0
1600029O15Rik	1	3	3	3	4	3
1700001C19Rik	6	3	13	7	7	3
