	GSM2995265	GSM2995266	GSM2995267	GSM2995268	GSM2995269	GSM2995270	GSM2995271
0610007P14Rik	726	965	689	721	866	823	918
0610009B22Rik	341	296	256	303	346	278	288
0610009L18Rik	50	36	44	39	32	39	39
0610009O20Rik	491	614	447	513	564	490	392
0610010F05Rik	102	84	63	92	89	75	88
0610010K14Rik	325	433	405	428	465	384	428
0610011F06Rik	680	717	704	841	820	875	867
0610012G03Rik	1676	1826	1868	2342	1816	1625	1950
0610030E20Rik	984	780	676	700	980	832	806
0610037L13Rik	284	332	281	303	352	353	301
0610040J01Rik	1081	1148	1106	1175	1307	1122	970
1110001J03Rik	519	517	467	671	593	533	609
1110002E22Rik	21	19	38	27	19	12	24
1110004E09Rik	179	226	198	234	237	177	204
1110004F10Rik	705	880	697	786	1015	802	742
1110008F13Rik	1649	2067	1712	1970	2827	2784	2958
1110008L16Rik	159	205	153	161	184	151	121
1110008P14Rik	319	295	276	279	342	284	346
1110012L19Rik	211	183	171	172	197	164	141
1110017D15Rik	2	1	3	1	2	2	2
1110025L11Rik	0	0	0	0	0	0	0
1110032A03Rik	400	345	322	345	357	347	322
1110032F04Rik	6	1	5	3	13	2	3
1110034G24Rik	136	123	94	119	109	119	128
1110037F02Rik	621	575	415	464	539	470	437
1110038F14Rik	264	298	250	254	265	220	336
1110051M20Rik	52	53	35	32	36	37	26
1110057P08Rik	0	0	0	0	0	0	0
1110059E24Rik	641	539	457	480	661	518	447
1110059G10Rik	343	402	324	331	434	447	489
1110065P20Rik	227	220	266	305	283	248	212
1190002N15Rik	698	511	497	498	733	494	470
1190003K10Rik	0	0	0	0	0	0	0
1190005I06Rik	10	5	8	12	6	6	4
1190007I07Rik	117	194	136	165	180	176	193
1300017J02Rik	1	0	1	2	1	1	3
1500009C09Rik	9	3	1	0	2	0	0
1500009L16Rik	14	20	22	25	21	29	29
1500011B03Rik	29	43	37	25	47	33	43
1500011K16Rik	307	374	358	432	460	411	475
1500015O10Rik	2	1	3	1	0	0	1
1520401A03Rik	3	2	2	2	0	4	3
1600002H07Rik	105	128	90	143	137	105	142
1600002K03Rik	60	78	75	78	78	93	85
1600012H06Rik	735	643	488	573	704	569	558
1600014C10Rik	1517	1181	991	1350	1597	1217	1432
1600014C23Rik	0	0	1	0	0	0	0
1600015I10Rik	0	2	0	0	0	0	1
1600029O15Rik	7	7	4	8	5	6	9
1700001C02Rik	0	0	0	0	0	0	0
1700001C19Rik	19	16	22	11	16	19	25
1700001F09Rik	0	0	0	0	0	0	0
1700001J03Rik	0	1	1	4	1	5	2
1700001J11Rik	7	7	2	2	2	5	0
1700001K19Rik	2	4	5	1	1	0	7
1700001L19Rik	0	1	0	0	0	0	0
1700001O22Rik	3	2	6	3	7	6	3
1700001P01Rik	0	0	0	0	3	0	1
1700003E16Rik	96	115	54	106	117	74	42
1700003F12Rik	0	0	0	0	1	2	8
1700003H04Rik	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0
1700007E05Rik	10	11	3	8	14	26	10
1700007G11Rik	1	1	0	0	0	3	0
1700007K09Rik	0	0	1	2	1	0	2
1700007K13Rik	2	0	0	0	0	0	0
1700008O03Rik	3	3	3	4	6	0	2
1700008P02Rik	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	1	0	0
1700010I14Rik	4	11	8	4	8	7	7
1700010N08Rik	0	0	0	0	0	0	0
1700011E24Rik	5	1	0	1	2	1	1
1700011H14Rik	16	8	5	2	8	1	3
1700011I03Rik	0	1	0	1	0	0	0
1700011L22Rik	0	2	1	0	0	3	1
1700011M02Rik	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0
1700012B07Rik	1	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0
1700012L04Rik	8	10	5	6	7	12	6
1700012P22Rik	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0
1700013F07Rik	0	1	0	0	1	0	0
1700013G24Rik	0	0	0	0	0	0	0
1700013H16Rik	1	0	0	0	0	0	0
1700014D04Rik	0	2	0	2	0	0	0
1700015E13Rik	1	4	1	9	0	4	0
1700015F17Rik	0	0	0	0	0	0	0
1700015G11Rik	2	0	0	0	0	0	0
1700016C15Rik	48	75	60	53	259	422	407
1700016D06Rik	8	5	4	2	7	15	5
1700016H13Rik	0	1	1	2	0	1	0
1700016K19Rik	10	9	12	13	6	4	5
1700017B05Rik	394	316	252	282	396	228	217
1700017D01Rik	1	0	0	0	0	0	2
1700017N19Rik	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0
1700018M17Rik	2	3	1	0	3	1	2
1700019A02Rik	0	0	0	0	0	0	0
1700019B03Rik	0	0	0	0	0	0	1
1700019D03Rik	22	42	43	35	45	43	26
1700019M22Rik	0	0	0	0	0	0	0
