	GSM4618385	GSM4618386	GSM4618387	GSM4618388	GSM4618389	GSM4618390	GSM4618391	GSM4618392	GSM4618393
0610007P14Rik	329	333	369	295	336	589	669	438	258
0610009B22Rik	389	476	550	290	345	423	942	815	485
0610009L18Rik	98	178	166	141	100	141	194	172	133
0610009O20Rik	1132	2192	1754	1345	1632	2617	3198	1734	1321
0610010F05Rik	475	828	698	387	566	376	1407	739	680
0610010K14Rik	518	1099	886	635	669	1212	1187	1314	744
0610011F06Rik	1417	2099	2139	1404	1530	3350	3070	3168	1583
0610012G03Rik	473	783	726	584	558	942	965	1134	659
0610030E20Rik	340	820	680	508	538	440	1464	628	510
0610037L13Rik	676	1246	1248	745	906	1160	2117	1623	917
0610040J01Rik	2618	4484	3951	2745	3273	4411	6401	4798	2750
1110001J03Rik	261	476	484	291	337	665	517	895	404
1110002E22Rik	21	47	37	39	43	14	47	35	23
1110004E09Rik	441	744	726	439	473	874	1175	929	693
1110004F10Rik	1036	1382	1313	943	1116	1285	2609	1659	1169
1110008F13Rik	517	845	970	552	702	656	1206	1287	789
1110008L16Rik	141	224	218	140	225	107	440	220	169
1110008P14Rik	819	907	789	581	783	1099	1206	1122	549
1110012L19Rik	137	264	302	190	177	235	443	360	231
1110017D15Rik	21	27	40	14	25	19	42	18	18
1110025L11Rik	0	0	0	0	0	0	0	0	0
1110032A03Rik	409	577	726	399	513	384	1246	881	551
1110032F04Rik	0	0	0	0	0	0	0	0	3
1110034G24Rik	310	656	612	426	369	449	765	912	398
1110037F02Rik	915	1998	1633	918	1527	1187	3367	1460	1181
1110038F14Rik	410	821	659	493	488	848	1036	917	590
1110051M20Rik	546	815	674	515	638	861	1335	833	535
1110057P08Rik	0	0	0	0	0	0	0	0	0
1110059E24Rik	304	503	507	287	351	168	920	756	577
1110059G10Rik	118	164	227	102	176	131	387	278	237
1110065P20Rik	754	1403	1071	714	747	1684	1439	1561	816
1190002N15Rik	438	1006	848	515	744	652	1763	729	835
1190003K10Rik	0	0	0	0	0	0	0	0	0
1190005I06Rik	8	12	17	19	15	12	22	25	16
1190007I07Rik	136	207	223	135	206	218	344	322	191
1300017J02Rik	0	8	8	1	10	6	15	11	2
1500009C09Rik	2	0	1	3	1	10	3	2	0
1500009L16Rik	292	523	445	267	325	483	798	667	415
1500011B03Rik	743	1093	1244	757	874	1074	1641	1710	937
1500011K16Rik	268	481	584	253	301	711	708	920	505
1500015O10Rik	1	1	0	0	1	1	0	0	2
1520401A03Rik	1	9	10	7	5	10	12	6	6
1600002H07Rik	141	270	208	146	176	246	361	261	137
1600002K03Rik	197	376	414	252	284	473	497	603	316
1600012H06Rik	561	835	775	464	626	721	1576	995	730
1600014C10Rik	498	841	646	454	592	683	1105	756	526
1600014C23Rik	0	0	7	1	2	6	0	2	4
1600015I10Rik	0	0	0	0	0	0	0	0	0
1600029O15Rik	8	18	11	9	7	1	18	12	3
1700001C02Rik	3	1	5	1	1	0	9	4	3
1700001C19Rik	36	88	59	54	32	93	101	79	71
1700001F09Rik	0	0	0	0	0	0	0	0	0
1700001J03Rik	9	29	36	17	16	26	41	32	26
1700001J11Rik	8	12	11	3	10	18	24	8	8
1700001K19Rik	5	12	14	7	17	27	30	5	2
1700001L19Rik	3	1	4	2	0	2	3	3	4
1700001O22Rik	1	3	3	4	2	0	4	4	3
1700001P01Rik	0	0	2	2	0	0	7	3	0
1700003E16Rik	75	154	94	91	80	208	217	136	87
1700003F12Rik	0	10	2	2	0	0	1	5	0
1700003H04Rik	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0
1700006E09Rik	1	0	0	0	2	0	5	1	0
1700007B14Rik	0	0	0	0	1	0	0	1	1
1700007E05Rik	1	3	5	4	6	0	5	4	4
1700007G11Rik	0	0	0	0	2	0	1	0	0
1700007K09Rik	0	3	0	0	1	0	1	4	0
1700007K13Rik	47	75	57	69	41	99	116	91	54
1700008O03Rik	6	15	6	9	5	7	29	18	8
1700008P02Rik	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	1	2	1	1	0	2	3	3
1700010I14Rik	21	52	42	28	30	38	69	40	27
1700010N08Rik	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0	0	0	0
1700011H14Rik	0	0	7	7	1	0	8	3	4
1700011I03Rik	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	1	0
1700011M02Rik	2	2	2	0	3	4	1	1	0
1700012A03Rik	0	0	0	0	0	0	0	0	0
1700012B07Rik	1	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0
1700012L04Rik	2	2	0	0	0	8	6	2	0
1700012P22Rik	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0
1700013F07Rik	15	18	27	12	21	11	47	19	2
1700013G24Rik	0	0	0	0	0	0	1	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0
1700014D04Rik	2	0	0	1	4	0	1	4	2
1700015E13Rik	2	2	0	2	2	0	1	0	0
1700015F17Rik	0	2	3	0	1	0	1	2	0
1700015G11Rik	0	0	0	0	1	0	0	0	1
1700016C15Rik	0	5	0	0	0	0	2	0	0
1700016D06Rik	3	10	10	5	9	17	20	4	9
1700016H13Rik	0	1	3	0	0	0	3	0	3
1700016K19Rik	24	46	52	41	30	68	81	72	36
1700017B05Rik	233	548	357	356	427	617	849	290	283
1700017D01Rik	0	1	2	2	0	0	1	2	1
1700017N19Rik	0	0	0	0	0	0	0	0	0
1700018B08Rik	1	0	0	0	0	2	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0
1700018M17Rik	1	3	3	4	1	3	5	0	1
1700019A02Rik	0	1	0	0	0	0	2	1	1
1700019B03Rik	0	1	2	2	3	8	3	2	1
1700019D03Rik	1233	2506	2152	1308	1628	1268	3985	2311	1830
1700019M22Rik	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	1	1	0
1700019O17Rik	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0
1700020D05Rik	8	32	42	18	30	35	64	14	13
1700020L24Rik	9	13	19	4	14	22	17	10	11
1700020N01Rik	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0
1700021F05Rik	246	339	415	310	327	338	567	583	351
1700021F07Rik	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0
1700022I11Rik	2	8	5	4	5	0	4	7	3
1700023F06Rik	289	510	419	332	280	562	528	516	286
1700024B05Rik	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0
1700024J04Rik	3	5	9	3	6	11	13	4	3
1700024P04Rik	0	0	0	0	1	0	0	0	0
1700024P16Rik	0	5	5	2	4	0	8	5	2
1700025B11Rik	0	0	0	0	0	0	0	0	0
1700025C18Rik	4	20	10	5	6	21	19	4	4
1700025F22Rik	0	0	0	0	0	0	0	0	0
1700025G04Rik	71	159	137	79	130	119	286	125	141
1700028B04Rik	2	5	5	3	3	3	13	10	1
1700028J19Rik	2	9	10	7	6	8	10	7	2
1700028K03Rik	12	24	11	6	11	22	60	17	9
1700028P14Rik	0	0	0	0	0	0	0	0	0
1700029F12Rik	1	7	5	2	1	0	7	2	4
1700029H14Rik	0	0	0	0	0	1	0	0	0
1700029I15Rik	45	66	51	49	47	78	115	46	29
1700029J07Rik	155	373	393	218	239	213	767	351	318
1700029P11Rik	0	0	1	0	1	0	0	2	0
1700030C10Rik	44	82	60	34	49	99	152	84	61
1700030J22Rik	15	45	44	29	18	54	52	32	28
1700030K09Rik	235	380	301	274	312	459	595	354	213
1700031F05Rik	0	0	0	0	1	0	2	1	0
1700031M16Rik	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0
1700034I23Rik	1	8	16	2	5	1	13	3	3
1700034J05Rik	0	2	1	1	2	0	5	2	0
1700034O15Rik	0	0	0	0	0	0	0	0	0
1700037C18Rik	203	339	274	222	238	499	404	454	232
1700037H04Rik	380	621	438	379	401	531	665	573	346
1700039E15Rik	0	1	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0
1700040L02Rik	68	101	107	71	60	44	167	131	89
1700042G07Rik	0	0	0	0	0	0	0	0	0
1700047I17Rik2	226	499	439	281	390	759	781	468	457
1700048O20Rik	9	13	9	9	8	3	18	9	9
1700049E17Rik1	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	14	2	0	0
1700049G17Rik	105	334	331	134	253	167	699	229	218
1700049L16Rik	0	0	0	0	0	0	0	0	0
1700056E22Rik	49	94	65	38	99	93	110	117	57
1700057G04Rik	4	6	9	6	6	14	17	3	7
1700061G19Rik	5	26	28	11	20	21	35	13	16
1700063K16Rik	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	1	3	0	4	0	3	1	0
1700065I16Rik	0	0	0	0	0	0	0	0	0
1700066B19Rik	10	17	17	8	5	15	36	8	12
1700066M21Rik	170	248	276	182	203	114	484	325	252
1700067K01Rik	6	25	26	25	10	39	33	34	17
1700067P10Rik	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	1	0	0
1700073E17Rik	0	0	0	1	1	0	2	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0
1700084J12Rik	2	2	2	6	2	0	5	4	1
1700084M14Rik	0	0	0	0	0	0	1	0	0
1700086D15Rik	0	0	0	0	0	4	0	2	0
1700086L19Rik	402	582	571	339	424	413	1170	863	486
1700088E04Rik	154	202	209	133	165	240	313	320	164
1700091H14Rik	0	0	0	0	0	0	0	0	0
1700092M07Rik	4	4	0	4	4	10	16	3	4
1700093K21Rik	6	8	18	9	13	10	27	8	9
1700102P08Rik	13	46	32	26	22	19	51	20	22
1700109H08Rik	25	87	51	45	69	15	130	55	38
1700110I07Rik	0	0	0	0	0	0	0	0	0
1700112E06Rik	5	10	17	0	5	7	10	10	10
1700113H08Rik	1	0	3	0	0	7	1	3	0
1700122O11Rik	0	0	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	2	2	2	0
1700123K08Rik	1	1	0	0	0	0	3	3	0
1700123L14Rik	3	1	0	0	3	0	1	1	2
1700123O20Rik	267	339	395	242	333	388	693	465	354
1700125H20Rik	1	2	0	0	0	0	0	1	0
1700128F08Rik	23	45	51	24	47	27	75	38	26
1700129C05Rik	0	0	0	0	0	0	0	1	0
1810009A15Rik	139	200	251	166	186	322	481	337	224
1810009J06Rik	0	0	0	1	1	0	1	17	0
1810010H24Rik	171	325	218	186	151	350	366	319	181
1810011H11Rik	2	3	3	4	2	3	4	3	8
1810011O10Rik	85	114	135	111	140	133	263	143	120
1810013L24Rik	635	1423	1267	789	955	869	2538	1152	966
1810018F18Rik	0	0	1	1	2	1	8	1	8
1810022K09Rik	185	280	421	220	316	148	663	536	444
1810024B03Rik	26	42	66	20	37	36	102	105	45
