	GSM4253927	GSM4253928	GSM4253929	GSM4253930	GSM4253931	GSM4253932	GSM4253933	GSM4253934	GSM4253935	GSM4253936	GSM4253937	GSM4253938	GSM4253939	GSM4253940	GSM4253941	GSM4253942	GSM4253943	GSM4253944
A1BG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
A1BG-AS1	0	0	0	0	0	0	0	2	6	0	0	4	1	0	0	0	8	0
A1CF	170	97	223	92	39	88	46	183	92	112	0	156	37	27	99	59	198	56
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	21	46	89	60	10	20	2	36	13	31	26	81	49	8	31	28	65	39
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	46	75	15	58	26	36	57	5	37	26	14	22	54	69	54	80	38	36
AACS	196	103	180	68	146	290	217	167	125	120	61	54	70	121	174	261	153	72
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	43	7	36	2	0	20	5	31	0	15	0	17	0	6	1	15	24	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	3	37	0	0	4	0	1	0	0	2	0	3	8	0	0	1
AAGAB	72	104	94	86	85	92	99	174	62	79	9	102	97	82	67	163	122	152
AAK1	144	109	161	38	49	40	67	87	91	156	71	65	38	29	90	44	217	79
AAMDC	7	2	4	6	0	0	0	19	3	16	6	1	4	0	7	2	0	8
AAMP	157	160	113	65	81	125	55	139	171	198	125	65	174	71	120	136	127	51
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	39	98	2	34	34	9	51	43	69	40	15	18	78	57	36	38	40	20
AARD	0	4	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0
AARS1	166	125	80	128	43	95	174	68	195	144	179	26	161	97	96	125	75	172
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	47	78	47	43	0	25	11	0	0	10	7	0	18	15	6	6	39	13
AARSD1	0	22	0	12	49	33	7	64	22	54	21	0	14	33	9	20	27	23
AARSD1P1	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0
AASDH	20	62	47	28	26	38	29	36	9	13	37	0	12	36	47	9	31	0
AASDHPPT	24	51	40	75	7	91	78	41	46	70	20	21	110	21	45	37	62	68
AASS	26	13	4	24	35	19	36	7	0	0	0	1	28	47	15	3	10	18
AATBC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	8	42	61	64	78	50	83	80	81	8	45	15	53	63	55	86	23	41
AATK	85	65	112	41	27	13	17	69	23	48	15	20	21	39	24	32	80	32
ABALON	0	0	0	0	0	32	0	0	0	6	0	0	0	0	0	0	0	0
ABAT	12	4	17	22	27	18	56	18	16	22	12	9	8	84	60	50	22	24
ABCA1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA10	20	0	0	0	12	0	0	3	0	0	0	4	0	0	0	0	17	10
ABCA11P	0	5	0	0	0	0	0	4	0	0	0	8	12	15	1	0	0	0
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCA2	233	395	204	130	151	255	167	131	307	242	279	151	268	159	241	253	204	189
ABCA3	64	95	23	80	47	99	82	63	70	45	78	46	158	54	121	98	44	110
ABCA3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
ABCA5	80	30	52	32	47	9	56	69	13	59	55	38	65	35	52	41	40	31
ABCA6	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ABCA7	63	40	69	50	27	39	4	74	72	63	70	34	38	25	12	25	72	1
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABCA9	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	1
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	129	63	123	118	17	89	126	95	74	29	26	133	51	76	126	149	161	80
ABCB10	41	44	85	29	60	68	89	142	24	94	11	34	29	49	41	137	92	26
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	45	22	50	0	0	16	0	2	0	13	0	32	6	0	18	10	44	2
ABCB4	6	1	5	0	6	10	10	0	5	9	0	0	0	0	0	0	1	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	67	39	6	8	51	25	16	0	25	20	13	8	8	71	0	25	23
ABCB7	1	47	24	45	69	74	37	56	61	20	2	11	11	40	57	42	22	66
ABCB8	39	14	9	14	18	46	23	38	23	0	28	8	63	31	4	71	55	43
ABCB9	17	4	13	3	6	10	0	0	2	0	0	0	8	34	0	1	2	15
ABCC1	40	40	46	62	101	117	123	123	176	72	105	33	216	108	186	56	117	100
ABCC10	19	51	19	30	9	32	26	54	50	18	22	27	8	14	23	50	19	0
ABCC11	0	0	11	0	0	0	0	3	0	0	2	0	0	0	0	0	0	23
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ABCC13	24	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	8	0
ABCC2	1	14	44	9	0	48	88	78	1	13	0	32	16	2	0	23	30	29
ABCC3	787	519	567	340	559	579	353	489	442	537	344	301	328	421	213	330	532	330
