	GSM3972712	GSM3972713	GSM3972714	GSM3972715	GSM3972716	GSM3972717
0610007P14Rik	58	79	91	96	87	103
0610009B22Rik	580	543	778	430	363	637
0610009L18Rik	298	255	318	221	285	298
0610009O20Rik	1602	1984	1846	1514	1408	1918
0610010F05Rik	1335	1351	1474	985	761	1272
0610010K14Rik	119	142	136	96	145	137
0610011F06Rik	543	527	625	453	398	555
0610012G03Rik	1257	1429	1452	1342	1186	1827
0610030E20Rik	298	404	394	424	446	420
0610037L13Rik	968	912	944	769	772	1034
0610040J01Rik	157	192	164	103	167	206
1110001J03Rik	1116	1160	1045	1105	815	1458
1110002E22Rik	2523	4139	3071	3260	4139	3071
1110004E09Rik	477	440	520	327	286	472
1110004F10Rik	1257	1216	1536	1033	993	1389
1110008F13Rik	1551	1459	1624	1493	1110	1762
1110008L16Rik	398	392	547	340	269	423
1110008P14Rik	264	243	353	286	264	284
1110012L19Rik	645	535	766	443	372	608
1110017D15Rik	1	0	1	2	8	1
1110025L11Rik	0	0	0	0	0	0
1110032A03Rik	318	301	407	351	243	332
1110032F04Rik	0	2	0	3	4	4
1110034G24Rik	168	162	147	145	136	196
1110037F02Rik	922	1151	1270	1178	1106	1102
1110038F14Rik	208	221	260	186	169	267
1110051M20Rik	796	675	1005	654	795	574
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	262	293	338	279	221	339
1110059G10Rik	135	136	132	141	89	144
1110065P20Rik	372	374	417	360	272	438
1190002N15Rik	147	216	184	302	274	335
1190003K10Rik	6	66	2	22	6	36
1190005I06Rik	8	17	19	74	11	29
1190007I07Rik	638	616	609	485	418	755
1300017J02Rik	13	13	10	19	16	9
1500009C09Rik	1	3	3	1	2	2
1500009L16Rik	11	22	8	31	33	23
1500011B03Rik	25	32	32	36	24	27
1500011K16Rik	1792	1538	2067	1250	1065	1858
1500015O10Rik	60	77	43	38	962	115
1520401A03Rik	1	1	0	1	1	1
1600002H07Rik	45	55	53	70	71	62
1600002K03Rik	66	64	115	68	69	69
1600012H06Rik	336	362	393	389	351	370
1600014C10Rik	894	1100	1301	1277	739	1251
1600014C23Rik	1	5	3	2	0	2
1600015I10Rik	0	0	0	0	2	2
1600029O15Rik	6	10	15	19	19	13
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	4	9	10	5	9	7
1700001F09Rik	0	0	0	0	0	0
1700001J03Rik	5	3	5	2	6	0
1700001J11Rik	15	16	15	19	23	19
1700001K19Rik	7	7	15	11	25	8
1700001L19Rik	1	1	8	2	4	7
1700001O22Rik	225	119	436	8	34	21
1700001P01Rik	1	0	0	0	1	0
1700003E16Rik	0	2	2	3	10	3
1700003F12Rik	2	1	1	1	6	0
1700003H04Rik	0	0	0	0	2	0
1700003N22Rik	0	1	0	0	0	2
1700006A11Rik	0	0	0	0	0	2
1700006E09Rik	5	2	0	6	8	2
1700007B14Rik	4	2	0	4	9	2
1700007E05Rik	16	32	30	34	53	18
1700007G11Rik	0	0	0	0	0	0
1700007K09Rik	0	0	0	0	1	1
1700007K13Rik	0	1	2	1	2	2
1700008O03Rik	9	10	21	14	14	6
1700008P02Rik	0	0	0	0	1	0
1700009N14Rik	0	0	0	0	5	0
1700010B08Rik	0	0	0	1	2	0
1700010I14Rik	6	4	2	3	12	5
1700010N08Rik	0	1	0	0	2	2
1700011E24Rik	1	0	0	0	7	0
1700011H14Rik	5	6	10	8	12	2
1700011I03Rik	3	5	9	10	5	5
1700011L22Rik	0	1	0	1	1	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	4	1
1700012B07Rik	0	0	0	0	2	2
1700012B09Rik	0	0	0	0	3	0
1700012L04Rik	5	5	0	0	3	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	2	0	0	0	2	0
1700013F07Rik	0	0	2	0	2	0
1700013G24Rik	2	0	0	0	1	4
1700013H16Rik	3	4	6	1	1	0
1700014D04Rik	1	3	1	1	1	2
1700015E13Rik	0	1	2	1	8	1
1700015F17Rik	0	0	0	0	4	0
1700015G11Rik	0	0	0	0	4	0
1700016C15Rik	4	15	11	4	4	2
1700016D06Rik	17	28	18	36	48	15
1700016H13Rik	0	0	0	1	6	0
1700016K19Rik	0	0	0	0	1	1
1700017B05Rik	84	127	84	122	129	105
1700017D01Rik	2	1	1	4	12	6
1700017N19Rik	0	0	0	0	2	0
1700018B08Rik	0	0	0	0	5	0
1700018C11Rik	0	2	5	2	7	0
1700018F24Rik	0	0	0	0	1	0
1700018M17Rik	3	1	3	2	2	7
1700019A02Rik	0	0	1	0	4	0
1700019B03Rik	0	0	2	1	3	3
1700019D03Rik	63	106	84	88	136	114
1700019M22Rik	0	0	0	0	6	0
1700019N19Rik	0	1	0	1	7	2
1700019O17Rik	0	0	1	0	1	1
1700020A23Rik	1	0	0	1	2	0
1700020D05Rik	3	7	7	10	11	5
1700020L24Rik	2	9	16	21	14	17
1700020N01Rik	3	0	1	0	2	0
1700020N15Rik	0	0	0	0	0	0
1700021F05Rik	1109	1217	1014	960	679	1327
1700021F07Rik	0	0	0	0	2	1
1700022A21Rik	0	0	0	0	3	0
1700022I11Rik	7	19	24	27	34	8
1700023F06Rik	0	0	0	0	5	1
1700024B05Rik	0	0	0	0	1	5
1700024G13Rik	0	0	0	0	0	0
1700024J04Rik	7	16	17	12	17	6
1700024P04Rik	0	0	0	0	3	1
1700024P16Rik	14	11	31	22	18	7
1700025B11Rik	0	0	1	1	0	1
1700025C18Rik	1	1	0	8	3	1
1700025F22Rik	0	0	0	1	1	0
1700025G04Rik	2887	3450	3946	2502	2998	3276
1700028B04Rik	8	4	5	7	7	1
1700028J19Rik	5	4	0	2	11	4
1700028K03Rik	17	17	19	24	26	11
1700028P14Rik	0	0	0	0	0	0
1700029F12Rik	0	2	1	2	9	2
1700029H14Rik	0	1	1	2	10	2
1700029I15Rik	11	14	15	27	9	19
1700029J07Rik	18	12	39	31	44	18
1700029P11Rik	0	0	0	0	0	1
1700030C10Rik	4	15	5	3	5	6
1700030J22Rik	2	3	1	3	9	5
1700030K09Rik	135	148	161	115	119	151
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	6	0
1700034E13Rik	0	0	0	0	2	0
1700034I23Rik	9	21	15	47	49	5
1700034J05Rik	15	25	50	43	60	18
1700034O15Rik	0	0	0	0	4	1
1700037C18Rik	38	58	52	67	68	55
1700037H04Rik	53	95	87	266	105	101
1700039E15Rik	0	0	0	0	6	3
1700040F15Rik	0	0	0	0	0	0
1700040L02Rik	1	11	0	8	4	4
1700042G07Rik	0	0	0	0	4	0
1700047I17Rik2	101	110	141	145	128	101
1700048O20Rik	13	25	22	35	59	18
1700049E17Rik1	0	0	0	1	0	0
1700049E17Rik2	0	1	1	0	0	0
1700049G17Rik	215	285	336	307	257	262
1700049L16Rik	0	0	0	0	3	0
1700056E22Rik	3	9	3	4	6	7
1700057G04Rik	8	15	16	18	22	9
1700061G19Rik	1	2	0	1	2	1
1700063K16Rik	0	0	0	0	0	0
1700064H15Rik	1	1	3	5	4	5
1700065I16Rik	0	0	0	0	0	0
1700066B19Rik	9	10	14	17	10	15
1700066M21Rik	150	180	225	200	141	226
1700067K01Rik	11	27	23	17	27	17
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	2
1700071K01Rik	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	1	1
1700074P13Rik	0	0	0	0	5	1
1700080E11Rik	0	0	0	0	3	0
1700080O16Rik	0	0	0	0	2	0
1700084J12Rik	1	15	5	13	11	9
1700084M14Rik	0	0	0	0	5	1
1700086D15Rik	2	4	6	6	6	6
1700086L19Rik	0	0	0	0	1	0
1700088E04Rik	33	38	33	50	56	28
1700091H14Rik	0	0	0	0	0	0
1700092M07Rik	0	2	0	0	6	4
1700093K21Rik	2	0	4	3	7	2
1700102P08Rik	10	5	8	13	10	8
1700109H08Rik	66	94	155	137	162	58
1700110I07Rik	0	0	0	0	0	0
1700112E06Rik	38	48	55	51	33	50
1700113H08Rik	38	47	65	23	32	47
1700122O11Rik	0	0	0	0	0	0
1700123I01Rik	0	0	2	2	2	0
1700123K08Rik	2	1	0	0	0	2
1700123L14Rik	0	1	1	1	10	2
1700123O20Rik	200	202	169	202	176	249
1700125H20Rik	0	0	1	1	2	0
1700128F08Rik	64	97	105	101	86	151
1700129C05Rik	0	1	0	2	7	1
1810009A15Rik	198	175	228	201	181	280
1810009J06Rik	0	0	0	0	0	0
1810010H24Rik	16	10	18	15	9	17
1810011H11Rik	2	6	3	27	5	9
1810011O10Rik	853	1251	768	1331	728	1178
1810013L24Rik	1749	2132	2459	1845	1711	1942
1810018F18Rik	7	2	9	3	8	5
1810022K09Rik	392	384	408	279	282	449
1810024B03Rik	17	18	19	18	23	20
1810026J23Rik	1442	1497	1627	1203	1000	1439
1810030O07Rik	393	428	452	448	424	471
1810032O08Rik	48	84	103	108	68	72
1810037I17Rik	421	446	477	430	348	567
1810041L15Rik	11	18	8	11	7	8
1810043G02Rik	130	159	187	197	187	184
1810043H04Rik	176	219	210	150	173	245
1810046K07Rik	0	1	1	1	0	1
1810049J17Rik	114	113	220	98	113	132
1810055G02Rik	49	56	39	45	76	61
1810062G17Rik	3	2	2	6	6	4
1810065E05Rik	0	0	1	0	0	0
2010001K21Rik	0	0	0	0	1	2
2010003K11Rik	2	9	7	48	4	24
2010005H15Rik	0	0	3	3	5	2
2010010A06Rik	1	1	0	0	2	1
2010106E10Rik	1	0	1	0	2	1
2010107E04Rik	4212	4405	4623	3782	2608	5455
2010107G12Rik	7	10	5	11	13	7
2010107G23Rik	27	19	21	42	28	34
2010109A12Rik	1	6	5	4	6	6
2010109I03Rik	92	177	190	156	153	98
2010111I01Rik	1362	2080	1348	1593	1816	1805
2010300C02Rik	11	12	8	8	12	12
2010315B03Rik	207	203	261	244	191	233
2200002D01Rik	9	12	6	8	14	21
2200002J24Rik	0	0	0	0	0	0
2210010C04Rik	10	14	13	10	30	9
2210011C24Rik	80	58	75	36	33	55
2210013O21Rik	111	118	131	112	81	124
2210016F16Rik	357	419	414	519	414	581
2210016L21Rik	227	268	290	210	244	279
2210017I01Rik	12	7	12	9	9	5
2210404O09Rik	54	70	79	59	43	84
2210407C18Rik	0	1	0	1	6	2
2210408I21Rik	172	212	257	173	157	209
2210409E12Rik	0	0	0	0	0	0
2210418O10Rik	576	684	799	648	510	641
2300002M23Rik	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0
2300009A05Rik	144	206	142	174	148	234
2310002L09Rik	5999	6501	6232	4936	3210	6984
2310003L06Rik	0	1	1	0	0	0
2310007B03Rik	0	0	0	0	1	1
2310009B15Rik	167	167	217	180	158	225
2310011J03Rik	191	262	256	317	228	278
2310022A10Rik	253	355	360	344	459	363
2310022B05Rik	86	189	112	129	233	145
2310030G06Rik	44	65	16	83	36	84
2310033P09Rik	30	45	26	37	40	50
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik	8	11	12	11	13	15
2310035C23Rik	633	752	896	765	694	723
2310036O22Rik	1076	1170	1352	1049	971	1363
2310039H08Rik	296	297	343	331	338	463
2310046K23Rik	0	0	0	0	0	0
