	GSM4072022
0610007P14Rik	291
0610009B22Rik	275
0610009L18Rik	89
0610009O20Rik	1337
0610010F05Rik	837
0610010K14Rik	180
0610011F06Rik	392
0610012G03Rik	1523
0610030E20Rik	916
0610037L13Rik	769
0610040J01Rik	31
1110001J03Rik	891
1110002E22Rik	713
1110004E09Rik	427
1110004F10Rik	1232
1110008F13Rik	2893
1110008L16Rik	337
1110008P14Rik	1277
1110012L19Rik	270
1110017D15Rik	4
1110025L11Rik	1
1110032A03Rik	918
1110032F04Rik	4
1110034G24Rik	164
1110037F02Rik	1930
1110038F14Rik	261
1110051M20Rik	461
1110057P08Rik	0
1110059E24Rik	335
1110059G10Rik	181
1110065P20Rik	420
1190002N15Rik	765
1190003K10Rik	0
1190005I06Rik	422
1190007I07Rik	246
1300017J02Rik	26
1500009C09Rik	0
1500009L16Rik	11
1500011B03Rik	114
1500011K16Rik	619
1500015O10Rik	12
1520401A03Rik	13
1600002H07Rik	166
1600002K03Rik	84
1600012H06Rik	575
1600014C10Rik	2700
1600014C23Rik	1
1600015I10Rik	1
1600029O15Rik	21
1700001C02Rik	1
1700001C19Rik	5
1700001F09Rik	0
1700001J03Rik	5
1700001J11Rik	27
1700001K19Rik	20
1700001L19Rik	1
1700001O22Rik	17
1700001P01Rik	1
1700003E16Rik	17
1700003F12Rik	18
1700003H04Rik	0
1700003N22Rik	0
1700006A11Rik	0
1700006E09Rik	7
1700007B14Rik	2
1700007E05Rik	117
1700007G11Rik	3
1700007K09Rik	0
1700007K13Rik	1
1700008O03Rik	5
1700008P02Rik	0
1700009N14Rik	0
1700010B08Rik	0
1700010I14Rik	42
1700010N08Rik	0
1700011E24Rik	2
1700011H14Rik	15
1700011I03Rik	0
1700011L22Rik	3
1700011M02Rik	4
1700012A03Rik	0
1700012B07Rik	0
1700012B09Rik	0
1700012L04Rik	0
1700012P22Rik	0
1700013D24Rik	0
1700013F07Rik	1
1700013G24Rik	0
1700013H16Rik	0
1700014D04Rik	1
1700015E13Rik	7
1700015F17Rik	0
1700015G11Rik	0
1700016C15Rik	1
1700016D06Rik	31
1700016H13Rik	1
1700016K19Rik	1
1700017B05Rik	713
1700017D01Rik	3
1700017N19Rik	0
1700018B08Rik	0
1700018C11Rik	0
1700018F24Rik	0
1700018M17Rik	7
1700019A02Rik	1
1700019B03Rik	6
1700019D03Rik	90
1700019M22Rik	0
1700019N19Rik	2
1700019O17Rik	0
1700020A23Rik	2
1700020D05Rik	19
1700020L24Rik	157
1700020N01Rik	0
1700020N15Rik	0
1700021F05Rik	901
1700021F07Rik	0
1700022A21Rik	0
1700022I11Rik	62
1700023F06Rik	0
1700024B05Rik	1
1700024G13Rik	0
1700024J04Rik	45
1700024P04Rik	2
1700024P16Rik	12
1700025B11Rik	3
1700025C18Rik	3
1700025F22Rik	0
1700025G04Rik	803
1700028B04Rik	4
1700028J19Rik	7
1700028K03Rik	67
1700028P14Rik	0
1700029F12Rik	6
1700029H14Rik	6
1700029I15Rik	113
1700029J07Rik	99
1700029P11Rik	0
1700030C10Rik	43
1700030J22Rik	17
1700030K09Rik	251
1700031F05Rik	0
1700031M16Rik	0
1700034E13Rik	0
1700034I23Rik	33
1700034J05Rik	163
1700034O15Rik	0
1700037C18Rik	173
1700037H04Rik	7318
1700039E15Rik	5
1700040F15Rik	0
1700040L02Rik	24
1700042G07Rik	0
1700047I17Rik2	513
1700048O20Rik	38
1700049E17Rik1	0
1700049E17Rik2	1
1700049G17Rik	394
1700049L16Rik	1
1700056E22Rik	72
1700057G04Rik	28
1700061G19Rik	7
1700063K16Rik	0
1700064H15Rik	2
1700065I16Rik	0
1700066B19Rik	22
1700066M21Rik	197
1700067K01Rik	42
1700067P10Rik	0
1700069L16Rik	0
1700071K01Rik	0
1700073E17Rik	1
1700074P13Rik	0
1700080E11Rik	0
1700080O16Rik	0
1700084J12Rik	23
1700084M14Rik	0
1700086D15Rik	4
1700086L19Rik	0
1700088E04Rik	65
1700091H14Rik	0
1700092M07Rik	1
1700093K21Rik	2
1700102P08Rik	10
1700109H08Rik	196
1700110I07Rik	0
1700112E06Rik	214
1700113H08Rik	3
1700122O11Rik	0
1700123I01Rik	10
1700123K08Rik	1
1700123L14Rik	5
1700123O20Rik	522
1700125H20Rik	0
1700128F08Rik	142
1700129C05Rik	0
1810009A15Rik	334
1810009J06Rik	0
1810010H24Rik	58
1810011H11Rik	63
1810011O10Rik	1935
1810013L24Rik	2370
1810018F18Rik	13
1810022K09Rik	405
1810024B03Rik	39
1810026J23Rik	1200
1810030O07Rik	928
1810032O08Rik	144
1810037I17Rik	465
1810041L15Rik	33
1810043G02Rik	911
1810043H04Rik	283
1810046K07Rik	3
1810049J17Rik	461
1810055G02Rik	179
1810062G17Rik	22
1810065E05Rik	0
2010001K21Rik	0
2010003K11Rik	862
2010005H15Rik	5
2010010A06Rik	3
2010106E10Rik	0
2010107E04Rik	2203
2010107G12Rik	9
2010107G23Rik	144
2010109A12Rik	7
2010109I03Rik	349
2010111I01Rik	1331
2010300C02Rik	47
2010315B03Rik	282
2200002D01Rik	79
2200002J24Rik	0
2210010C04Rik	13
2210011C24Rik	14
2210013O21Rik	289
2210016F16Rik	1232
2210016L21Rik	429
2210017I01Rik	12
2210404O09Rik	120
2210407C18Rik	1
2210408I21Rik	204
2210409E12Rik	0
2210418O10Rik	569
2300002M23Rik	0
2300003K06Rik	0
2300009A05Rik	420
2310002L09Rik	247
2310003L06Rik	0
2310007B03Rik	0
2310009B15Rik	151
2310011J03Rik	692
2310022A10Rik	424
2310022B05Rik	497
2310030G06Rik	57
2310033P09Rik	148
2310034C09Rik	0
2310034G01Rik	13
2310035C23Rik	1393
2310036O22Rik	1159
2310039H08Rik	406
2310046K23Rik	0
2310050C09Rik	0
2310057J18Rik	0
2310057M21Rik	487
2310057N15Rik	0
2310061I04Rik	412
2310061N02Rik	0
2310079G19Rik	0
2410002F23Rik	676
2410004B18Rik	267
2410004P03Rik	131
2410015M20Rik	1638
2410016O06Rik	171
2410024N13Rik	11
2410089E03Rik	996
2410131K14Rik	1802
2410137M14Rik	1
2410141K09Rik	8
2510002D24Rik	260
2510009E07Rik	1111
2510039O18Rik	1588
2610001J05Rik	253
2610002M06Rik	405
2610005L07Rik	1439
2610008E11Rik	554
2610020H08Rik	264
2610021A01Rik	308
2610024D14Rik	8
2610028H24Rik	12
2610042L04Rik	5
2610044O15Rik8	621
2610301B20Rik	229
2610305D13Rik	325
2610318N02Rik	10
2610507B11Rik	13200
2610524H06Rik	196
2610528A11Rik	5
2610528J11Rik	18
2700029M09Rik	315
2700049A03Rik	427
2700060E02Rik	1694
2700062C07Rik	184
2700081O15Rik	1399
2700094K13Rik	250
2700097O09Rik	334
2700099C18Rik	17
2810004N23Rik	584
2810006K23Rik	337
2810021J22Rik	115
2810025M15Rik	211
2810039B14Rik	151
2810047C21Rik1	51
2810403A07Rik	1927
2810408A11Rik	41
2810417H13Rik	235
2810428I15Rik	1331
2810459M11Rik	15
2810474O19Rik	3485
2900011O08Rik	1
2900026A02Rik	1293
2900055J20Rik	0
2900092C05Rik	0
3000002C10Rik	90
3010026O09Rik	59
3100002H09Rik	0
3110001I22Rik	163
3110002H16Rik	990
3110009E18Rik	41
3110018I06Rik	0
3110021N24Rik	31
3110035E14Rik	17
3110040N11Rik	262
3110043O21Rik	1324
3110052M02Rik	82
3110053B16Rik	68
3110062M04Rik	586
3110067C02Rik	13
3110070M22Rik	11
3110079O15Rik	3
3110082I17Rik	158
3110082J24Rik	0
3300002I08Rik	79
3425401B19Rik	1263
3632451O06Rik	100
3830403N18Rik	3
3830406C13Rik	579
3830408C21Rik	6
3830417A13Rik	3
4430402I18Rik	164
4833418N17Rik	0
4833420G17Rik	665
4833423E24Rik	1
4833427G06Rik	0
4833439L19Rik	3619
4921501E09Rik	0
4921504E06Rik	0
4921507P07Rik	37
4921508M14Rik	0
4921509C19Rik	2
4921511C20Rik	0
4921511H03Rik	7
4921511M17Rik	0
4921513D11Rik	21
4921513I03Rik	25
4921517D22Rik	4
4921524J17Rik	184
4921524L21Rik	0
4921528I07Rik	6
4921530L21Rik	0
4921536K21Rik	33
4921539E11Rik	0
4922502D21Rik	0
4930402F06Rik	1
4930402H24Rik	7262
4930402K13Rik	0
4930404H24Rik	0
4930404N11Rik	83
4930407I10Rik	0
4930408O17Rik	0
4930412O13Rik	26
4930415F15Rik	5
4930415H17Rik	0
4930415L06Rik	0
4930415O20Rik	10
4930421P07Rik	0
4930426L09Rik	4
4930427A07Rik	73
4930430A15Rik	0
4930430F08Rik	275
4930431P19Rik	70
4930432E11Rik	0
4930432K21Rik	13
4930432M17Rik	1
4930433I11Rik	0
4930435E12Rik	0
4930438A08Rik	4
4930442H23Rik	10
4930444G20Rik	2
4930444P10Rik	24
4930447A16Rik	6
4930447C04Rik	62
4930447F04Rik	0
4930448K20Rik	0
4930449A18Rik	1
4930449I24Rik	0
4930451G09Rik	44
4930451I11Rik	0
4930452B06Rik	3
4930453N24Rik	1284
4930455H04Rik	1
4930465K10Rik	12
4930467E23Rik	0
4930469B13Rik	2
4930470P17Rik	0
4930474N05Rik	8
4930480E11Rik	0
4930486L24Rik	21
4930488N24Rik	0
4930502E18Rik	5
4930503B20Rik	2
4930503E14Rik	0
4930503H13Rik	0
4930503L19Rik	262
4930504O13Rik	0
4930505A04Rik	3
4930507D05Rik	23
4930512M02Rik	166
4930513O06Rik	0
4930515G13Rik	0
4930515G16Rik	0
4930516K23Rik	0
4930518I15Rik	59
4930519F09Rik	1
4930519F16Rik	0
4930519G04Rik	21
4930519P11Rik	1
4930522H14Rik	0
4930522L14Rik	111
4930523C07Rik	1113
4930524B15Rik	0
4930524J08Rik	2
4930524N10Rik	0
4930526A20Rik	29
4930529C04Rik	36
4930533K18Rik	3
4930533O14Rik	1013
4930535I16Rik	30
4930538K18Rik	5
4930539E08Rik	162
4930544D05Rik	3
4930544G11Rik	0
4930546C10Rik	0
4930548H24Rik	35
4930549C01Rik	0
4930550C14Rik	3
4930550L24Rik	0
4930553M12Rik	0
4930555G01Rik	0
4930555K19Rik	0
4930556J24Rik	4
4930557A04Rik	0
4930558C23Rik	0
4930558K02Rik	0
4930562C15Rik	52
4930563D23Rik	4
4930563I02Rik	2
4930563M21Rik	4
4930564D02Rik	0
4930567H17Rik	0
4930568D16Rik	0
4930572O03Rik	0
4930578C19Rik	336
4930578G10Rik	45
4930578I06Rik	0
4930579F01Rik	1
4930579G24Rik	77
4930583I09Rik	0
4930590J08Rik	65
4930595D18Rik	10
4930595M18Rik	0
4930596D02Rik	0
4931400O07Rik	0
4931406B18Rik	18
4931406C07Rik	4781
4931406P16Rik	2996
4931408C20Rik	0
4931409K22Rik	0
4931414P19Rik	169
4931417E11Rik	0
4931422A03Rik	71
4931423N10Rik	5
4931428F04Rik	112
4931428L18Rik	12
4931429L15Rik	6
4931431F19Rik	0
4931440F15Rik	22
4931440P22Rik	230
4932411E22Rik	7
4932411N23Rik	9
4932414N04Rik	36
4932415D10Rik	0
4932416K20Rik	8
4932429P05Rik	0
4932431P20Rik	0
4932438A13Rik	6264
4932438H23Rik	40
4932443I19Rik	33
4933400A11Rik	26
4933401B06Rik	0
4933402D24Rik	0
4933402E13Rik	0
4933402J07Rik	0
4933402N03Rik	1
4933402N22Rik	2
4933402P03Rik	2
4933403O08Rik	0
4933405L10Rik	1
4933405O20Rik	1
4933406J08Rik	0
4933406M09Rik	3
4933406P04Rik	30
4933407L21Rik	21
4933408B17Rik	28
4933408J17Rik	7
4933409G03Rik	0
4933411G06Rik	0
4933411K16Rik	25
4933412A08Rik	23
4933412E24Rik	1
4933413G19Rik	0
4933414I15Rik	0
4933415A04Rik	7
4933415F23Rik	1
4933416C03Rik	1
4933416E14Rik	0
4933416I08Rik	0
4933417A18Rik	1
4933417G07Rik	7
4933421I07Rik	2
4933424G06Rik	2
4933425L06Rik	0
4933427D14Rik	264
4933427G17Rik	25
4933427G23Rik	5
4933427I04Rik	214
4933428G20Rik	32
4933428M09Rik	0
4933430I17Rik	6
4933434E20Rik	1615
4933436I01Rik	0
5031410I06Rik	0
5031414D18Rik	60
5031439G07Rik	3157
5033404E19Rik	0
5033423K11Rik	0
5330417C22Rik	84
5330417H12Rik	28
5330438D12Rik	85
5430401F13Rik	0
5430402E10Rik	0
5430403G16Rik	111
5430416O09Rik	615
5430419D17Rik	1
5430427O19Rik	98
5530400C23Rik	0
5530401A14Rik	11
5730409E04Rik	520
5730416F02Rik	0
5730455P16Rik	1315
5730480H06Rik	769
5730507C01Rik	233
5730508B09Rik	554
5730522E02Rik	3
5730559C18Rik	6
5730596B20Rik	54
5830411N06Rik	4
5830417I10Rik	973
5830454E08Rik	43
5830473C10Rik	0
5930422O12Rik	9
6030419C18Rik	318
6030445D17Rik	36
6030452D12Rik	0
6030458C11Rik	682
6030468B19Rik	4
6030469F06Rik	1
6030498E09Rik	0
6330403A02Rik	62
6330408A02Rik	351
6330409D20Rik	52
6330416G13Rik	1213
6330549D23Rik	66
6430531B16Rik	17
6430548M08Rik	640
6430550D23Rik	103
6430571L13Rik	546
6430573F11Rik	142
6430628N08Rik	0
6720489N17Rik	94
6820408C15Rik	14
6820431F20Rik	1891
7420426K07Rik	0
7420461P10Rik	0
7530416G11Rik	9
7530428D23Rik	25
8030411F24Rik	0
8030423J24Rik	0
8030462N17Rik	894
8030474K03Rik	0
8430408G22Rik	748
9030612E09Rik	23
9030617O03Rik	772
9030619P08Rik	23
9030624G23Rik	123
9030624J02Rik	1954
9130008F23Rik	104
9130011E15Rik	404
9130019O22Rik	168
9130023H24Rik	252
9130204L05Rik	0
9130208D14Rik	61
9130213A22Rik	24
9130230L23Rik	117
9130401M01Rik	718
9130409I23Rik	9
9130409J20Rik	1
9230019H11Rik	11
9230102O04Rik	4
9230104L09Rik	4
9230104M06Rik	12
9230106D20Rik	2
9230109A22Rik	1
9230110C19Rik	67
9230110F15Rik	0
9230112D13Rik	0
9230113P08Rik	11
9330132A10Rik	18
9330151L19Rik	194
9330159F19Rik	374
9330161L09Rik	29
9330182L06Rik	5
9330182O14Rik	0
9430007A20Rik	0
9430015G10Rik	180
9430016H08Rik	1302
9430020K01Rik	2343
9430025C20Rik	70
9430038I01Rik	174
9430069I07Rik	1
9430076C15Rik	635
9430097D07Rik	4
9530002B09Rik	0
9530003J23Rik	1
9530053A07Rik	76
9530068E07Rik	2172
9530077C05Rik	9
9630041A04Rik	0
9830107B12Rik	9
9830147E19Rik	285
9930012K11Rik	23
9930021J03Rik	1296
9930022D16Rik	5
9930111J21Rik1	590
9930111J21Rik2	4614
A130006I12Rik	2
A130010J15Rik	193
A130051J06Rik	69
A130057D12Rik	0
A1bg	57
A1cf	0
A230046K03Rik	1852
A230050P20Rik	391
A230052G05Rik	1
A230065H16Rik	0
A230072I06Rik	0
A26c2	0
A2m	0
A330017A19Rik	36
A330044P14Rik	934
A330070K13Rik	0
A3galt2	8
A430005L14Rik	266
A430033K04Rik	315
A430060F13Rik	0
A430078G23Rik	217
A430089I19Rik	0
A430105I19Rik	700
A4galt	167
A4gnt	0
A530016L24Rik	8423
A530032D15Rik	146
