	GSM4305739	GSM4305740	GSM4305741	GSM4305742	GSM4305743	GSM4305744
0610007P14Rik	318	226	293	391	309	229
0610009B22Rik	990	789	862	870	846	715
0610009L18Rik	40	33	24	44	42	8
0610009O20Rik	1943	1770	1716	1858	1753	1442
0610010F05Rik	1376	1044	1185	1116	1029	1085
0610010K14Rik	300	256	239	383	325	265
0610011F06Rik	1101	758	786	787	848	760
0610012G03Rik	2520	2356	2444	2769	2926	2168
0610030E20Rik	2502	2186	1966	1940	1900	2038
0610037L13Rik	1351	1185	1166	1143	1241	1027
0610040J01Rik	4	4	3	9	0	1
1110001J03Rik	2218	1980	1941	2446	2672	2062
1110002E22Rik	101	15	26	24	76	13
1110004E09Rik	723	588	603	671	704	540
1110004F10Rik	1587	1329	1412	1530	1500	1255
1110008F13Rik	8367	6945	7430	8044	8904	6587
1110008L16Rik	715	652	671	571	556	479
1110008P14Rik	2044	1866	1801	2996	3283	1547
1110012L19Rik	476	409	411	450	480	400
1110017D15Rik	4	7	1	0	3	9
1110025L11Rik	0	0	0	0	0	0
1110032A03Rik	2761	2397	2151	2432	2348	2063
1110032F04Rik	4	0	2	0	0	0
1110034G24Rik	216	159	155	195	211	197
1110037F02Rik	1708	1377	1439	1374	1445	1458
1110038F14Rik	470	379	380	450	472	389
1110051M20Rik	224	157	145	199	166	164
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	573	512	515	511	510	473
1110059G10Rik	395	327	377	365	335	291
1110065P20Rik	794	669	684	797	816	580
1190002N15Rik	1297	1079	889	762	660	646
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	1663	1401	1345	1583	1524	1135
1190007I07Rik	632	607	560	585	517	544
1300017J02Rik	13	46	19	86	5	4
1500009C09Rik	0	0	0	1	0	0
1500009L16Rik	17	8	6	12	8	15
1500011B03Rik	48	53	43	52	77	55
1500011K16Rik	1251	977	910	1090	1117	808
1500015O10Rik	2	0	2	0	0	0
1520401A03Rik	2	4	3	4	2	2
1600002H07Rik	238	184	126	198	200	139
1600002K03Rik	114	84	142	108	158	101
1600012H06Rik	1006	812	838	846	877	692
1600014C10Rik	3843	2922	2621	3704	3034	2878
1600014C23Rik	2	2	4	7	3	0
1600015I10Rik	4	2	0	6	4	6
1600029O15Rik	45	101	25	124	102	22
1700001C02Rik	1	2	2	3	2	1
1700001C19Rik	0	2	9	20	0	12
1700001F09Rik	0	0	0	0	0	0
1700001J03Rik	11	11	7	20	18	4
1700001J11Rik	6	6	5	4	2	2
1700001K19Rik	12	14	8	8	10	5
1700001L19Rik	0	0	2	0	0	0
1700001O22Rik	16	5	7	21	12	4
1700001P01Rik	0	1	3	5	0	0
1700003E16Rik	47	42	53	34	33	22
1700003F12Rik	1	1	2	2	2	0
1700003H04Rik	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	2	2	0	0	1	1
1700007B14Rik	0	0	0	0	0	0
1700007E05Rik	13	12	30	13	23	7
1700007G11Rik	0	0	0	0	0	0
1700007K09Rik	0	0	2	1	0	0
1700007K13Rik	7	10	12	8	5	3
1700008O03Rik	8	47	7	11	10	6
1700008P02Rik	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0
1700010I14Rik	12	9	8	16	17	13
1700010N08Rik	1	0	0	2	0	0
1700011E24Rik	0	0	0	0	1	0
1700011H14Rik	13	10	5	15	1	6
1700011I03Rik	4	1	3	6	2	1
1700011L22Rik	3	3	7	6	4	8
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0
1700012B09Rik	1	0	0	0	0	0
1700012L04Rik	0	23	1	5	25	1
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	1	1	2	0	1	0
1700013F07Rik	0	2	0	4	3	0
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	2	0	0	0	0	0
1700014D04Rik	4	0	0	2	1	2
1700015E13Rik	1	1	0	0	5	0
1700015F17Rik	1	0	0	0	0	0
1700015G11Rik	0	1	0	0	0	0
1700016C15Rik	0	0	0	0	4	0
1700016D06Rik	12	9	7	13	23	7
1700016H13Rik	0	0	0	0	0	0
1700016K19Rik	0	0	2	0	0	0
1700017B05Rik	689	534	611	763	749	585
1700017D01Rik	0	20	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018B08Rik	0	1	0	3	0	2
1700018C11Rik	3	4	3	0	0	0
1700018F24Rik	0	24	0	14	12	17
1700018M17Rik	0	1	0	0	1	0
1700019A02Rik	1	1	0	0	2	0
1700019B03Rik	5	2	1	2	7	3
1700019D03Rik	42	33	52	30	40	24
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	0	4	0	0	0	0
1700019O17Rik	0	0	0	0	0	0
1700020A23Rik	1	0	2	0	0	5
1700020D05Rik	21	14	15	21	2	4
1700020L24Rik	145	121	79	207	156	103
1700020N01Rik	0	0	0	1	0	2
1700020N15Rik	0	0	0	0	0	0
1700021F05Rik	2300	2192	2170	2412	2618	1971
1700021F07Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022I11Rik	5	5	2	3	1	2
1700023F06Rik	0	0	0	0	0	0
1700024B05Rik	4	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0
1700024J04Rik	11	12	27	10	12	32
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	0	1	0	0	1	0
1700025B11Rik	1	2	1	1	0	1
1700025C18Rik	0	0	0	0	2	0
1700025F22Rik	0	0	0	0	0	0
1700025G04Rik	347	257	285	368	332	357
1700028B04Rik	44	3	12	4	1	21
1700028J19Rik	17	25	2	5	7	0
1700028K03Rik	9	8	19	14	1	32
1700028P14Rik	0	0	0	0	0	0
1700029F12Rik	1	1	0	0	5	4
1700029H14Rik	7	0	0	0	0	2
1700029I15Rik	144	83	113	70	109	85
1700029J07Rik	116	84	90	82	86	71
1700029P11Rik	0	0	0	0	1	0
1700030C10Rik	4	4	4	1	4	4
1700030J22Rik	34	21	25	16	16	16
1700030K09Rik	376	314	318	379	381	294
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034I23Rik	6	11	2	6	8	4
1700034J05Rik	0	0	0	1	0	2
1700034O15Rik	0	0	0	0	0	0
1700037C18Rik	190	180	154	161	183	142
1700037H04Rik	9038	7310	7304	9247	7854	5326
1700039E15Rik	11	7	5	2	2	1
1700040F15Rik	0	0	0	0	0	0
1700040L02Rik	150	139	206	203	214	142
1700042G07Rik	0	0	0	0	0	0
1700047I17Rik2	1312	1066	972	889	1076	736
1700048O20Rik	78	34	25	38	27	23
1700049E17Rik1	0	0	0	0	0	0
1700049E17Rik2	27	9	20	167	10	0
1700049G17Rik	561	544	443	607	439	475
1700049L16Rik	0	0	0	0	0	0
1700056E22Rik	138	116	107	114	117	77
1700057G04Rik	1	3	2	7	2	2
1700061G19Rik	5	8	4	1	5	5
1700063K16Rik	0	0	0	0	0	0
1700064H15Rik	1	2	3	5	2	4
1700065I16Rik	0	0	0	0	0	0
1700066B19Rik	10	9	11	13	25	11
1700066M21Rik	285	261	247	349	301	264
1700067K01Rik	15	20	16	21	35	23
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	1	0
1700073E17Rik	0	1	0	0	0	0
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700084J12Rik	0	1	0	2	0	1
1700084M14Rik	0	0	0	0	0	0
1700086D15Rik	0	0	2	0	0	0
1700086L19Rik	0	0	0	0	0	0
1700088E04Rik	155	84	127	159	93	136
1700091H14Rik	0	0	5	0	0	0
1700092M07Rik	5	3	6	2	3	4
1700093K21Rik	20	16	10	17	17	17
1700102P08Rik	18	9	11	12	9	20
1700109H08Rik	52	47	82	43	65	60
1700110I07Rik	0	0	0	0	0	0
1700112E06Rik	186	161	133	234	172	134
1700113H08Rik	0	0	0	0	0	0
1700122O11Rik	0	2	0	0	0	0
1700123I01Rik	4	6	2	6	8	6
1700123K08Rik	2	5	0	1	2	0
1700123L14Rik	4	0	7	9	3	7
1700123O20Rik	1003	874	970	797	1025	866
1700125H20Rik	0	0	0	2	0	0
1700128F08Rik	59	6	6	12	10	32
1700129C05Rik	1	0	0	0	0	0
1810009A15Rik	517	552	490	508	441	401
1810009J06Rik	0	0	0	0	0	0
1810010H24Rik	63	45	40	37	58	47
1810011H11Rik	49	36	30	42	62	44
1810011O10Rik	9970	7982	7155	6791	8471	7330
1810013L24Rik	1722	1368	1380	1421	1573	1284
1810018F18Rik	1	1	1	0	1	0
1810022K09Rik	1540	1223	1272	1410	1313	1211
1810024B03Rik	47	47	48	75	58	35
1810026J23Rik	2587	2380	2416	2137	2283	1858
1810030O07Rik	1357	1036	1020	1213	1249	1079
1810032O08Rik	191	181	95	169	198	139
1810037I17Rik	1612	1313	1284	1312	1509	1076
1810041L15Rik	3	0	3	1	6	7
1810043G02Rik	1256	961	1016	848	1007	766
1810043H04Rik	556	518	482	642	716	541
1810046K07Rik	21	13	2	10	10	6
1810049J17Rik	157	171	169	168	179	126
1810055G02Rik	188	180	194	222	195	161
1810062G17Rik	55	50	23	68	52	27
1810065E05Rik	0	0	0	0	0	0
2010001K21Rik	5	2	0	2	2	0
2010003K11Rik	541	524	701	719	948	464
2010005H15Rik	6	0	4	2	3	7
2010010A06Rik	0	0	0	0	0	0
2010106E10Rik	0	4	0	0	0	0
2010107E04Rik	4962	4361	4524	4568	5410	4098
2010107G12Rik	10	23	2	7	10	17
2010107G23Rik	39	39	41	84	38	39
2010109A12Rik	8	14	30	22	22	21
2010109I03Rik	321	120	198	201	166	172
2010111I01Rik	378	293	306	344	402	308
2010300C02Rik	14	11	10	2	7	10
2010315B03Rik	123	128	108	73	94	122
2200002D01Rik	50	25	39	36	14	25
2200002J24Rik	0	0	0	0	0	0
2210010C04Rik	3	0	1	3	2	1
2210011C24Rik	4	2	4	2	1	7
2210013O21Rik	283	246	218	265	337	190
2210016F16Rik	1598	1454	1438	1505	1539	1104
2210016L21Rik	291	296	254	307	344	221
2210017I01Rik	22	0	0	3	1	1
2210404O09Rik	105	86	79	83	80	65
2210407C18Rik	2	0	0	0	0	0
2210408I21Rik	118	95	74	109	92	88
2210409E12Rik	0	0	0	0	0	0
2210418O10Rik	2547	2183	2324	2284	1992	2444
2300002M23Rik	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0
2300009A05Rik	759	688	708	663	749	617
2310002L09Rik	44	7	11	22	20	12
2310003L06Rik	0	0	0	0	0	0
2310007B03Rik	0	0	0	0	0	0
2310009B15Rik	219	278	199	220	271	202
2310011J03Rik	835	707	665	689	679	590
2310022A10Rik	461	475	304	398	384	303
2310022B05Rik	593	555	485	569	625	457
2310030G06Rik	74	34	45	57	62	33
2310033P09Rik	232	267	205	185	236	166
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik	3	0	0	6	4	9
2310035C23Rik	702	570	605	600	489	614
2310036O22Rik	1134	914	1186	1145	1181	963
2310039H08Rik	675	599	634	935	956	588
2310046K23Rik	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0
2310057M21Rik	461	392	345	374	350	381
2310057N15Rik	0	0	0	0	0	0
2310061I04Rik	3603	3178	3209	3264	3330	2780
2310061N02Rik	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0
2410002F23Rik	901	618	662	816	812	709
2410004B18Rik	431	402	384	344	417	361
2410004P03Rik	77	26	57	29	26	34
2410015M20Rik	5742	4987	5163	5027	5813	4339
2410016O06Rik	251	205	210	193	229	196
2410024N13Rik	0	0	0	0	1	0
2410089E03Rik	495	378	401	430	370	490
2410131K14Rik	2110	1998	1519	2032	1835	1679
2410137M14Rik	0	0	0	0	0	0
2410141K09Rik	4	15	3	5	3	1
2510002D24Rik	426	399	389	296	355	297
2510009E07Rik	510	489	464	673	622	498
2510039O18Rik	1369	1218	1062	1139	1206	995
2610001J05Rik	744	656	680	806	898	695
2610002M06Rik	400	313	342	364	314	310
2610005L07Rik	2195	1850	1601	1658	1532	1597
2610008E11Rik	663	544	509	608	578	593
2610020H08Rik	689	492	399	405	421	447
2610021A01Rik	313	302	321	278	260	316
