	GSM4803237	GSM4803238	GSM4803239	GSM4803240	GSM4803241	GSM4803242	GSM4803243	GSM4803244	GSM4803245	GSM4803246	GSM4803247	GSM4803248
A1BG	56	100	105	64	47	79	60	60	41	58	61	87
A1BG-AS1	83	137	151	115	74	92	86	62	32	26	29	37
A1CF	13	19	168	109	6	5	4	8	6	9	5	5
A2M	1608	3043	10242	8907	6	3	16	8	1	0	6	1
A2M-AS1	20	103	56	54	8	4	14	11	5	5	7	11
A2ML1	9	14	9	7	190	143	166	192	344	333	388	462
A2ML1-AS1	0	0	0	0	0	0	0	0	2	0	1	1
A2ML1-AS2	0	0	0	0	2	0	1	0	0	2	0	0
A2MP1	5	18	9	5	4	4	4	3	2	2	7	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	601	581	496	453	110	139	94	99	159	182	189	218
A4GNT	1	2	1	0	2	0	0	1	0	0	1	2
AAAS	602	1004	1251	1145	1799	1642	2188	1930	783	1030	993	1279
AACS	923	750	1008	764	1664	1839	2149	2037	963	1127	1204	1349
AACSP1	1	2	2	7	12	14	18	12	10	15	10	9
AADAC	2	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	1	0	1	0	0	0	0	0	0	0
AADACL2-AS1	0	1	0	0	0	0	1	0	0	0	0	0
AADACL3	0	0	1	2	2	4	4	7	93	80	113	120
AADACL4	0	0	0	0	0	0	0	0	0	0	2	0
AADACP1	0	0	0	1	0	0	0	0	0	0	0	0
AADAT	137	254	234	234	702	564	871	778	150	132	174	170
AAGAB	1452	1319	2035	1842	1691	1542	2136	1761	860	946	1079	1221
AAK1	6379	3946	6157	5655	1129	901	1363	1133	495	559	612	698
AAMDC	272	318	485	387	129	132	147	126	105	111	129	138
AAMP	3824	2913	3905	3547	3246	3637	3814	3568	1616	1892	1905	2353
AANAT	4	3	5	5	9	7	8	11	4	5	5	5
AAR2	1282	959	1403	1251	974	858	1106	1013	396	570	491	656
AARD	76	44	150	164	34	27	26	29	21	25	29	39
AARS1	5016	3020	4465	3592	5591	8216	7249	6575	6595	6148	9566	9563
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	658	766	949	886	1072	1259	1249	1073	391	412	422	541
AARSD1	370	144	218	262	702	717	697	580	400	394	476	617
AARSD1P1	16	4	1	2	7	8	6	8	3	0	3	2
AASDH	163	293	405	310	497	384	620	541	334	340	433	478
AASDHPPT	1726	2134	2753	2444	1376	985	1723	1512	724	774	909	953
AASS	1091	4237	2865	2581	7700	5772	9554	8665	16221	17606	19076	22087
AATBC	14	33	26	26	22	27	38	28	17	19	19	29
AATF	1285	751	1525	1210	2336	3257	2862	2666	1072	1064	1161	1443
AATK	51	128	106	80	52	70	70	73	49	41	48	62
ABALON	59	0	17	22	0	0	0	18	57	36	84	77
ABAT	345	2650	759	1043	514	456	651	601	228	232	271	310
ABCA1	2508	2885	1707	1602	78	64	110	78	272	269	300	328
ABCA10	1	7	7	15	8	9	11	15	4	1	5	5
ABCA11P	64	124	152	138	255	204	267	286	108	116	158	166
ABCA12	56	5	48	28	2	1	5	4	1	4	1	2
ABCA13	35	17	28	14	5	6	7	3	4	5	1	4
ABCA17P	4	3	3	2	4	0	4	2	4	2	3	0
ABCA2	537	1162	1355	1163	421	470	452	448	342	349	437	485
ABCA3	387	394	488	448	102	75	90	70	217	202	283	292
ABCA3P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	10	4	2	3	24	18	19	29	6	5	5	4
ABCA5	118	181	158	211	69	52	102	72	39	39	38	34
ABCA6	13	13	16	8	5	14	10	18	3	4	7	11
ABCA7	218	314	422	372	474	497	495	462	220	210	240	314
ABCA8	704	816	416	498	1	4	4	5	2	5	5	6
ABCA9	16	19	30	14	33	22	59	36	8	6	8	13
