gene_symbol	GSM4222734	GSM4222735	GSM4222736	GSM4222737	GSM4222738	GSM4222733
0610007P14Rik	345	238	647	300	370	335
0610009B22Rik	72	6	185	86	112	226
0610009L18Rik	0	0	1	1	0	0
0610009O20Rik	202	225	174	120	154	44
0610010F05Rik	485	856	974	567	589	570
0610010K14Rik	109	227	60	81	147	184
0610011F06Rik	47	89	109	46	140	111
0610012G03Rik	236	219	147	72	79	268
0610030E20Rik	142	312	126	140	242	320
0610037L13Rik	498	331	224	189	210	11
0610040J01Rik	72	6	79	24	19	0
1110001J03Rik	135	193	11	47	73	5
1110002E22Rik	2	57	89	33	10	0
1110004E09Rik	290	137	188	217	171	132
1110004F10Rik	619	881	830	490	605	1146
1110008F13Rik	203	615	422	351	667	441
1110008L16Rik	90	42	56	18	131	2
1110008P14Rik	53	331	293	306	211	78
1110012L19Rik	1	10	0	11	0	0
1110017D15Rik	5	0	0	4	0	0
1110025L11Rik	0	0	0	0	0	0
1110032A03Rik	133	532	357	179	295	192
1110032F04Rik	172	117	204	124	206	114
1110034G24Rik	262	193	99	81	164	694
1110037F02Rik	554	980	457	603	637	287
1110038F14Rik	255	180	65	65	5	1
1110051M20Rik	289	420	476	301	401	669
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	73	169	130	103	176	143
1110059G10Rik	67	23	166	16	87	8
1110065P20Rik	199	83	140	49	39	142
1190002N15Rik	195	208	475	479	626	325
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	0	52	38	45	0	0
1190007I07Rik	0	38	5	4	27	0
1300017J02Rik	6	4	26	13	5	7
1500009C09Rik	667	1054	889	641	949	1027
1500009L16Rik	8	10	35	87	74	0
1500011B03Rik	328	486	665	309	546	1239
1500011K16Rik	117	73	247	99	134	128
1500015O10Rik	0	0	0	0	35	0
1520401A03Rik	0	0	0	0	0	0
1600002H07Rik	5	206	142	77	54	1
1600002K03Rik	45	2	32	1	13	0
1600012H06Rik	444	257	203	252	401	230
1600014C10Rik	57	150	282	182	191	190
1600014C23Rik	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0
1600029O15Rik	1	29	2	9	31	0
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	0	17	1	3	0	0
1700001F09Rik	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	0	0
1700001J11Rik	0	29	8	33	23	0
1700001K19Rik	0	0	0	0	0	43
1700001L19Rik	0	64	180	52	53	0
1700001O22Rik	5	44	0	6	36	0
1700001P01Rik	0	0	0	0	0	0
1700003E16Rik	180	20	47	93	103	28
1700003F12Rik	14	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700007B14Rik	0	3	0	0	0	0
